LAKE_NAME,DATE,IMAGE_COUNT,B2_mean,B3_mean,B4_mean,B5_mean,B6_mean,B7_mean,B8_mean,B8A_mean,B11_mean,B12_mean,B2_stdDev,B3_stdDev,B4_stdDev,B5_stdDev,B6_stdDev,B7_stdDev,B8_stdDev,B8A_stdDev,B11_stdDev,B12_stdDev,B2_count,NDCI_mean,NDTI_mean,NDWI_mean,TSS_PROXY_mean,DO_PROXY_mean,TDS_PROXY_mean,LST_celsius,AIR_TEMP_celsius,RAINFALL_mm_14d,NDVI_CATCHMENT
Gunduru Lake,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.130000000000052,,26.377012683081453,
Doddebele,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.810000000000002,,17.550917681428793,
Somapura,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.600000000000023,23.190504964192712,17.550917681428793,
Mailasandra,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.420476190476208,,18.243210320858683,
Kengeri 1,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.230000000000018,,18.243210320858683,
Kengeri 2,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.243210320858683,
Chenvinayanahalli,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.570000000000032,,17.550917681428793,
Annamma kere,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.102500000000052,,12.125140648871566,
Deevatigeramnahalli kere,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.650000000000034,,10.008692386768306,
Devarakere,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.870000000000005,,12.830623402905987,
Doraikere,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.57173913043482,,10.008692386768306,
Goudanakere,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.670000000000016,,10.008692386768306,
Gubbalal kere,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.350000000000023,,12.830623402905987,
Halagevaderahalli kere-2,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.920000000000016,,10.008692386768306,
Herohalli Thotadakere,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.590000000000032,,18.243210320858683,
Hosakerehalli Kere,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.997142857142887,,10.008692386768306,
Kempambudhi lake,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.606000000000027,22.823012288411462,10.008692386768306,
Laggeri Lake,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.870000000000005,,20.572902572712586,
Mallathahalli Lake,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.400000000000034,,18.243210320858683,
Moge kere,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.462727272727314,,10.008692386768306,
Muppatu Kavalu Hosa Kere,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.130000000000052,,18.243210320858683,
Nayandanahalli kere,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.350000000000023,,10.008692386768306,
Sankey Tank,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.49000000000001,,20.572902572712586,
Subramhanyapura kere,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.00400000000003,,12.830623402905987,
Ullalu lake-2,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.648400000000038,23.013503011067712,18.243210320858683,
Valagerehalli kere,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.250000000000057,,18.243210320858683,
Yediyur kere,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.060000000000002,,10.008692386768306,
Bhimmanakuppe Govt lake,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.03000000000003,,10.008692386768306,
Srigandhakavalu Karabu Katte,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Janaradhan kere,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.870000000000005,,12.830623402905987,
Konashetty kere,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.410000000000025,,12.830623402905987,
Nagarabhavi (Un-named Lake on map),07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.630000000000052,,10.008692386768306,
Sompura Govt.lake,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.600000000000023,,12.830623402905987,
Lakshmipura Lake,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.810000000000002,,20.572902572712586,
Amrutnagar Lake,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.153000000000016,,12.830623402905987,
Hoysalanagara Lake,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.670000000000016,,10.95517071711067,
Basavanagar Lake,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.74000000000001,,12.510379095957552,
Ajjegowdana katte,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.430000000000007,,18.243210320858683,
Kodigehalli kere,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.130000000000052,,18.243210320858683,
Kommaghatta Govt. Lake,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.57000000000005,23.190504964192712,18.243210320858683,
Manganahalli Lake,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.698130081300864,23.013503011067712,18.243210320858683,
Bhattarahalli kere,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.160000000000025,,27.071648760531083,
Thirumenahalli lake,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.610000000000014,,26.377012683081453,
Avalahali kere,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.290025641025668,23.034499104817712,27.071648760531083,
Begur Lake,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.408166666666695,22.964105224609398,11.063623205549638,
meenakshi lake,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.256153846153882,,11.063623205549638,
Kannuru kere,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.593333333333376,,32.20603780869898,
Kannuru kere,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.593333333333376,,32.20603780869898,
Doddagubbi kere,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.72382352941178,,26.377012683081453,
Suggata kere,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.470000000000027,,32.20603780869898,
Yelahanka Lake,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.753648648648678,22.914626057942712,33.5586410681005,
Dodda Bommasandra Lake,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.405957446808532,22.914626057942712,20.572902572712586,
Singapura lake,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.810000000000002,22.914626057942712,20.572902572712586,
Chellaghatta kere,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.903931623931637,22.988295491536462,10.95517071711067,
Bellandur Amanikere,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.200140515222518,22.9734091734275,10.95517071711067,
Abbigere Kere,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.195454545454595,,20.572902572712586,
Kammagondanahalli lake,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.048823529411813,,20.572902572712586,
Mallasandra Lake-2,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.53000000000003,,20.572902572712586,
Chikkabanavara kere,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.65764044943822,22.983296966552757,20.572902572712586,
Mallasandra Gudde lake,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.53000000000003,,20.572902572712586,
Bagalagunte Govt.Lake,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.310000000000002,,20.572902572712586,
Lalbagh kere,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.21459459459464,,10.008692386768306,
Chikkabellanduru kere,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.610000000000014,,12.510379095957552,
Carmelarm,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.420000000000016,,12.510379095957552,
Gunjuruplaya kere,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.504871794871818,22.964105224609398,12.510379095957552,
Govt. Dinnekere,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panattur Govt.kere,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.02000000000004,,12.510379095957552,
Gramadakere,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.044150943396268,,12.510379095957552,
Ambalipura Kelagina kere,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.27000000000004,,10.95517071711067,
Melinakere,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.27000000000004,,10.95517071711067,
Sowl kere,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.38170212765959,,10.95517071711067,
Bhoganahalli kere,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.980000000000018,,10.95517071711067,
Devarabisanahalli kere,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.223636363636402,,10.95517071711067,
Doddakanneli Gramadakere,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.090000000000032,,10.95517071711067,
Lakedew Appartment lake,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.390000000000043,,11.063623205549638,
Kaikondanahalli kere,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.920000000000016,,10.95517071711067,
Kasavanahalli kere,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.46500000000003,,10.95517071711067,
Mestripalya lake,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.600000000000023,,10.95517071711067,
Tavarekere lake,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.54000000000002,,10.95517071711067,
Byrasandra Kere,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.57000000000005,,10.008692386768306,
J P Park Kere,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.82675675675679,,20.572902572712586,
Agara kere,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.187200000000036,22.964105224609398,10.95517071711067,
Ibbalur Govt. Lake,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.060000000000002,,10.95517071711067,
sarraki kere,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.794285714285746,22.818760172526083,11.800394619236673,
Puttenahalli Kere,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.98400000000005,,12.830623402905987,
Madivala Kere,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.3879130434783,22.91565687391496,10.956113782227533,
Somasundrapalya lake,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.140000000000043,,11.063623205549638,
singasandra,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.79000000000002,,11.063623205549638,
Kodagi Singasandra kere,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.930000000000007,,11.063623205549638,
doddakodlu,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.110000000000014,,11.063623205549638,
Karabu Kere/Konappana agrahara lake,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.310000000000002,,11.063623205549638,
Parapana Agahara Lake,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.190000000000055,,11.063623205549638,
Kudlu Chikere,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.390000000000043,,11.063623205549638,
Kelaginakere,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.230000000000018,,11.063623205549638,
Melinakere,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.128750000000018,,11.063623205549638,
Basavanapura Kere,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.77000000000004,,12.830623402905987,
Swarna Kunte Gudde Lake,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.130000000000052,,11.063623205549638,
Chikkabegur kere,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.870000000000005,,11.063623205549638,
Elenahalli Lake,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.200000000000045,,11.063623205549638,
Kalena Agrahara Govt. Lake,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.920000000000016,,12.830623402905987,
Infrastructure Corridor,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.02000000000004,22.964105224609398,11.063623205549638,
Beratena Agrahara Lake,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.480000000000018,,11.063623205549638,
Mylasandra Dodda Agrahara kere,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.161875000000048,,11.063623205549638,
Arekere Govt. lake,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.07000000000005,,11.063623205549638,
Hulimavu Kere,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.27538461538463,22.818760172526083,11.063623205549638,
Akashaya nagar Kere,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gottigere Kere,07/23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.27793103448277,,12.830623402905987,
