LAKE_NAME,DATE,NDCI_Chla,NDTI,NDWI,NDSSI,IMAGE_COUNT
Gunduru Lake,07/23,,,,,0
Doddebele,07/23,,,,,0
Somapura,07/23,,,,,0
Mailasandra,07/23,,,,,0
Kengeri 1,07/23,,,,,0
Kengeri 2,07/23,,,,,0
Chenvinayanahalli,07/23,,,,,0
Annamma kere,07/23,,,,,0
Deevatigeramnahalli kere,07/23,,,,,0
Devarakere,07/23,,,,,0
Doraikere,07/23,,,,,0
Goudanakere,07/23,,,,,0
Gubbalal kere,07/23,,,,,0
Halagevaderahalli kere-2,07/23,,,,,0
Herohalli Thotadakere,07/23,,,,,0
Hosakerehalli Kere,07/23,,,,,0
Kempambudhi lake,07/23,,,,,0
Laggeri Lake,07/23,,,,,0
Mallathahalli Lake,07/23,,,,,0
Moge kere,07/23,,,,,0
Muppatu Kavalu Hosa Kere,07/23,,,,,0
Nayandanahalli kere,07/23,,,,,0
Sankey Tank,07/23,,,,,0
Subramhanyapura kere,07/23,,,,,0
Ullalu lake-2,07/23,,,,,0
Valagerehalli kere,07/23,,,,,0
Yediyur kere,07/23,,,,,0
Bhimmanakuppe Govt lake,07/23,,,,,0
Srigandhakavalu Karabu Katte,07/23,,,,,0
Janaradhan kere,07/23,,,,,0
Konashetty kere,07/23,,,,,0
Nagarabhavi (Un-named Lake on map),07/23,,,,,0
Sompura Govt.lake,07/23,,,,,0
Lakshmipura Lake,07/23,,,,,0
Amrutnagar Lake,07/23,,,,,0
Hoysalanagara Lake,07/23,,,,,0
Basavanagar Lake,07/23,,,,,0
Ajjegowdana katte,07/23,,,,,0
Kodigehalli kere,07/23,,,,,0
Kommaghatta Govt. Lake,07/23,,,,,0
Manganahalli Lake,07/23,,,,,0
Bhattarahalli kere,07/23,,,,,0
Thirumenahalli lake,07/23,,,,,0
Avalahali kere,07/23,,,,,0
Begur Lake,07/23,,,,,0
meenakshi lake,07/23,,,,,0
Kannuru kere,07/23,,,,,0
Kannuru kere,07/23,,,,,0
Doddagubbi kere,07/23,,,,,0
Suggata kere,07/23,,,,,0
Yelahanka Lake,07/23,,,,,0
Dodda Bommasandra Lake,07/23,,,,,0
Singapura lake,07/23,,,,,0
Chellaghatta kere,07/23,,,,,0
Bellandur Amanikere,07/23,,,,,0
Abbigere Kere,07/23,,,,,0
Kammagondanahalli lake,07/23,,,,,0
Mallasandra Lake-2,07/23,,,,,0
Chikkabanavara kere,07/23,,,,,0
Mallasandra Gudde lake,07/23,,,,,0
Bagalagunte Govt.Lake,07/23,,,,,0
Lalbagh kere,07/23,,,,,0
Chikkabellanduru kere,07/23,,,,,0
Carmelarm,07/23,,,,,0
Gunjuruplaya kere,07/23,,,,,0
Govt. Dinnekere,07/23,,,,,0
Panattur Govt.kere,07/23,,,,,0
Gramadakere,07/23,,,,,0
Ambalipura Kelagina kere,07/23,,,,,0
Melinakere,07/23,,,,,0
Sowl kere,07/23,,,,,0
Bhoganahalli kere,07/23,,,,,0
Devarabisanahalli kere,07/23,,,,,0
Doddakanneli Gramadakere,07/23,,,,,0
Lakedew Appartment lake,07/23,,,,,0
Kaikondanahalli kere,07/23,,,,,0
Kasavanahalli kere,07/23,,,,,0
Mestripalya lake,07/23,,,,,0
Tavarekere lake,07/23,,,,,0
Byrasandra Kere,07/23,,,,,0
J P Park Kere,07/23,,,,,0
Agara kere,07/23,,,,,0
Ibbalur Govt. Lake,07/23,,,,,0
sarraki kere,07/23,,,,,0
Puttenahalli Kere,07/23,,,,,0
Madivala Kere,07/23,,,,,0
Somasundrapalya lake,07/23,,,,,0
singasandra,07/23,,,,,0
Kodagi Singasandra kere,07/23,,,,,0
doddakodlu,07/23,,,,,0
Karabu Kere/Konappana agrahara lake,07/23,,,,,0
Parapana Agahara Lake,07/23,,,,,0
Kudlu Chikere,07/23,,,,,0
Kelaginakere,07/23,,,,,0
Melinakere,07/23,,,,,0
Basavanapura Kere,07/23,,,,,0
Swarna Kunte Gudde Lake,07/23,,,,,0
Chikkabegur kere,07/23,,,,,0
Elenahalli Lake,07/23,,,,,0
Kalena Agrahara Govt. Lake,07/23,,,,,0
Infrastructure Corridor,07/23,,,,,0
Beratena Agrahara Lake,07/23,,,,,0
Mylasandra Dodda Agrahara kere,07/23,,,,,0
Arekere Govt. lake,07/23,,,,,0
Hulimavu Kere,07/23,,,,,0
Akashaya nagar Kere,07/23,,,,,0
Gottigere Kere,07/23,,,,,0
Kothanaru Kere,07/23,,,,,0
RBI layout kere,07/23,,,,,0
Chunchanaghatta Kere,07/23,,,,,0
Alahalli Kere,07/23,,,,,0
Kembathahali kere,07/23,,,,,0
Doddakallasandra  kere,07/23,,,,,0
Konanakunte  kere,07/23,,,,,0
Thalagattapura lake,07/23,,,,,0
Vajarahalli Govt.Katte,07/23,,,,,0
Harohalli kere,07/23,,,,,0
Puttenahalli Lake,07/23,,,,,0
