LAKE_NAME,DATE,IMAGE_COUNT,B2_mean,B3_mean,B4_mean,B5_mean,B6_mean,B7_mean,B8_mean,B8A_mean,B11_mean,B12_mean,B2_stdDev,B3_stdDev,B4_stdDev,B5_stdDev,B6_stdDev,B7_stdDev,B8_stdDev,B8A_stdDev,B11_stdDev,B12_stdDev,B2_count
Gunduru Lake,07/23,0,,,,,,,,,,,,,,,,,,,,,
Doddebele,07/23,0,,,,,,,,,,,,,,,,,,,,,
Somapura,07/23,0,,,,,,,,,,,,,,,,,,,,,
Mailasandra,07/23,0,,,,,,,,,,,,,,,,,,,,,
Kengeri 1,07/23,0,,,,,,,,,,,,,,,,,,,,,
Kengeri 2,07/23,0,,,,,,,,,,,,,,,,,,,,,
Chenvinayanahalli,07/23,0,,,,,,,,,,,,,,,,,,,,,
Annamma kere,07/23,0,,,,,,,,,,,,,,,,,,,,,
Deevatigeramnahalli kere,07/23,0,,,,,,,,,,,,,,,,,,,,,
Devarakere,07/23,0,,,,,,,,,,,,,,,,,,,,,
Doraikere,07/23,0,,,,,,,,,,,,,,,,,,,,,
Goudanakere,07/23,0,,,,,,,,,,,,,,,,,,,,,
Gubbalal kere,07/23,0,,,,,,,,,,,,,,,,,,,,,
Halagevaderahalli kere-2,07/23,0,,,,,,,,,,,,,,,,,,,,,
Herohalli Thotadakere,07/23,0,,,,,,,,,,,,,,,,,,,,,
Hosakerehalli Kere,07/23,0,,,,,,,,,,,,,,,,,,,,,
Kempambudhi lake,07/23,0,,,,,,,,,,,,,,,,,,,,,
Laggeri Lake,07/23,0,,,,,,,,,,,,,,,,,,,,,
Mallathahalli Lake,07/23,0,,,,,,,,,,,,,,,,,,,,,
Moge kere,07/23,0,,,,,,,,,,,,,,,,,,,,,
Muppatu Kavalu Hosa Kere,07/23,0,,,,,,,,,,,,,,,,,,,,,
Nayandanahalli kere,07/23,0,,,,,,,,,,,,,,,,,,,,,
Sankey Tank,07/23,0,,,,,,,,,,,,,,,,,,,,,
Subramhanyapura kere,07/23,0,,,,,,,,,,,,,,,,,,,,,
Ullalu lake-2,07/23,0,,,,,,,,,,,,,,,,,,,,,
Valagerehalli kere,07/23,0,,,,,,,,,,,,,,,,,,,,,
Yediyur kere,07/23,0,,,,,,,,,,,,,,,,,,,,,
Bhimmanakuppe Govt lake,07/23,0,,,,,,,,,,,,,,,,,,,,,
Srigandhakavalu Karabu Katte,07/23,0,,,,,,,,,,,,,,,,,,,,,
Janaradhan kere,07/23,0,,,,,,,,,,,,,,,,,,,,,
Konashetty kere,07/23,0,,,,,,,,,,,,,,,,,,,,,
Nagarabhavi (Un-named Lake on map),07/23,0,,,,,,,,,,,,,,,,,,,,,
Sompura Govt.lake,07/23,0,,,,,,,,,,,,,,,,,,,,,
Lakshmipura Lake,07/23,0,,,,,,,,,,,,,,,,,,,,,
Amrutnagar Lake,07/23,0,,,,,,,,,,,,,,,,,,,,,
Hoysalanagara Lake,07/23,0,,,,,,,,,,,,,,,,,,,,,
Basavanagar Lake,07/23,0,,,,,,,,,,,,,,,,,,,,,
Ajjegowdana katte,07/23,0,,,,,,,,,,,,,,,,,,,,,
Kodigehalli kere,07/23,0,,,,,,,,,,,,,,,,,,,,,
Kommaghatta Govt. Lake,07/23,0,,,,,,,,,,,,,,,,,,,,,
Manganahalli Lake,07/23,0,,,,,,,,,,,,,,,,,,,,,
Bhattarahalli kere,07/23,0,,,,,,,,,,,,,,,,,,,,,
Thirumenahalli lake,07/23,0,,,,,,,,,,,,,,,,,,,,,
Avalahali kere,07/23,0,,,,,,,,,,,,,,,,,,,,,
Begur Lake,07/23,0,,,,,,,,,,,,,,,,,,,,,
meenakshi lake,07/23,0,,,,,,,,,,,,,,,,,,,,,
Kannuru kere,07/23,0,,,,,,,,,,,,,,,,,,,,,
Kannuru kere,07/23,0,,,,,,,,,,,,,,,,,,,,,
Doddagubbi kere,07/23,0,,,,,,,,,,,,,,,,,,,,,
Suggata kere,07/23,0,,,,,,,,,,,,,,,,,,,,,
Yelahanka Lake,07/23,0,,,,,,,,,,,,,,,,,,,,,
Dodda Bommasandra Lake,07/23,0,,,,,,,,,,,,,,,,,,,,,
Singapura lake,07/23,0,,,,,,,,,,,,,,,,,,,,,
Chellaghatta kere,07/23,0,,,,,,,,,,,,,,,,,,,,,
Bellandur Amanikere,07/23,0,,,,,,,,,,,,,,,,,,,,,
Abbigere Kere,07/23,0,,,,,,,,,,,,,,,,,,,,,
Kammagondanahalli lake,07/23,0,,,,,,,,,,,,,,,,,,,,,
Mallasandra Lake-2,07/23,0,,,,,,,,,,,,,,,,,,,,,
Chikkabanavara kere,07/23,0,,,,,,,,,,,,,,,,,,,,,
Mallasandra Gudde lake,07/23,0,,,,,,,,,,,,,,,,,,,,,
Bagalagunte Govt.Lake,07/23,0,,,,,,,,,,,,,,,,,,,,,
