Target,Category,Model,R2,RMSE,MAE
DO,Classical,LightGBM,0.8367,0.8002,0.6058
DO,Classical,ExtraTrees,0.8348,0.8046,0.5989
DO,Classical,RandomForest,0.8328,0.8095,0.6066
DO,Classical,XGBoost,0.8184,0.8436,0.6519
DO,Classical,GradientBoosting,0.8122,0.858,0.6497
DO,Classical,SVR,0.7694,0.9507,0.7333
DO,Classical,Ridge,0.7171,1.0531,0.8116
DO,Classical,LinearRegression,0.7163,1.0545,0.8121
DO,Classical,ElasticNet,0.7046,1.076,0.8355
DO,Classical,AdaBoost,0.7006,1.0833,0.896
DO,Classical,KNN,0.7,1.0843,0.8348
DO,Classical,Lasso,0.681,1.1182,0.8671
DO,Classical,DecisionTree,0.6571,1.1594,0.7739
DO,Tuned,LightGBM_Tuned,0.8322,0.8109,0.6119
DO,NeuralNet,FNN,0.784,0.9201,0.7067
DO,NeuralNet,CNN1D,-0.6359,2.5323,2.1719
DO,NeuralNet,LSTM,0.234,1.7328,1.4145
BOD,Classical,ExtraTrees,0.7411,6.364,3.6321
BOD,Classical,GradientBoosting,0.7234,6.5778,3.9685
BOD,Classical,RandomForest,0.7228,6.5851,3.7992
BOD,Classical,LightGBM,0.7113,6.7206,3.9116
BOD,Classical,XGBoost,0.6984,6.8692,3.8948
BOD,Classical,LinearRegression,0.6615,7.2768,4.8604
BOD,Classical,Ridge,0.6614,7.2784,4.8619
BOD,Classical,Lasso,0.6526,7.3717,4.8823
BOD,Classical,ElasticNet,0.6509,7.39,4.9416
BOD,Classical,SVR,0.6282,7.6262,4.2947
BOD,Classical,KNN,0.57,8.202,5.0528
BOD,Classical,AdaBoost,0.519,8.6744,7.0381
BOD,Classical,DecisionTree,0.4448,9.3199,5.064
BOD,Tuned,ExtraTrees_Tuned,0.7482,6.2757,3.5914
BOD,NeuralNet,FNN,-0.5981,15.8117,11.8104
BOD,NeuralNet,CNN1D,-0.4846,15.24,10.2344
BOD,NeuralNet,LSTM,-0.0804,13.0009,8.526
PH,Classical,RandomForest,0.7109,0.4513,0.3454
PH,Classical,ExtraTrees,0.7023,0.458,0.3342
PH,Classical,LightGBM,0.6993,0.4603,0.3538
PH,Classical,GradientBoosting,0.6815,0.4737,0.3757
PH,Classical,XGBoost,0.6665,0.4847,0.3691
PH,Classical,SVR,0.644,0.5008,0.384
PH,Classical,AdaBoost,0.6137,0.5217,0.4398
PH,Classical,KNN,0.6128,0.5223,0.3998
PH,Classical,LinearRegression,0.597,0.5329,0.4313
PH,Classical,Ridge,0.5968,0.533,0.4316
PH,Classical,ElasticNet,0.5491,0.5637,0.4745
PH,Classical,Lasso,0.4887,0.6002,0.5039
PH,Classical,DecisionTree,0.4211,0.6386,0.4706
PH,Tuned,RandomForest_Tuned,0.7109,0.4513,0.3462
PH,NeuralNet,FNN,0.4162,0.6413,0.5138
PH,NeuralNet,CNN1D,0.4839,0.603,0.476
PH,NeuralNet,LSTM,-0.0861,0.8748,0.6755
COD,Classical,ExtraTrees,0.7592,34.4108,21.5702
COD,Classical,GradientBoosting,0.7356,36.0618,23.877
COD,Classical,LightGBM,0.7328,36.2463,23.5358
COD,Classical,RandomForest,0.7245,36.8094,23.1184
COD,Classical,XGBoost,0.7068,37.9722,23.9658
COD,Classical,Ridge,0.643,41.9011,29.5668
COD,Classical,LinearRegression,0.6427,41.9196,29.5858
COD,Classical,Lasso,0.6396,42.0978,29.7534
COD,Classical,ElasticNet,0.6326,42.5063,30.1684
COD,Classical,KNN,0.5673,46.1261,30.5542
COD,Classical,SVR,0.5545,46.8046,28.9395
COD,Classical,AdaBoost,0.5408,47.5213,37.2598
COD,Classical,DecisionTree,0.3554,56.3021,32.6316
COD,Tuned,ExtraTrees_Tuned,0.7577,34.5169,21.6241
COD,NeuralNet,FNN,-2.1457,124.3752,104.8093
COD,NeuralNet,CNN1D,-2.0665,122.8001,101.908
COD,NeuralNet,LSTM,-1.9108,119.6417,96.6177
NITRATE_N,Classical,LightGBM,0.7921,0.9289,0.5032
NITRATE_N,Classical,ExtraTrees,0.7918,0.9294,0.4334
NITRATE_N,Classical,GradientBoosting,0.776,0.9641,0.4758
NITRATE_N,Classical,RandomForest,0.7756,0.9649,0.4559
NITRATE_N,Classical,XGBoost,0.7582,1.0017,0.5147
NITRATE_N,Classical,SVR,0.7442,1.0303,0.4401
NITRATE_N,Classical,KNN,0.7269,1.0645,0.6361
NITRATE_N,Classical,LinearRegression,0.7258,1.0667,0.5212
NITRATE_N,Classical,Ridge,0.7258,1.0667,0.5211
NITRATE_N,Classical,ElasticNet,0.7184,1.0811,0.533
NITRATE_N,Classical,Lasso,0.7095,1.0979,0.5392
NITRATE_N,Classical,DecisionTree,0.4807,1.468,0.6059
NITRATE_N,Classical,AdaBoost,0.2804,1.728,1.4796
NITRATE_N,Tuned,LightGBM_Tuned,0.7946,0.9231,0.492
NITRATE_N,NeuralNet,FNN,-0.2731,2.2985,1.9766
NITRATE_N,NeuralNet,CNN1D,-0.5231,2.514,1.6444
NITRATE_N,NeuralNet,LSTM,0.2522,1.7616,1.2601
