LAKE_NAME,DATE,B2_mean,B3_mean,B4_mean,B5_mean,B6_mean,B7_mean,B8_mean,B8A_mean,B11_mean,B12_mean,B2_stdDev,B3_stdDev,B4_stdDev,B5_stdDev,B6_stdDev,B7_stdDev,B8_stdDev,B8A_stdDev,B11_stdDev,B12_stdDev,B2_count,NDCI_mean,NDTI_mean,NDWI_mean,TSS_PROXY_mean,DO_PROXY_mean,TDS_PROXY_mean,LST_celsius,AIR_TEMP_celsius,RAINFALL_mm_14d,NDVI_CATCHMENT,STN_CODE,USEBASEDCLASS,DO,PH,CONDUCTIVITY,BOD,NITRATE_N,FECAL_COLI,TOTAL_COLI,CARBONATE,BICARBONATE,PHENOLPHTHALEINALKALINITY,TOTALALKALINITY,CHLORIDES,COD,TOTALKJELDAHLNITROGEN,AMMONICALN,TOTALHARDNESS,CAASCACO3,MGASCACO3,SULPHATE,SODIUM,TOTALDISSOLVEDSOLIDS,TOTALSUSPENDEDSOLIDS,PHOSPHATE,BORON,POTASSIUM,FLUORIDE,SODIUMPERCENTAGE,SAR,ORTHOPHOSPHATE,YEAR
Sankey,08/23,0.0342858141986706,0.0470926753901904,0.0340313087359957,0.0392935617490623,0.0289970312181002,0.0342675272227179,0.0314632827238336,0.0338593337731204,0.042319966259239,0.0337467668970027,0.0043687630432368,0.004731857107198,0.0048302591863006,0.0057160241942121,0.0058093282856845,0.0064434353260943,0.0056182330466077,0.0068454453515474,0.0079225770432913,0.0069269656508099,222.0,0.0712972319544427,-0.1630673464867808,0.20322608112808,0.0447063208108407,1.1270938732720623,0.042319966259239,29.000000000000057,,71.19446985834091,3.684785038933899e-05,3594.0,"D (Propagation of wild life,fisheries)",4.9,7.6,549.0,7.0,1.6,460.0,16000.0,8.81904761904762,156.0,5.0,156.0,84.0,69.0,3.267619047619048,0.57,148.0,80.0,68.0,9.0,54.0,374.0,24.057142857142857,0.23,0.5,7.0,0.23,41.0,1.6911428571428573,0.3261904761904762,2023.0
Yediyur,08/23,0.0774777796533372,0.1247444434298409,0.0744555559423234,0.1282888882690006,0.0853111114766862,0.0894555557105276,0.0767333325412538,0.0729000001317924,0.0588555559515953,0.0465444446437888,0.0015540463161972,0.0025113561573369,0.0011196330094837,0.0023562890441811,0.0102151786456129,0.0100586173349124,0.0056344180987056,0.0125375882732875,0.0082123368324847,0.0034512839532572,9.0,0.2654582692517174,-0.2523817088868882,0.2389979627397325,0.0918000009324815,2.157287211518875,0.0588555559515953,30.750000000000057,,68.94416734292682,2.1498661178300176e-05,3592.0,"D (Propagation of wild life,fisheries)",4.2,7.4,251.0,11.0,0.73,11000.0,54000.0,6.219047619047619,72.0,5.0,72.0,36.0,109.0,3.907619047619048,0.94,64.0,40.0,24.0,5.0,26.0,174.0,20.457142857142856,0.2,0.5,3.0,0.2,41.0,1.8291428571428567,0.4261904761904762,2023.0
Begur,08/23,0.1039166661600271,0.1110583326468865,0.0917083341628313,0.1201583327104647,0.0944583329061667,0.0979749988764524,0.089425000672539,0.0908083332081635,0.0862416668484608,0.0738416668027639,0.0043582929867818,0.0042892228915354,0.0034364364672308,0.0032177777558789,0.0057498498455172,0.0067900811745681,0.0037760478884181,0.0084378562495668,0.0075119306103979,0.0066897251431307,12.0,0.1344360777487357,-0.0954028827448685,0.107968237871925,0.0986500009894371,1.2916722953575392,0.0862416668484608,31.01583333333334,23.850747680664085,53.17163584968058,1.843856629395804e-05,3619.0,"D (Propagation of wild life,fisheries)",5.4,7.7,825.0,6.0,3.0,4300.0,92000.0,5.476190476190476,140.0,5.0,140.0,152.0,56.0,4.09047619047619,0.4,164.0,88.0,76.0,35.0,98.0,554.0,19.42857142857143,0.29,0.5,25.0,0.35,41.0,1.8685714285714283,0.4547619047619048,2023.0
Yelahanka,08/23,0.0606590930226561,0.0801744953062931,0.0574952744885615,0.0772551410636416,0.0477626057083157,0.0509340293777116,0.0450395667014435,0.044557065319615,0.0443420871917491,0.0361807734581528,0.0061653028751886,0.0072080211793231,0.0063603418743117,0.0073573818336904,0.0085415925924458,0.0097670651097242,0.0082302851131058,0.0103836602379516,0.0071502752232005,0.0050877725914375,1899.0,0.1472891497822857,-0.1655560295385426,0.2843372099605794,0.0622582912333272,1.8286155463232172,0.0443420871917491,28.197567567567596,23.7104482014974,54.45362173221575,2.733981708423431e-05,3630.0,"E (Irrigation, industrial cooling and controlled
waste)",3.0,6.9,1207.0,13.0,3.5,3900.0,160000.0,9.314285714285717,336.0,5.0,336.0,188.0,131.0,3.145714285714286,2.1,324.0,168.0,156.0,18.0,117.0,822.0,24.742857142857144,0.51,0.5,15.0,0.57,41.0,1.6648571428571428,0.3071428571428571,2023.0
Singapura,08/23,0.0967857135193688,0.1722142845392227,0.191771428499903,0.209099999495915,0.1361428584371294,0.1457714289426803,0.1236428575856345,0.1127428572092737,0.0939714280622346,0.0686428589480263,0.0011344330216138,0.0011192218087542,0.0016824397357122,0.0015528752866653,0.0069413575617366,0.0103552214521638,0.0066114317874097,0.0119279817648277,0.0169139599725825,0.0110848496139095,7.0,0.0432311839291027,0.053721116057464,0.1647304956402097,0.1330928547041756,1.8815776130843769,0.0939714280622346,28.78000000000003,23.7104482014974,71.19446985834091,3.6321926657586696e-05,4508.0,"D (Propagation of wild life,fisheries)",5.4,7.2,758.0,4.0,2.91,4100.0,35000.0,9.80952380952381,172.0,5.0,172.0,124.0,45.0,3.023809523809524,0.4,204.0,108.0,96.0,31.0,70.0,530.0,25.42857142857143,0.2,0.5,15.0,0.2,41.0,1.6385714285714286,0.2880952380952381,2023.0
Bellandur,08/23,0.0614857785710451,0.067369386344635,0.0546892215720863,0.076068787461894,0.053187200661559,0.0549602546216083,0.0497479791178585,0.0459169161821085,0.0448770210241709,0.0373918413990428,0.0074394165137244,0.0078915022064414,0.0068588891005365,0.008406680746373,0.0069718612608178,0.0074709377324126,0.0067047213693238,0.0073232841576543,0.0052816088963518,0.0053228690660875,1336.0,0.1639741235607844,-0.1043529726291621,0.1514111549376013,0.0561232036509422,1.5025610112701104,0.0448770210241709,26.81364168618269,23.84711687136921,58.997292909506264,3.3649314960119416e-05,3602.0,"E (Irrigation, industrial cooling and controlled waste)",0.3,6.9,1186.0,18.0,2.8,3300.0,35000.0,7.952380952380952,328.0,5.0,328.0,208.0,192.0,3.480952380952381,2.16,256.0,136.0,120.0,16.0,132.0,810.0,22.857142857142858,0.56,0.5,12.0,0.21,41.0,1.737142857142857,0.3595238095238096,2023.0
Chikkabanavara,08/23,0.0431879515568894,0.0594987950949783,0.0356144581034959,0.0789855416101145,0.0559144579322941,0.0585060240813048,0.0475192774221839,0.0396722890885479,0.0376674700752798,0.0303024095539228,0.0018024345912848,0.0018453127776092,0.0022806749103099,0.0020841413758566,0.0025101305349131,0.0022600965797978,0.0016334203032137,0.0026044594730972,0.0027855527060766,0.0020352302873182,83.0,0.3787186199642089,-0.2517238760209945,0.1119872913303145,0.0485831327197781,1.5806989831521234,0.0376674700752798,27.693370786516866,23.810191726684593,71.19446985834091,4.017854506097655e-05,4095.0,"D (Propagation of wild life,fisheries)",5.3,6.7,405.0,7.3,1.5,330.0,5400.0,14.39047619047619,92.0,5.0,92.0,28.0,68.0,1.896190476190476,0.7,128.0,64.0,64.0,29.0,51.0,278.0,31.77142857142857,0.2,0.5,15.0,0.2,41.0,1.3954285714285717,0.1119047619047619,2023.0
Lalbagh,08/23,0.0422895522371156,0.064940298671153,0.0407462686633885,0.0735582088245384,0.0471029851530025,0.0517223879917344,0.0468850745750007,0.0452537313937696,0.0460611940987074,0.0366597015188256,0.0066721548912173,0.0073098594464354,0.0070207438766854,0.0080270833433729,0.0090318339231236,0.0098090090426493,0.0074717226793271,0.0087078507102728,0.0069611278484212,0.0065323549916053,67.0,0.2903426543100556,-0.2324038063412282,0.1642975592568739,0.0555007467185383,1.419023952637267,0.0460611940987074,30.16891891891898,,68.94416734292682,3.609537026510177e-05,3590.0,"D (Propagation of wild life,fisheries)",4.1,6.7,495.0,12.0,1.4,3900.0,92000.0,5.847619047619048,140.0,5.0,140.0,76.0,116.0,3.9990476190476194,0.95,132.0,72.0,60.0,8.0,49.0,340.0,19.942857142857143,0.2,0.5,6.0,0.21,41.0,1.8488571428571428,0.4404761904761905,2023.0
Soulkere,08/23,0.0705962966161745,0.0861666663377373,0.0687851854772479,0.0969037032789654,0.0787074078840238,0.0857814809790364,0.0648777780157548,0.0781259262175471,0.0632037036120891,0.0587740743325816,0.0050253048342103,0.0109058596057835,0.0098183388438385,0.0157240194718989,0.0173281604709871,0.0193203603056748,0.0078065657756141,0.0214636915988396,0.013715670154362,0.0169521025153192,27.0,0.1674723288527241,-0.1130690734695505,0.1404226662384139,0.0746851850439001,1.395630401630352,0.0632037036120891,28.747021276595763,,58.997292909506264,1.736323731219693e-05,5570.0,"D (Propagation of wild life,fisheries)",4.5,7.5,1265.0,8.0,5.9,4000.0,92000.0,4.857142857142858,168.0,5.0,168.0,340.0,73.0,4.242857142857143,0.76,316.0,164.0,152.0,23.0,185.0,864.0,18.571428571428573,1.9,0.5,31.0,0.48,41.0,1.901428571428572,0.4785714285714286,2023.0
Devarabeesanahalli,08/23,0.0911361227667043,0.1207596928838357,0.0843078946989988,0.100568767722628,0.0974239852624074,0.0921446666709802,0.0807390668652798,0.1008071305870167,0.0812540935307442,0.0586098993178424,0.0174776493241725,0.0244770693792383,0.0117477561912688,0.0034731032665207,0.0234690505676058,0.0214010462308392,0.0138665946808541,0.0282366495679327,0.0114478771413298,0.0060953647808735,7.0,0.0921677279241633,-0.1725544199461647,0.1942870138442439,0.1010068924543291,1.479517283355824,0.0812540935307442,28.330909090909135,,58.997292909506264,1.441401474141912e-05,4521.0,"D (Propagation of wild life,fisheries)",5.2,7.7,1272.0,7.0,5.9,4600.0,54000.0,4.733333333333333,148.0,5.0,148.0,368.0,69.0,4.273333333333333,0.82,276.0,144.0,132.0,30.0,176.0,868.0,18.4,1.8,0.5,37.0,0.44,41.0,1.908,0.4833333333333334,2023.0
