"STN
Code",Sampling Month,Name Of Monitoring Location,Use Based Class,Temperature,Dissolved O2 (mg/L),pH,Conductivity (&micro;mho/cm),"BOD
(mg/L)",NitrateN (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Fecal Streptococci (MPN/100ml),Carbonate (CO3-) (mg/L),Bicarbonate (HCO3-) (mg/L),Turbidity (mg/L),Phenolphthalein Alkalinity (mg/L),Total Alkalinity (mg/L),Chlorides (mg/L),"COD
(mg/L)",Total Kjeldahl Nitrogen (mg/L),Ammonical-N (mg/L),Total Hardness (mg/L),Ca as CaCo3 (mg/L),Ca,Mg as CaCo3 (mg/L),Mg,Sulphate (mg/L),Sodium (mg/L),Total Dissolved Solids  (mg/L),Total Suspended Solids  (mg/L),Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),Sodium Percentage,SAR,Ortho Phosphate (mg/L),Year
1388,Apr,Ulsoor Lake Training Centre Of Fish Breeding,"D (Propagation of wild life,fisheries)",31.0,4.8,8.8,451.0,8.0,1.5,170.0,2400.0,,16,56.0,10.6,8,72.0,68.0,69.0,1.5(BDL),0.48,48.0,28.0,11.0,20.0,5.0,25,51.0,308.0,14,0.3,0.5(BDL),16.0,0.2(BDL),62.0,3.2,0.7,2024
3593,Apr,Ulsoor Lake Temple,"D (Propagation of wild life,fisheries)",31.0,4.9,8.8,460.0,7.0,1.5,220.0,2400.0,,24,64.0,10.2,12,88.0,60.0,64.0,1.5(BDL),0.43,64.0,36.0,14.0,28.0,7.0,27,51.0,314.0,12,0.2(BDL),0.5(BDL),16.0,0.2(BDL),57.0,2.8,0.6,2024
5568,Apr,"Ulsoor Lake Near Kalyani,Bengaluru","D (Propagation of wild life,fisheries)",31.0,4.9,8.9,459.0,7.4,1.5,390.0,2200.0,,32,52.0,10.0,16,84.0,60.0,65.0,1.5(BDL),0.42,64.0,36.0,14.0,28.0,7.0,26,51.0,314.0,12,0.2(BDL),0.5(BDL),16.0,0.2(BDL),57.0,2.8,0.6,2024
5569,Apr,"Byrasandra Upper Lake,Bengaluru","E (Irrigation, industrial cooling and controlled waste)",31.0,3,7.5,656.0,18.0,2.9,2700.0,11000.0,,3(BDL),176.0,12.3,5(BDL),176.0,116.0,118.0,2.3,1.8,136.0,72.0,29.0,64.0,16.0,34,90.0,448.0,16,5.9,0.5(BDL),20.0,0.22,54.0,3.4,13,2024
3595,Apr,Byrasandra Tank,"D (Propagation of wild life,fisheries)",31.0,4.7,8.6,456.0,7.0,1.5,320.0,3500.0,,24,56.0,9.7,12,80.0,60.0,64.0,1.5(BDL),0.43,64.0,36.0,14.0,28.0,7.0,26,51.0,312.0,12,0.3,0.5(BDL),16.0,0.2(BDL),57.0,2.8,0.7,2024
4505,Apr,Nelamangala Lake,"E (Irrigation, industrial cooling and controlled waste)",34.0,2.8,7.2,2330.0,54.0,8.0,220.0,2400.0,,3(BDL),430.0,16.8,5(BDL),430.0,580.0,244.0,10.2,6.5,650.0,340.0,136.0,310.0,75.0,50,254.0,1556.0,18,1,0.5(BDL),36.0,0.49,92.0,4.0,3.6,2024
3632,Apr,Veerapura Tank,"E (Irrigation, industrial cooling and controlled waste)",36.0,3.1,6.5,1056.0,16.0,3.4,1700.0,11000.0,,3(BDL),296.0,182.0,5(BDL),296.0,164.0,145.0,3.87,2.98,284.0,148.0,59.0,136.0,33.0,16,103.0,720.0,238,0.2(BDL),0.5(BDL),13.0,0.3,43.0,2.7,0.05(BDL),2024
3620,Apr,Parappana Agrahara Lake,"E (Irrigation, industrial cooling and controlled waste)",29.0,0.3(BDL),8.2,882.0,66.0,4.0,14000.0,46000.0,,3(BDL),172.0,124.0,,172.0,160.0,292.0,17.4,13.8,120.0,64.0,26.0,56.0,14.0,19,98.0,580.0,138,1.04,0.5(BDL),33.0,0.26,56.0,4.0,2.8,2024
3622,Apr,Somasundrapalya Lake,"E (Irrigation, industrial cooling and controlled waste)",29.0,1.2,7.9,1318.0,29.0,5.06,390.0,3500.0,,3(BDL),360.0,16.1,5(BDL),360.0,188.0,199.0,5.6,4.8,288.0,148.0,59.0,140.0,34.0,12,111.0,886.0,22,0.31,0.5(BDL),32.0,0.32,42.0,2.8,0.91,2024
4514,Apr,Sadaramangala Lake,"D (Propagation of wild life,fisheries)",29.0,4.6,7.8,788.0,8.0,3.4,330.0,4300.0,,3(BDL),108.0,124.0,5(BDL),108.0,132.0,92.0,17.4,13.8,120.0,64.0,26.0,56.0,14.0,18,87.0,520.0,40,0.24,0.5(BDL),18.0,0.2(BDL),53.0,3.15,0.66,2024
5574,Apr,"Anjanapura Lake ( Avala Halli Lake) Anjanapura,Bengaluru","D (Propagation of wild life,fisheries)",30.0,5.2,7.1,376.0,5.0,0.8,320.0,3500.0,,3(BDL),104.0,6.2,5(BDL),104.0,68.0,45.0,1.5(BDL),0.4,116.0,60.0,24.0,56.0,14.0,7,41.0,260.0,10(BDL),0.2(BDL),0.5(BDL),6.0,0.2(BDL),41.0,2.0,0.05(BDL),2024
