"STN
Code",Sampling Month,Name Of Monitoring Location,Use Based Class,Temperature °C,Dissolved O2 (mg/L),pH,Conductivity (&micro;mho/ cm),"BOD
(mg/L)",NitrateN (mg/L),NitriteN (mg/L),"Fecal Coliform (MPN/100ml)","Total Coliform (MPN/100ml)","Fecal Streptoco cci (MPN/
100ml)","Carbonate (CO3-)
(mg/L)","Bicarbonate (HCO3-)
(mg/L)",Turbidity NTU,Phenolphthalein Alkalinity (mg/L),Total Alkalinity (mg/L),Chlorides (mg/L),"COD
(mg/L)",Total Kjeldahl Nitrogen (mg/L),Ammonical-N (mg/L),Total Hardness (mg/L),Ca as CaCo3 (mg/L),Ca (mg/L),Mg as CaCo3 (mg/L),Mg (mg/L),Sulphate (mg/L),Sodium (mg/L),Total Dissolved Solids (mg/L),Total Suspended Solids (mg/L),Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),Sodium Percentage,SAR,Ortho Phosphate (mg/L),Cadmium (mg/L),Copper (mg/L),Lead (mg/L),Chromium Total (mg/L),Nickel (mg/L),Zinc (mg/L),Iron (mg/L),Manganese (mg/L),Year
1388,Apr,Ulsoor Lake Training Centre Of Fish Breeding,"D (Propagation of wild life,fisheries)",27,5.1,7,470,4,1.8,0.02(BDL),630,3500,-,3(BDL),320,33.1,5(BDL),320,80,44,1.5(BDL),0.81,128,68,27,60,15,20,46,320,38,0.2(BDL),0.5(BDL),9,0.26,41,2,0.05(BDL),0.00042(BDL),0.00035(BDL),0.00031(BDL),0.00056(BDL),0.00054(BDL),0.009,1,0.115,2025
2778,Apr,River Arkavathi At Tippagondanahalli Reservoir,"D (Propagation of wild life,fisheries)",29.7,5.5,7.4,988,7,3.5,0.02(BDL),200,1400,17,3(BDL),304,12.5,5(BDL),304,212,81,10.8,8.3,308,160,64,148,36,23,105,682,16,1,0.5(BDL),21,0.28,40,2.6,2.4,0.00042(BDL),0.00035(BDL),0.00031(BDL),0.00056(BDL),0.00054(BDL),0.00059(BDL),0.055,0.073,2025
3589,Apr,Madiwala Tank,"E (Irrigation, industrial cooling and controlled waste)",29,3.3,7.5,727,17,2.5,0.02(BDL),150,3500,-,3(BDL),236,1.4,5(BDL),236,128,121,2.95,2.73,232,116,46,116,28,10,89,502,10(BDL),1.1,0.5(BDL),10,0.3,44,2.5,2.6,0.00042(BDL),0.00035(BDL),0.00031(BDL),0.00056(BDL),0.00054(BDL),0.00059(BDL),0.157,0.006,2025
3590,Apr,Lalbagh Tank,"D (Propagation of wild life,fisheries)",33,5.8,8,650,8,2.4,0.1,2400,4800,-,3(BDL),100,15.3,5(BDL),100,92,84,2,1.6,68,40,16,28,7,8,79,442,10(BDL),0.2(BDL),0.5(BDL),18,0.41,65,4.2,0.4,0.00042(BDL),0.00035(BDL),0.00031(BDL),0.00056(BDL),0.00054(BDL),0.00059(BDL),0.154,0.019,2025
3591,Apr,Kempambudhi Tank,"E (Irrigation, industrial cooling and controlled waste)",33,1.7,8.3,661,30,2.5,0.02(BDL),2600,9400,-,3(BDL),196,114,5(BDL),196,68,207,10.9,8.4,136,72,29,64,16,11,71,452,10(BDL),0.9,0.5(BDL),18,0.23,49,2.7,2.2,0.00042(BDL),0.00035(BDL),0.00031(BDL),0.00056(BDL),0.00054(BDL),0.005,0.173,0.107,2025
3592,Apr,Yediyur Tank,"D (Propagation of wild life,fisheries)",33,5.9,6.7,313,6,1.2,0.3,230,3500,-,3(BDL),76,25.5,5(BDL),76,36,63,1.56,1.2,48,28,11,20,5,5(BDL),35,214,10(BDL),0.2(BDL),0.5(BDL),14,0.2(BDL),53,2.5,0.2,0.00042(BDL),0.00035(BDL),0.00031(BDL),0.00056(BDL),0.00054(BDL),0.00059(BDL),0.137,0.071,2025
3593,Apr,Ulsoor Lake Temple,"D (Propagation of wild life,fisheries)",27,6,7.1,454,4,1.7,0.02(BDL),210,1200,-,3(BDL),96,32.8,5(BDL),96,68,47,1.5(BDL),0.69,116,64,26,52,13,19,44,306,10(BDL),0.2(BDL),0.5(BDL),8,0.2(BDL),43,2,0.05(BDL),0.00042(BDL),0.005,0.00031(BDL),0.00056(BDL),0.00054(BDL),0.034,0.954,0.074,2025
3594,Apr,Sankey Tank,"D (Propagation of wild life,fisheries)",27,6.9,7.4,494,4,2,0.02(BDL),63,540,-,3(BDL),164,4.7,5(BDL),164,76,48,1.5(BDL),0.4,144,72,29,72,17,8.5,54,340,10(BDL),0.2(BDL),0.5(BDL),6,0.26,43,1,0.11,0.00042(BDL),0.004,0.00031(BDL),0.00056(BDL),0.00054(BDL),0.00059(BDL),0.271,0.075,2025
3595,Apr,Byrasandra Tank,"D (Propagation of wild life,fisheries)",27,5,7,466,5,1.2,0.02(BDL),3100,17000,-,3(BDL),104,35.3,5(BDL),104,76,55,1.5(BDL),0.84,124,64,26,60,15,20,46,316,10(BDL),0.2(BDL),0.5(BDL),9,0.29,42,2,0.05(BDL),0.00042(BDL),0.00035(BDL),0.00031(BDL),0.00056(BDL),0.00054(BDL),0.00059(BDL),1,0.118,2025
3596,Apr,Nayandanahalli Tank,"D (Propagation of wild life,fisheries)",26.3,5.9,8.3,890,7,3.4,0.02(BDL),310,3500,-,32,200,5.2,16,216,152,78,1.5(BDL),0.8,184,96,38,88,21,21,98,614,10(BDL),0.24,0.5(BDL),11,0.39,52,3.1,0.57,0.00042(BDL),0.086,0.00031(BDL),0.00056(BDL),0.009,0.025,1.834,0.052,2025
3597,Apr,Hesaraghatta Lake,"D (Propagation of wild life,fisheries)",28,6.9,6.7,322,4,1.2,0.02(BDL),210,1100,-,3(BDL),80,4.8,5(BDL),80,40,38,8.3,6.4,116,64,26,52,13,18,19,220,10(BDL),0.2(BDL),0.5(BDL),16,0.2(BDL),23,0.8,0.05(BDL),0.00042(BDL),0.004,0.00031(BDL),0.00056(BDL),0.00054(BDL),0.00059(BDL),0.434,0.057,2025
