"STN
Code",Sampling Month,Name Of Monitoring Location,Use Based Class,Dissolved O2 (mg/L),pH,"Conductivi
ty (&micro; mho/cm)","BOD
(mg/L)",NitrateN (mg/L),"Fecal
Coliform (MPN/100m
l)",Total Coliform (MPN/100ml),"Carbona te (CO3-
) (mg/L)","Bicarbonate (HCO3-)
(mg/L)",Turbidity (mg/L),"Phenolphthalein Alkalinity (mg/L)",Total Alkalinity (mg/L),Chlorides (mg/L),"COD
(mg/L)",Ammonical-N (mg/L),"Total
Hardness (mg/L)",Ca as CaCo3 (mg/L),Mg as CaCo3 (mg/L),Sulphate (mg/L),Sodium (mg/L),"Total
Dissolved Solids (mg/L)",Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),Year
4530,Aug,KAMMASANDRA LAKE,"E (Irrigation, industrial cooling",0.3(BDL),7.4,1394,28.0,7.3,49000000,240000000,3(BDL),600.0,27.6,5(BDL),600.0,180.0,192,10.5,488,248,240,29,91.0,948,2.8,0.5 (BDL),28.0,0.38,2023
5575,Aug,"Hanchanal Lake ,Hanchanal Vill,Bengaluru","D (Propagation of wild life,fisheries)",5.1,6.9,1187,3.9,12.0,1840,3200,,,69,5(BDL),228.0,216.0,60,0.4,232,100,132,220,45.0,760,0.4,0.5(BDL),6.81,0.75,2023
3645,Aug,DEVARAYASAMUDRA LAKE,"D (Propagation of wild life, fisheries)",4.1,7.4,466,7.0,8.0,4800,35000,3(BDL),160.0,7.1,5(BDL),160.0,44.0,72,0.6,220,116,104,8,43.0,320,0.3,0.5(BDL),6.0,0.4,2023
5589,Aug,"Mallapura Kere, Mallapura Vill, Nh-13, Hospet Road Chitradurga,Bengaluru","D (Propagation of wild life, fisheries)",0.3(BDL),7.8,1480,28.2,1.95,130,2800,,,12,5(BDL),330.0,220.0,44,2.39,328,216,112,56,165.1,968,,0.5(BDL),25.05,0.36,2023
3648,Aug,MYDALA TANK,"D (Propagation of wild life, fisheries)",5.6,7.0,250,4.0,6.0,480,16000,3(BDL),72.0,5.6,5(BDL),72.0,20.0,40,0.4,68,40,28,7,15.0,170,0.2 (BDL),0.5(BDL),3.0,0.2(BDL),2023
3644,Aug,MULBAGALU LAKE,"E (Irrigation, industrial cooling and controlled waste)",2.9,7.9,1196,20.0,4.0,7000,92000,3(BDL),388.0,34.8,5(BDL),388.0,336.0,136,2.0,288,148,140,8,93.0,824,0.2 (BDL),,4.0,0.4,2023
3621,Aug,HARALUR LAKE,"E (Irrigation, industrial cooling and controlled waste)",2,8.2,968,17.0,3.7,6300,54000,3(BDL),244.0,24.6,5(BDL),244.0,148.0,117,1.5,248,128,120,99,99.0,660,2.6,0.5(BDL),22.0,0.26,2023
5571,Aug,"Kudlu Doddakere, Kudlu Vill,Bengaluru","D (Propagation of wild life,fisheries)",4.1,8.5,708,10.0,3.0,27000,240000,24,128.0,16.5,12,140.0,136.0,99,0.84,164,88,76,57,92.0,480,0.44,0.5(BDL),20.0,0.26,2023
5572,Aug,"Kudlu Chikkakere, Bgp Layout Kudlu Vill ,Bengaluru","D (Propagation of wild life,fisheries)",4.1,8.5,710,11.0,3.0,7900,54000,24,128.0,17.3,12,140.0,136.0,104,0.86,164,88,76,58,93.0,486,0.45,0.5(BDL),20.0,0.28,2023
3611,Aug,KAIKONDANAHALLI LAKE,"D (Propagation of wild life,fisheries)",4.4,8.5,762,9.0,3.3,4600,35000,32,136.0,16.4,16,152.0,148.0,88,0.8,204,108,96,34,101.0,522,2.4,0.5(BDL),26.0,0.3,2023
