STN Code,Name Of Monitoring Location,Use Based Class,Temperature in o C,Dissolved O2 (mg/L),pH,Conductivity (micro;mho/c m),"BOD
(mg/L)",NitrateN (mg/L),NitriteN (mg/L),"Fecal Coliform (MPN/100ml)","Total Coliform (MPN/100ml)",Fecal Streptococci (MPN/100ml),"Carbonate (CO3-)
(mg/L)","Bicarbonate (HCO3-)
(mg/L)",Turbidity (mg/L),"Phenolphthalein Alkalinity
(mg/L)",Total Alkalinity (mg/L),Chlorides (mg/L),"COD
(mg/L)","Total Kjeldahl Nitrogen
(mg/L)",Ammonical-N (mg/L),Total Hardness (mg/L),Ca as CaCo3 (mg/L),Ca,Mg as CaCo3 (mg/L),Mg,Sulphate (mg/L),Sodium (mg/L),"Total Dissolved Solids
(mg/L)","Total Suspended Solids
(mg/L)",Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),Sodium Percentage,SAR,Ortho Phosphate (mg/L),Year
1388,Ulsoor Lake Training Centre Of Fish Breeding,"D (Propagation of wild life,fisheries)",30.0,6,8.6,381.0,6.0,1.53,0.02(BDL),430.0,2200.0,,16,88.0,28.6,8,96.0,60.0,56.0,1.5(BDL),0.4,80.0,44.0,18.0,36.0,9.0,12.0,27.0,258.0,34,0.2(BDL),0.5(BDL),2.0,0.28,41.0,1.31,0.05(BDL),2024
2778,River Arkavathi At Tippagondanahalli Reservoir,"D (Propagation of wild life,fisheries)",26.0,5.9,7.8,1281.0,7.0,4.76,0.1,390.0,5400.0,23.0,3(BDL),272.0,14.6,5(BDL),272.0,272.0,60.0,1.5(BDL),0.4,320.0,164.0,66.0,156.0,38.0,18.0,105.0,870.0,18,0.62,0.5(BDL),7.0,0.35,41.0,3.0,1.6,2024
3589,Madiwala Tank,"D (Propagation of wild life,fisheries)",26.0,6.2,8.0,524.0,4.0,1.8,0.02(BDL),1400.0,7900.0,,3(BDL),104.0,4.8,5(BDL),104.0,84.0,40.0,1.5(BDL),0.4,104.0,60.0,24.0,44.0,11.0,19.0,76.0,356.0,10(BDL),0.29,0.5(BDL),34.0,0.27,53.0,3.0,0.79,2024
3590,Lalbagh Tank,"D (Propagation of wild life,fisheries)",25.0,5.5,8.1,526.0,4.0,2,0.02(BDL),260.0,5400.0,,3(BDL),120.0,6.6,5(BDL),120.0,88.0,40.0,1.5(BDL),0.61,140.0,76.0,30.0,64.0,16.0,21.0,37.0,360.0,10(BDL),0.2(BDL),0.5(BDL),11.0,0.21,34.0,1.35,0.51,2024
3591,Kempambudhi Tank,"E (Irrigation, industrial cooling and controlled waste)",25.0,3.1,6.7,391.0,19.0,1.5,0.02(BDL),2000.0,17000.0,,3(BDL),88.0,8.4,5(BDL),88.0,60.0,155.0,3.2,2.6,104.0,56.0,22.0,48.0,12.0,16.0,26.0,266.0,10(BDL),0.31,0.5(BDL),8.0,0.2(BDL),31.0,1.1,0.9,2024
3592,Yediyur Tank,"D (Propagation of wild life,fisheries)",24.0,5.4,6.8,273.0,4.0,1,0.02(BDL),1100.0,13000.0,,3(BDL),60.0,9.2,5(BDL),60.0,44.0,45.0,1.5(BDL),0.4,72.0,40.0,16.0,32.0,8.0,11.0,37.0,186.0,12,0.2(BDL),0.5(BDL),5.0,0.2(BDL),50.0,2.0,0.05(BDL),2024
3593,Ulsoor Lake Temple,"D (Propagation of wild life,fisheries)",28.0,5.9,8.4,374.0,8.0,1.5,0.02(BDL),32.0,350.0,,16,88.0,32.4,8,96.0,56.0,76.0,1.5(BDL),0.4,60.0,36.0,14.0,24.0,6.0,20.0,25.0,254.0,40,0.2(BDL),0.5(BDL),2.0,0.2(BDL),47.0,1.4,0.05(BDL),2024
3594,Sankey Tank,"D (Propagation of wild life,fisheries)",27.0,6.9,7.5,532.0,4.0,2.1,0.02(BDL),170.0,2400.0,,3(BDL),120.0,2.2,5(BDL),120.0,88.0,40.0,1.5(BDL),0.4,140.0,76.0,30.0,64.0,16.0,22.0,48.0,364.0,10(BDL),0.2(BDL),0.5(BDL),11.0,0.44,40.0,2.0,0.27,2024
3595,Byrasandra Tank,"D (Propagation of wild life,fisheries)",30.0,4.2,7.2,508.0,9.0,2.04,0.02(BDL),2600.0,11000.0,,3(BDL),140.0,20.8,5(BDL),140.0,60.0,80.0,1.5(BDL),0.86,136.0,72.0,29.0,64.0,16.0,24.0,41.0,344.0,26,0.35,0.5(BDL),2.0,0.36,39.0,1.53,0.93,2024
3596,Nayandanahalli Tank,"D (Propagation of wild life,fisheries)",24.0,5.7,8.8,800.0,5.0,5.7,,32.0,1600.0,,156,296.0,10.5,156,296.0,128.0,64.0,1.5(BDL),0.4,196.0,104.0,42.0,92.0,22.0,30.0,89.0,542.0,14,0.2(BDL),0.5(BDL),20.0,0.32,47.0,2.8,0.6,2024
3597,Hesaraghatta Lake,"D (Propagation of wild life,fisheries)",29.0,6,8.1,359.0,4.0,1.4,0.02(BDL),380.0,3500.0,,3(BDL),96.0,4.2,5(BDL),96.0,56.0,44.0,1.5(BDL),0.46,80.0,44.0,18.0,36.0,9.0,15.0,31.0,246.0,10(BDL),0.2(BDL),0.5(BDL),7.0,0.28,42.0,2.0,0.05(BDL),2024
3598,Herohalli Tank,"E (Irrigation, industrial cooling and controlled waste)",24.0,3.2,6.8,429.0,24.0,1.65,0.02(BDL),3100.0,11000.0,,3(BDL),132.0,73.0,5(BDL),132.0,48.0,180.0,2.3,1.8,124.0,68.0,27.0,56.0,14.0,7.0,29.0,292.0,92,0.91,0.5(BDL),2.0,0.2(BDL),33.0,1.13,2.45,2024
3599,Anchepalya Lake,"E (Irrigation, industrial cooling and controlled waste)",29.0,2.8,7.2,365.0,19.0,1.4,0.02(BDL),2100.0,9400.0,,3(BDL),84.0,5.6,5(BDL),84.0,60.0,156.0,4.3,3.6,100.0,56.0,22.0,44.0,11.0,16.0,32.0,250.0,10(BDL),0.27,0.5(BDL),7.0,0.2(BDL),39.0,1.4,0.79,2024
3600,Shivapura Tank,"D (Propagation of wild life,fisheries)",24.0,6,7.2,1038.0,4.0,4.18,0.21,580.0,16000.0,,3(BDL),172.0,10.7,5(BDL),172.0,188.0,40.0,1.5(BDL),0.4,276.0,144.0,58.0,132.0,32.0,41.0,92.0,704.0,14,0.2(BDL),0.5(BDL),7.0,0.39,41.0,2.4,0.05(BDL),2024
3601,Karihobanahalli Lake,"E (Irrigation, industrial cooling and controlled waste)",24.0,2.8,6.8,967.0,27.0,3.9,1.5,1400.0,7900.0,,3(BDL),176.0,12.2,5(BDL),176.0,180.0,220.0,10,8.2,216.0,112.0,45.0,104.0,25.0,21.0,85.0,656.0,16,1.57,0.5(BDL),5.0,0.52,45.0,3.0,4.3,2024
