"STN
Code",Sampling Month,Name Of Monitoring Location,Use Based Class,Dissolved O2 (mg/L),pH,Conductivity (&micro;mho/cm),"BOD
(mg/L)",NitrateN (mg/L),Fecal Coliform (MPN/100ml),Total  Coliform (MPN/100ml),Fecal Streptococci (MPN/100ml),Carbonate (CO3-) (mg/L),Bicarbonate (HCO3-) (mg/L),Turbidity (mg/L),Phenolphthalein Alkalinity (mg/L),Total Alkalinity (mg/L),Chlorides (mg/L),"COD
(mg/L)",Total Kjeldahl Nitrogen (mg/L),Ammonical-N (mg/L),Total Hardness (mg/L),Ca as CaCo3 (mg/L),Mg as CaCo3 (mg/L),Sulphate (mg/L),Sodium (mg/L),Total Dissolved Solids (mg/L),Total Suspended Solids (mg/L),Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),Sodium Percentage,SAR,Ortho Phosphate (mg/L),Year
1388,Dec,"ULSOOR LAKE TRAINING
CENTRE OF FISH BREEDING","D (Propagation of wild life,fisheries)",4.6,8.0,332.0,8.0,1.15,4000.0,54000.0,,3(BDL),64.0,28.2,5(BDL),64.0,44.0,96.0,1.5(BDL),0.84,88.0,52.0,36.0,16,46.0,222.0,32,0.2(BDL),0.5(BDL),13.0,0.2(BDL),49.0,2.0,0.1,2023
2778,Dec,RIVER ARKAVATHI AT TIPPAGONDANAHALLI RESERVOIR,"E (Irrigation, industrial cooling and controlled waste)",1.8,7.5,1374.0,21.0,5.3,46000.0,350000.0,1600.0,3(BDL),320.0,7.1,5(BDL),320.0,232.0,168.0,10.9,8.6,372.0,192.0,180.0,56,118.0,952.0,10(BDL),0.77,0.5(BDL),27.0,0.26,38.0,2.7,2.1,2023
3589,Dec,MADIWALA TANK,"E (Irrigation, industrial cooling and controlled waste)",3.1,6.8,616.0,11.0,2.0,480.0,16000.0,,3(BDL),96.0,2.0,5(BDL),96.0,92.0,104.0,1.5(BDL),0.91,232.0,120.0,112.0,33,58.0,425.0,10(BDL),0.2(BDL),0.5(BDL),29.0,0.27,32.0,2.0,0.05(BDL),2023
3590,Dec,LALBAGH TANK,"D (Propagation of wild life,fisheries)",6.6,8.4,448.0,6.0,2.0,4600.0,54000.0,,24,112.0,8.9,5(BDL),124.0,68.0,56.0,1.5(BDL),0.41,236.0,124.0,112.0,8,37.0,304.0,12,0.2(BDL),0.5(BDL),2.0,0.4,25.0,1.04,0.05(BDL),2023
3591,Dec,KEMPAMBUDHI TANK,"E (Irrigation, industrial cooling and controlled waste)",3.2,7.3,462.0,15.0,1.77,2700.0,24000.0,,3(BDL),172.0,39.4,5(BDL),172.0,72.0,121.0,4.7,3.8,120.0,64.0,56.0,19,37.0,320.0,48,0.34,0.5(BDL),9.0,0.26,37.0,1.5,0.94,2023
3592,Dec,YEDIYUR TANK,"D (Propagation of wild life,fisheries)",4.7,6.8,271.0,5.0,1.04,2700.0,24000.0,,3(BDL),60.0,12.3,5(BDL),60.0,40.0,121.0,1.5(BDL),0.76,68.0,40.0,28.0,11,22.0,186.0,16,0.2(BDL),0.5(BDL),5.0,0.2(BDL),39.0,1.2,0.05(BDL),2023
3593,Dec,ULSOOR LAKE TEMPLE,"D (Propagation of wild life,fisheries)",5,8.1,333.0,7.0,1.16,3100.0,35000.0,,3(BDL),72.0,32.6,5(BDL),72.0,40.0,84.0,1.5(BDL),0.89,80.0,48.0,32.0,16,46.0,224.0,40,0.2(BDL),0.5(BDL),14.0,0.2(BDL),51.0,2.0,0.17,2023
3594,Dec,SANKEY TANK,"D (Propagation of wild life,fisheries)",4.4,7.76,491.0,8.0,1.1,480.0,16000.0,,3(BDL),168.0,4.2,5(BDL),168.0,76.0,96.0,1.5(BDL),0.4,192.0,100.0,92.0,21,38.0,336.0,10(BDL),0.2(BDL),0.5(BDL),4.0,0.26,30.0,1.1,0.05(BDL),2023
3595,Dec,BYRASANDRA TANK,"E (Irrigation, industrial cooling and controlled waste)",3.1,6.9,459.0,16.0,2.0,7000.0,92000.0,,3(BDL),100.0,20.1,5(BDL),100.0,40.0,112.0,2.26,1.7,112.0,64.0,48.0,19,49.0,312.0,24,0.5,0.5(BDL),13.0,0.2(BDL),45.0,2.0,1.2,2023
3596,Dec,NAYANDANAHALLI TANK,"E (Irrigation, industrial cooling and controlled waste)",1.2,7.2,902.0,40.0,3.1,940.0,16000.0,,3(BDL),208.0,1.2,5(BDL),208.0,140.0,192.0,9,6.9,260.0,136.0,124.0,32,107.0,608.0,10(BDL),1.08,0.5(BDL),27.0,0.21,44.0,4.0,2.9,2023
