"STN
Code",Sampling Month,Name Of Monitoring Location,Use Based Class,Temperature,Dissolved O2 (mg/L),pH,Conductivity (&micro;mho/cm),BOD (mg/L),NitrateN (mg/L),NitriteN (mg/L),"Fecal Coliform (MPN/
100ml)","Total Coliform (MPN/
100ml)","Fecal Streptococci (MPN/
100ml)","Carbonate (CO3-)
(mg/L)","Bicarbonate (HCO3-)
(mg/L)",Saprobity Index,Diversity Index,Turbidity (mg/L),Phenolphthalein Alkalinity (mg/L),Total Alkalinity (mg/L),Chlorides (mg/L),"COD
(mg/L)",Total Kjeldahl Nitrogen (mg/L),Ammonic al-N (mg/L),Total Hardness (mg/L),Ca as CaCo3 (mg/L),Ca (mg/L),Mg as CaCo3 (mg/L),Mg (mg/L),Sulphate (mg/L),Sodium (mg/L),Total Dissolved Solids (mg/L),Total Suspended Solids (mg/L),Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),Sodium Percentage,SAR,Ortho Phosphate (mg/L),Year
1388,Dec-24,Ulsoor Lake Training Centre Of Fish Breeding,"D (Propagation of wild life,fisheries)",29.0,6.3,7.3,531,4,2.0,0.02(BDL),2700,17000,-,3(BDL),116,-,-,91.0,5(BDL),116,84,47,1.5(BDL),0.4,140,72,28.8,68,16.53,21,52,364,96,0.2(BDL),0.5(BDL),10,0.25,42,2.0,0.34,2024
2778,Dec-24,River Arkavathi At Tippagondanahalli Reservoir,"D (Propagation of wild life,fisheries)",26.7,6.3,7.3,1125,7,4.3,0.2,20,280,79,3(BDL),244,4.2,0.81,1.1,5(BDL),244,176,73,1.5(BDL),0.93,296,192,76.8,104,25.28,18,94,766,10(BDL),1.5,0.5(BDL),18,0.32,39,2.4,3.5,2024
3589,Dec-24,Madiwala Tank,"D (Propagation of wild life,fisheries)",26.0,6,7.9,560,6,5.0,0.02(BDL),410,4300,-,3(BDL),128,-,-,10.0,5(BDL),128,104,67,11.7,9.0,156,88,35.2,68,16.53,20,55,380,14,0.2(BDL),0.5(BDL),8,0.2(BDL),42,1.9,0.05(BDL),2024
3590,Dec-24,Lalbagh Tank,"D (Propagation of wild life,fisheries)",24.0,6.9,7.8,535,4,2.1,0.02(BDL),2600,15000,-,3(BDL),124,-,-,10.9,5(BDL),124,88,40,1.5(BDL),0.4,144,76,30.4,68,16.53,22,53,368,14,0.2(BDL),0.5(BDL),11,0.35,42,2.0,0.39,2024
3591,Dec-24,Kempambudhi Tank,"D (Propagation of wild life,fisheries)",26.0,4.6,7.0,474,5,1.8,0.02(BDL),3800,21000,-,3(BDL),104,-,-,57.1,5(BDL),104,76,55,1.5(BDL),0.72,124,68,27.2,56,13.61,19,46,326,62,0.2(BDL),0.5(BDL),9,0.21,42,2.0,0.05(BDL),2024
3592,Dec-24,Yediyur Tank,"D (Propagation of wild life,fisheries)",24.0,6.2,7.1,318,4,1.2,0.02(BDL),340,2400,-,3(BDL),68,-,-,16.2,5(BDL),68,48,44,1.5(BDL),0.4,84,48,19.2,36,8.75,13,31,216,20,0.2(BDL),0.5(BDL),6,0.2(BDL),42,1.46,0.05(BDL),2024
3593,Dec-24,Ulsoor Lake Temple,"D (Propagation of wild life,fisheries)",29.0,5.5,7.1,418,5,2.0,0.02(BDL),6300,35000,-,3(BDL),92,-,-,98.6,5(BDL),92,64,58,1.5(BDL),0.41,112,60,24.0,52,12.64,17,41,282,108,0.2(BDL),0.5(BDL),8,0.2(BDL),42,2.0,0.05(BDL),2024
3594,Dec-24,Sankey Tank,"D (Propagation of wild life,fisheries)",27.0,5.8,7.4,524,5,1.8,0.02(BDL),680,4100,-,3(BDL),124,-,-,3.2,5(BDL),124,56,64,1.5(BDL),0.49,152,84,33.6,68,16.53,16,53,350,10(BDL),0.2(BDL),0.5(BDL),8,0.2(BDL),41,1.9,0.05(BDL),2024
3595,Dec-24,Byrasandra Tank,"D (Propagation of wild life,fisheries)",29.0,6.3,7.6,423,4,1.6,0.02(BDL),3200,17000,-,3(BDL),92,-,-,102.5,5(BDL),92,64,44,1.5(BDL),0.4,112,60,24.0,52,12.64,17,41,288,110,0.2(BDL),0.5(BDL),8,0.21,42,2.0,0.05(BDL),2024
3596,Dec-24,Nayandanahalli Tank,"D (Propagation of wild life,fisheries)",24.8,6.1,8.3,544,7,2.0,0.17,110,2400,-,16,164,-,-,3.5,8,172,112,69,1.5(BDL),0.4,156,84,33.6,72,17.5,17,85,370,10(BDL),1.7,0.5(BDL),17,0.34,50,2.9,4,2024
