Sl.No,STN Code,Sampling Month,Name Of Monitoring Location,Use Based Class,"Temperature
0C",Dissolved O2 (mg/L),pH,Conductivity (&micro;mh o/cm),"BOD
(mg/L)",NitrateN (mg/L),NitriteN (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Fecal Streptococci (MPN/100ml),"Carbonate (CO3-)
(mg/L)","Bicarbonate (HCO3-)
(mg/L)",Turbidity (NTU),Phenolphthalein Alkalinity (mg/L),Total Alkalinity (mg/L),Chlorides (mg/L),"COD
(mg/L)",Total Kjeldahl Nitrogen (mg/L),Ammonical N (mg/L),Total Hardness (mg/L),Ca as CaCo3 (mg/L),Ca (mg/L),Mg as CaCo3 (mg/L),Mg (mg/L),Sulphate (mg/L),Sodium (mg/L),Total Dissolved Solids (mg/L),Total Suspended Solids (mg/L),Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),Sodium Percentage,SAR,Ortho Phosphate (mg/L),Year
1,1388,Feb,Ulsoor Lake Training Centre Of Fish Breeding,"D (Propagation of wild life,fisheries)",28.0,6.2,8.3,444,7,1.6,0.02(BDL),170,3500,-,24,56,39.6,12,68,52,81,1.5(BDL),0.4,76,48,19,28,6.8,14,48,302,52,0.2(BDL),0.5(BDL),13,0.2(BDL),53,2.4,0.1,2025
2,2778,Feb,River Arkavathi At Tippagonda-halli Reservoir,"D (Propagation of wild life,fisheries)",29.4,5.5,7.7,1120,10,4.3,0.6,110,1700,13,3(BDL),288,23.1,5(BDL),288,172,101,3.9,3.0,324,168,67,156,37.9,20,91,762,30,0.8,0.5(BDL),18,0.32,36,1.0,1.8,2025
3,3589,Feb,Madiwala Tank,"D (Propagation of wild life,fisheries)",28.0,4.2,8.0,883,5,3.39,0.38,310,2200,-,3(BDL),240,20.3,5(BDL),240,100,53,1.5(BDL),0.4,164,104,42,60,14.6,9,78,608,28,0.23,0.5(BDL),15,0.2(BDL),48,2.65,0.58,2025
4,3590,Feb,Lalbagh Tank,"D (Propagation of wild life,fisheries)",30.0,5.8,8.2,577,9,2.2,0.02(BDL),110,2400,-,3(BDL),96,21.8,5(BDL),96,72,78,1.5(BDL),0.58,80,40,16,40,9.7,8,69,392,30,0.2(BDL),0.5(BDL),15,0.2(BDL),60,3.4,0.13,2025
5,3591,Feb,Kempambudhi Tank,"E (Irrigation, industrial cooling and controlled waste)",30.0,1.4,8.2,540,22,2.0,0.02(BDL),2600,35000,-,3(BDL),176,172,5(BDL),176,44,162,5.72,4.4,144,76,30,68,16.5,5(BDL),42,372,190,0.4,0.5(BDL),8,0.2(BDL),38,1.5,1,2025
6,3592,Feb,Yediyur Tank,"D (Propagation of wild life,fisheries)",29.1,6.6,8.1,320,4,1.23,0.02(BDL),1100,7900,-,3(BDL),88,33.8,5(BDL),88,28,24,1.5(BDL),0.4,84,56,22,28,6.8,5(BDL),44,216,44,0.2(BDL),0.5(BDL),9,0.2(BDL),50,2.06,0.05(BDL),2025
7,3593,Feb,Ulsoor Lake Temple,"D (Propagation of wild life,fisheries)",28.0,6.0,8.3,448,10,1.71,0.02(BDL),1400,8400,-,40,68,58.2,20,88,56,101,1.5(BDL),0.4,92,52,21,40,9.7,13,47,304,72,0.2(BDL),0.5(BDL),13,0.2(BDL),50,2.1,0.1,2025
8,3594,Feb,Sankey Tank,"D (Propagation of wild life,fisheries)",27.0,6.5,7.2,652,4,2.5,0.02(BDL),170,1300,-,3(BDL),164,1.3,5(BDL),164,64,44,1.5(BDL),0.4,136,76,30,60,14.6,20,49,442,10(BDL),0.2(BDL),0.5(BDL),8,0.2(BDL),42,1.8,0.2,2025
9,3595,Feb,Byrasandra Tank,"D (Propagation of wild life,fisheries)",29.0,6.8,7.1,1419,5,5.5,0.02(BDL),400,2400,-,3(BDL),292,11.7,5(BDL),292,44,57,1.5(BDL),0.4,856,432,173,424,103.0,247,49,964,14,0.2(BDL),0.5(BDL),25,0.2(BDL),11,0.7,0.1,2025
10,3596,Feb,-yanda-halli Tank,"D (Propagation of wild life,fisheries)",25.3,6.2,8.0,1112,5,4.27,0.26,1500,4800,-,3(BDL),244,5,5(BDL),244,132,54,1.5(BDL),0.5,228,132,53,96,23.3,33,89,744,10(BDL),0.22,0.5(BDL),23,0.34,43,2.57,0.56,2025
