STN_CODE,NAMEOFMONITORINGLOCATION,USEBASEDCLASS,DO,PH,CONDUCTIVITY,BOD,NITRATE_N,FECAL_COLI,TOTAL_COLI,CARBONATE,BICARBONATE,PHENOLPHTHALEINALKALINITY,TOTALALKALINITY,CHLORIDES,COD,TOTALKJELDAHLNITROGEN,AMMONICALN,TOTALHARDNESS,CAASCACO3,MGASCACO3,SULPHATE,SODIUM,TOTALDISSOLVEDSOLIDS,TOTALSUSPENDEDSOLIDS,PHOSPHATE,BORON,POTASSIUM,FLUORIDE,SODIUMPERCENTAGE,SAR,ORTHOPHOSPHATE,YEAR
1388.0,Ulsoor Lake Training Centre Of Fish Breeding,"D (Propagation of wild life,fisheries)",7.0,6.7,725.0,4.0,2.8,1400.0,11000.0,3.0,156.0,5.0,156.0,72.0,39.0,1.5,0.4,144.0,116.0,28.0,31.0,68.0,500.0,10.0,0.2,0.5,17.0,0.2,47.0,2.5,0.3,2025.0
2778.0,River Arkavathi At Tippagonda-halli Reservoir,"D (Propagation of wild life,fisheries)",6.7,7.1,1266.0,6.0,5.0,17.0,220.0,3.0,272.0,5.0,272.0,172.0,68.0,5.2,4.0,284.0,144.0,140.0,46.0,92.0,860.0,10.0,2.5,0.5,18.0,0.23,39.0,2.4,6.0,2025.0
3589.0,Madiwala Tank,"D (Propagation of wild life,fisheries)",5.4,7.1,679.0,10.0,2.6,170.0,3500.0,3.0,220.0,5.0,220.0,100.0,94.0,1.5,0.4,160.0,88.0,72.0,10.0,79.0,462.0,28.0,0.9,0.5,16.0,0.2,48.0,2.7,2.1,2025.0
3590.0,Lalbagh Tank,"D (Propagation of wild life,fisheries)",5.2,7.1,584.0,4.0,2.9,1700.0,7900.0,3.0,176.0,5.0,176.0,112.0,52.0,1.5,0.4,160.0,104.0,56.0,16.0,59.0,396.0,10.0,0.2,0.5,8.0,0.32,43.0,2.0,0.36,2025.0
3591.0,Kempambudhi Tank,"D (Propagation of wild life,fisheries)",4.5,6.9,544.0,5.0,3.2,2100.0,9400.0,3.0,136.0,5.0,136.0,104.0,48.0,1.5,0.4,152.0,84.0,68.0,26.0,60.0,370.0,14.0,0.2,0.5,8.0,0.22,44.0,2.1,0.26,2025.0
3592.0,Yediyur Tank,"D (Propagation of wild life,fisheries)",5.4,6.8,340.0,6.0,3.16,260.0,2800.0,3.0,80.0,5.0,80.0,120.0,56.0,1.5,0.4,100.0,56.0,44.0,20.0,22.0,230.0,10.0,0.2,0.5,4.0,0.38,31.0,1.0,0.25,2025.0
3593.0,Ulsoor Lake Temple,"D (Propagation of wild life,fisheries)",5.6,8.5,420.0,10.0,1.6,1700.0,13000.0,3.0,80.0,5.0,80.0,56.0,106.0,1.5,0.4,68.0,36.0,32.0,10.0,45.0,286.0,76.0,0.2,0.5,14.0,0.2,53.0,2.4,0.1,2025.0
3594.0,Sankey Tank,"D (Propagation of wild life,fisheries)",7.0,7.5,576.0,4.0,2.2,120.0,2400.0,3.0,148.0,5.0,148.0,72.0,47.0,1.5,0.4,136.0,76.0,60.0,15.0,56.0,392.0,10.0,0.2,0.5,8.0,0.24,45.0,2.1,0.05,2025.0
3595.0,Byrasandra Tank,"D (Propagation of wild life,fisheries)",5.4,8.5,405.0,10.0,1.5,210.0,3500.0,40.0,52.0,20.0,72.0,44.0,109.0,1.5,0.4,52.0,32.0,20.0,16.0,43.0,276.0,38.0,0.2,0.5,13.0,0.2,57.0,2.6,0.1,2025.0
3596.0,-yanda-halli Tank,"D (Propagation of wild life,fisheries)",4.8,7.6,1030.0,10.0,4.0,1400.0,4800.0,3.0,216.0,5.0,216.0,124.0,90.0,1.5,0.4,200.0,108.0,92.0,23.0,97.0,700.0,10.0,0.7,0.5,19.0,0.2,49.0,3.0,1.7,2025.0
