"Sampling
Month",Name Of Monitoring Location,Use Based Class,Dissolved O2 (mg/L),pH,"Conductivi
ty (&micro; mho/cm)","BOD
(mg/L)",NitrateN (mg/L),"Fecal Coliform (MPN/100ml)",Total Coliform (MPN/100ml),"Carbonate (CO3-
) (mg/L)","Bicarbonate (HCO3-)
(mg/L)",Turbidity (mg/L),"Phenolphthalein Alkalinity (mg/L)",Total Alkalinity (mg/L),Chlorides (mg/L),"COD
(mg/L)",Ammonical-N (mg/L),"Total Hardness (mg/L)",Ca as CaCo3 (mg/L),Mg as CaCo3 (mg/L),Sulphate (mg/L),Sodium (mg/L),"Total
Dissolved Solids (mg/L)",Phosphate (mg/L),Iron (mg/L),Potassium (mg/L),Fluoride (mg/L),Year
Jul,DEVASANDRA LAKE,"D (Propagation of wild life,fisheries)",4.4,8.2,392,7.0,1,6300,54000,3(BDL),80,35.6,5(BDL),80,64,88,0.48,72,44,28,15,73,268,0.56,0.5(BDL),13,0.23,2023
Jul,HEBBAL LAKE,"D (Propagation of wild life,fisheries)",4.7,7.2,550,8.0,2,2300,54000,3(BDL),124,6.4,5(BDL),124,108,72,0.79,148,80,68,11,60,376,0.98,0.5(BDL),27,0.28,2023
Jul,JAKKUR LAKE,"E (Irrigation, industrial cooling and controlled waste)",2.6,7.0,908,12.0,4.1,4000,92000,3(BDL),224,25.3,5(BDL),224,156,119,1.8,280,144,136,20,125,620,2.4,0.5(BDL),32,0.45,2023
Jul,NAGAVARA LAKE,"D (Propagation of wild life,fisheries)",4.9,7.0,550,8.0,2,1300,24000,3(BDL),128,5.8,5(BDL),128,100,71,0.8,148,80,68,12,58,372,0.7,0.5(BDL),26,0.32,2023
Jul,CHELEKERE LAKE,"D (Propagation of wild life,fisheries)",4.8,7.1,548,8.0,0.3(BDL),1700,35000,3(BDL),124,5.9,5(BDL),124,108,70,0.8,124,68,56,11,59,372,0.83,0.5(BDL),26,0.3,2023
Jul,"Segehalli Lake Baavanapura Road Battarahalli , Bangalore East","E (Irrigation, industrial cooling and controlled waste)",2.9,7.5,766,35.0,3,11000,92000,3(BDL),220,78.2,5(BDL),220,96,168,2.2,204,108,96,21,11,518,1.2,0.5(BDL),18,0.28,2023
Jul,"Kannamangala Lake Hoskote Main Road , Bengalore","E (Irrigation, industrial cooling and controlled waste)",3.2,7.9,1842,21.0,6,9400,160000,3(BDL),152,35.1,5(BDL),152,420,136,1.4,448,228,220,18,65,1232,0.83,0.5(BDL),33,0.2(BDL),2023
Jul,VEERAPURA TANK,"D (Propagation of wild life,fisheries)",5.2,6.9,621,5.0,9,4700,160000,3(BDL),104,16.1,5(BDL),104,72,44,0.51,164,88,76,14,40,422,0.29,0.5(BDL),9,0.22,2023
Jul,SINGAPURA LAKE,"D (Propagation of wild life,fisheries)",4.1,7.1,488,11.0,1.7,4700,54000,3(BDL),136,16.4,5(BDL),136,88,100,0.96,156,84,72,13,55,330,0.2(BDL),0.5(BDL),17,0.28,2023
Jul,PUTTENAHALLI LAKE,"D (Propagation of wild life,fisheries)",4.2,7.4,784,10.0,2.3,21,540,3(BDL),164,38.4,5(BDL),164,128,100,0.92,156,84,72,45,90,534,0.2(BDL),0.5(BDL),13,0.29,2023
