"Sl.
No.","STN
Code",Name Of Monitoring Location,Use Based Class,Dissolved O2 (mg/L),pH,"Conductivity (&micro;mho
/cm)","BOD
(mg/L)",NitrateN (mg/L),NitriteN (mg/L),"Fecal Coliform (MPN/10
0ml)","Total Coliform (MPN/100
ml)",Fecal Streptococci (MPN/100ml),"Carbonate (CO3-)
(mg/L)","Bicarbonate (HCO3-)
(mg/L)",Turbidity (mg/L),Phenolphthalein Alkalinity (mg/L),Total Alkalinity (mg/L),Chlorides (mg/L),"COD
(mg/L)",Total Kjeldahl Nitrogen (mg/L),Ammonical-N (mg/L),Total Hardness (mg/L),Ca as CaCo3 (mg/L),Ca as Ca (mg/L),Mg as CaCo3 (mg/L),Mg as Ca (mg/L),Sulphate (mg/L),Sodium (mg/L),Total Dissolved Solids (mg/L),Total Suspended Solids (mg/L),Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),Sodium Percentage,SAR,Ortho Phosphate (mg/L),Year
1,1388.0,"Ulsoor Lake Training Centre Of Fish
Breeding","D (Propagation of wild
life,fisheries)",6.7,9.0,453.0,5.0,1.42,0.02(BDL),14.0,120.0,,32,56.0,21.3,16,72.0,52.0,60.0,1.5(BDL),0.4,88.0,48.0,19.2,40.0,9.7,10,28.0,304.0,28,0.2(BDL),0.5(BDL),2.0,0.29,40.0,1.3,0.05(BDL),2024
2,2778.0,"River Arkavathi At
Tippagondanahalli Reservoir","D (Propagation of wild
life,fisheries)",5.4,7.4,1140.0,6.0,4,0.24,68.0,490.0,23.0,3(BDL),252.0,29.8,5(BDL),252.0,208.0,72.0,1.5(BDL),0.64,352.0,184.0,73.6,168.0,40.8,19,140.0,766.0,40,1.5,0.5(BDL),25.0,0.43,44.0,3.0,4.2,2024
3,3589.0,Madiwala Tank,"D (Propagation of wild
life,fisheries)",4.7,8.0,808.0,4.0,3.1,0.1,9200.0,46000.0,,3(BDL),220.0,6.2,5(BDL),220.0,136.0,40.0,1.5(BDL),0.56,184.0,96.0,38.4,88.0,21.4,33,80.0,544.0,10(BDL),0.27,0.5(BDL),18.0,0.23,46.0,2.5,0.76,2024
4,3590.0,Lalbagh Tank,"D (Propagation of wild
life,fisheries)",4.7,8.6,535.0,9.0,1.9,0.59,2100.0,7000.0,,16,72.0,28.3,8,88.0,108.0,91.0,1.5(BDL),0.84,92.0,52.0,20.8,40.0,9.7,20,63.0,366.0,36,0.2(BDL),0.5(BDL),11.0,0.2(BDL),56.0,3.0,0.3,2024
5,3591.0,Kempambudhi Tank,"D (Propagation of wild
life,fisheries)",4.8,6.6,436.0,8.0,1.4,0.02(BDL),11000.0,33000.0,,3(BDL),188.0,35.2,5(BDL),188.0,36.0,84.0,1.5(BDL),0.88,152.0,80.0,32.0,72.0,17.5,10,48.0,300.0,46,0.2(BDL),0.5(BDL),16.0,0.2(BDL),37.0,1.7,0.05(BDL),2024
6,3592.0,Yediyur Tank,"D (Propagation of wild
life,fisheries)",4.8,7.6,305.0,8.0,1,0.02(BDL),1700.0,7900.0,,3(BDL),68.0,23.4,5(BDL),68.0,52.0,84.0,1.5(BDL),0.82,72.0,40.0,16.0,32.0,7.8,14,36.0,208.0,30,0.2(BDL),0.5(BDL),11.0,0.2(BDL),47.0,1.8,0.05(BDL),2024
7,3593.0,Ulsoor Lake Temple,"D (Propagation of wild
life,fisheries)",5.8,9.3,462.0,6.0,1.46,0.02(BDL),380.0,9200.0,,16,60.0,24.9,8,68.0,56.0,64.0,1.5(BDL),0.4,72.0,40.0,16.0,32.0,7.8,14,29.0,308.0,30,0.2(BDL),0.5(BDL),2.0,0.28,46.0,2.0,0.05(BDL),2024
8,3594.0,Sankey Tank,"D (Propagation of wild
life,fisheries)",5.9,6.9,611.0,7.0,2.06,0.02(BDL),170.0,3500.0,,3(BDL),140.0,4.6,5(BDL),140.0,64.0,60.0,1.5(BDL),0.4,156.0,84.0,33.6,72.0,17.5,8,40.0,396.0,10(BDL),0.2(BDL),0.5(BDL),3.0,0.45,35.0,1.4,0.05(BDL),2024
9,3595.0,Byrasandra Tank,"D (Propagation of wild
life,fisheries)",5.5,7.0,487.0,6.0,1.96,0.02(BDL),210.0,5400.0,,3(BDL),124.0,13.6,5(BDL),124.0,52.0,52.0,1.5(BDL),0.4,140.0,76.0,30.4,64.0,15.6,10,38.0,306.0,18,0.45,0.5(BDL),2.0,0.27,37.0,1.4,1.1,2024
10,3596.0,Nayandanahalli Tank,"D (Propagation of wild
life,fisheries)",6.2,8.4,738.0,4.0,2.8,0.02(BDL),210.0,5400.0,,3(BDL),184.0,6.8,12,196.0,120.0,44.0,1.5(BDL),0.62,168.0,88.0,35.2,80.0,19.4,30,66.0,496.0,10(BDL),0.2(BDL),0.5(BDL),15.0,0.27,44.0,2.21,0.39,2024
