"STN
Code",Sampling Month,Name Of Monitoring Location,Use Based Class,Temperature° C,Dissolved O2 (mg/L),pH,Conductivity (&micro;mho/ cm),"BOD
(mg/L)",NitrateN (mg/L),NitriteN (mg/L),"Fecal Coliform (MPN/100ml)","Total Coliform (MPN/100ml)","Carbonate (CO3-)
(mg/L)","Bicarbonate (HCO3-)
(mg/L)",Turbidity NTU,"Phenolphthalein Alkalinity
(mg/L)",Total Alkalinity (mg/L),Chlorides (mg/L),"COD
(mg/L)","Total Kjeldahl Nitrogen
(mg/L)",Ammonical-N (mg/L),Total Hardness (mg/L),Ca as CaCo3 (mg/L),Calcium as Ca (mg/L),Mg as CaCo3 (mg/L),Magnesium as Mg (mg/L),Sulphate (mg/L),Sodium (mg/L),"Total Dissolved Solids
(mg/L)","Total Suspended Solids
(mg/L)",Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),Sodium Percentage,SAR,Ortho Phosphate (mg/L),Year
1388,Jul,"Ulsoor Lake Training Centre Of Fish
Breeding",E,30.0,3.0,8.4,404,18.0,1.7,BDL,1700,13000,16,52,167,8,60,48,124,3.3,2.4,48,32,12.8,16,3.9,35,50,272,212,BDL,BDL,12,BDL,63.0,3.0,0.33,2025
3589,Jul,Madiwala Tank,E,26.0,BDL,7.3,1753,10.0,6.7,BDL,3100,17000,BDL,260,33.5,BDL,260,380,100,4.48,3.2,256,180,72.0,70,17.0,62,280,1172,44,BDL,BDL,40,0.66,67.0,7.7,BDL,2025
3590,Jul,Lalbagh Tank,D,27.0,5.4,8.2,489,6.0,2.3,BDL,260,4300,BDL,88,11.5,BDL,88,68,56,BDL,0.4,80,48,19.2,32,7.8,20,63,330,16,BDL,BDL,15,0.47,58.0,3.0,0.22,2025
3591,Jul,Kempambudhi Tank,D,29.0,5.1,8.0,572,9.0,1.9,BDL,2300,9400,BDL,196,108,BDL,196,68,104,BDL,0.51,160,84,33.6,76,18.5,8,79,390,140,0.67,BDL,8,0.25,50.0,2.8,1.5,2025
3592,Jul,Yediyur Tank,D,28.0,6,8.2,257,4.0,1.0,BDL,240,2800,BDL,76,10.2,BDL,76,24,44,BDL,0.4,80,48,19.2,32,7.8,9,22,174,14,BDL,BDL,9,0.21,34.0,1.0,BDL,2025
3593,Jul,Ulsoor Lake Temple,E,30.0,3.3,8.5,402,16.0,1.4,BDL,2100,7000,24,48,172,12,60,52,112,2.5,1.8,48,32,12.8,16,3.9,27,50,268,220,BDL,BDL,13,BDL,62.0,3.0,0.27,2025
3594,Jul,Sankey Tank,D,27.0,6.2,7.7,580,5.0,2.2,BDL,310,4300,BDL,132,5.9,BDL,132,92,56,BDL,0.92,156,84,33.6,72,17.5,24,57,394,BDL,BDL,BDL,12,0.26,41.0,2.0,0.21,2025
3595,Jul,Byrasandra Tank,D,29.0,4.6,8.2,1010,7.0,4.0,0.59,260,3500,BDL,136,5.2,BDL,136,164,88,BDL,0.63,136,76,30.4,60,14.6,32,114,660,BDL,BDL,BDL,24,0.48,60.0,4.0,0.85,2025
3596,Jul,Nayandanahalli Tank,D,24.5,6.0,8.5,730,5.0,2.8,0.11,210,3500,48,160,11.5,24,184,124,52,BDL,0.4,176,88,35.2,88,21.4,14,77,504,16,0.27,BDL,9,0.39,47.0,2.5,0.63,2025
3597,Jul,Hesaraghatta Lake,D,24.0,6.0,7.3,382,4.0,1.3,0.24,26,140,BDL,64,6.8,BDL,64,12,48,BDL,0.61,140,76,30.4,64,15.6,28,28,260,BDL,BDL,BDL,BDL,0.24,30.0,1.02,BDL,2025
3598,Jul,Herohalli Tank,E,23.0,2.9,7.2,530,20.0,2.0,BDL,170,3500,BDL,120,24.6,BDL,120,84,176,4.1,3.6,140,76,30.4,64,15.6,22,52,362,28,BDL,BDL,11,0.22,42.0,1.91,0.21,2025
3599,Jul,Anchepalya Lake,D,24.0,6.2,7.6,414,4.0,1.6,BDL,310,2800,BDL,92,12.5,BDL,92,64,40,BDL,0.4,108,56,22.4,52,12.6,17,40,280,14,BDL,BDL,8,0.26,1.68,42.0,BDL,2025
3600,Jul,Shivapura Tank,D,23.0,6.4,8.5,683,4.0,2.6,BDL,260,4300,32,168,16.2,16,184,112,48,BDL,0.4,156,84,33.6,72,17.5,28,67,464,20,BDL,BDL,14,0.34,45.0,2.33,0.23,2025
3602,Jul,Bellandur Lake,D,26.0,5.1,7.4,811,8.0,3.1,0.72,200,2200,BDL,276,1.1,BDL,276,88,92,BDL,1.1,264,132,52.8,132,32.1,13,89,560,BDL,0.55,BDL,9,0.33,41.0,2.4,1.3,2025
3603,Jul,Vengaiyyanakere( Kr Puram Lake ),E,26.0,2.2,7.4,1105,27.0,4.5,0.07,4900,28000,BDL,240,17.9,BDL,240,224,192,3.5,2.9,224,120,48.0,104,25.3,24,97,728,22,0.22,BDL,36,0.46,44.0,2.8,0.62,2025
3604,Jul,Doddanekkundi Lake,D,26.0,6.8,7.6,682,4.0,2.6,BDL,12,70,BDL,120,8.9,BDL,120,76,44,BDL,0.55,168,88,35.2,80,19.4,15,70,460,12,BDL,BDL,13,0.49,45.0,2.15,0.28,2025
3605,Jul,Yelemallappa Shetty Lake,E,25.0,2.8,6.6,720,16.0,2.7,0.72,940,5400,BDL,180,13.3,BDL,180,180,120,3.2,2.6,180,96,38.4,84,20.4,BDL,60,486,18,0.56,BDL,6,0.27,41.0,1.9,1.6,2025
3606,Jul,Dasarahalli Tank,D,23.0,6.1,7.0,468,5.0,1.8,BDL,110,2400,BDL,104,13.8,BDL,104,76,56,BDL,0.4,124,68,27.2,56,13.6,19,45,320,16,BDL,BDL,9,BDL,42.0,1.75,BDL,2025
3607,Jul,Kalkere Tank,E,24.0,BDL,7.6,1607,50.0,6.17,BDL,270,1700,BDL,336,28.3,BDL,336,232,244,2.9,2.4,464,236,94.4,228,55.4,BDL,148,1072,36,1.54,BDL,10,0.38,49.0,2.99,4.68,2025
3608,Jul,Varthur Lake,D,26.0,5.4,7.8,921,6.0,3.8,BDL,380,2100,BDL,276,2.2,BDL,276,80,56,BDL,0.4,236,124,49.6,112,27.2,12,71,612,BDL,0.44,BDL,29,0.45,36.0,2.0,0.6,2025
3609,Jul,Ibbalur Lake,D,26.0,5.0,8.5,978,8.0,3.7,0.17,250,2100,64,224,5.7,32,256,144,88,BDL,0.4,204,108,43.2,96,23.3,14,96,668,BDL,0.68,BDL,9,0.39,49.0,2.9,1.6,2025
3610,Jul,Tubarahalli Tank,D,25.0,4.5,7.4,757,8.0,2.9,BDL,170,3500,BDL,92,4.2,BDL,92,128,92,BDL,0.83,136,76,30.4,60,14.6,15,80,500,BDL,BDL,BDL,12,0.35,53.0,3.0,0.21,2025
3611,Jul,Kaikondanahalli Lake,D,25.0,5.0,7.5,1597,8.0,6.1,BDL,200,3500,BDL,250,15.5,BDL,250,332,96,BDL,0.91,350,170,68.0,170,41.3,51,232,1086,22,BDL,BDL,37,0.77,56.0,5.4,0.13,2025
3612,Jul,Agaram Lake,D,26.0,5.8,8.5,980,6.0,3.8,0.14,210,2800,40,248,6.5,20,268,136,64,BDL,0.4,200,104,41.6,96,23.3,15,98,660,BDL,0.63,BDL,8,0.37,50.0,3.0,1.5,2025
3613,Jul,Gottigere Lake,E,26.0,BDL,7.4,1986,10.0,7.62,BDL,3100,12000,BDL,210,22.1,BDL,210,500,104,3.5,2.5,310,190,76.0,120,29.2,107,287,1334,30,BDL,BDL,40,0.58,63.0,7.08,BDL,2025
3614,Jul,Puttenahalli Lake,E,27.0,2.5,7.4,689,5.0,2.64,0.14,170,2400,BDL,172,22.4,BDL,172,72,52,BDL,0.5,100,56,22.4,44,10.7,46,64,466,30,0.65,BDL,14,0.26,54.0,2.79,1.54,2025
3615,Jul,Arakere Lake,E,26.0,BDL,7.3,573,12.0,2.2,0.14,3200,14000,BDL,156,36.9,BDL,156,68,116,4.76,3.4,128,86,34.4,42,10.2,19,63,382,48,0.66,BDL,14,0.28,48.0,2.43,1.57,2025
3616,Jul,Kalena Agrahara Lake,E,25.0,BDL,7.4,2356,12.0,9.04,BDL,2700,13000,BDL,210,34.2,BDL,210,620,124,3.64,2.6,400,225,90.0,175,42.5,108,284,1594,46,BDL,BDL,40,0.8,58.0,6.18,BDL,2025
3617,Jul,Hulimavu Lake,D,26.0,5.0,7.8,597,9.0,2.3,BDL,170,1400,BDL,132,13.5,BDL,132,104,108,1.61,1.2,144,72,28.8,72,17.5,12,62,412,18,BDL,BDL,7,0.35,46.0,2.2,0.12,2025
3618,Jul,Singasandra Lake,E,26.0,2.8,8.1,897,27.0,3.6,0.78,3200,9400,BDL,160,32.8,BDL,160,120,196,BDL,1.9,156,84,33.6,72,17.5,13,77,606,40,0.41,BDL,6,0.35,50.0,2.69,1.17,2025
3619,Jul,Begur Tank,D,26.0,6.0,8.5,1020,5.0,4.1,BDL,210,1700,80,184,8.2,40,224,112,48,BDL,0.43,208,108,43.2,100,24.3,33,89,690,BDL,0.25,BDL,7,0.5,47.0,2.68,0.87,2025
3620,Jul,Parappana Agrahara Lake,D,26.0,4.8,8.5,1016,7.0,4.1,BDL,470,2200,40,204,18.6,20,224,116,72,BDL,0.66,216,112,44.8,104,25.3,41,89,668,22,0.5,BDL,7,0.48,46.0,2.64,1.44,2025
3621,Jul,Haralur Lake,E,26.0,2.6,8.1,943,26.0,9.8,BDL,93,2400,BDL,172,38.2,BDL,172,124,184,1.6,1.3,160,84,33.6,76,18.5,18,81,636,48,0.76,BDL,6,0.34,51.0,2.79,2.08,2025
3622,Jul,Somasundrapalya Lake,D,26.0,5.0,7.0,794,9.0,3.0,0.69,260,4300,BDL,264,BDL,BDL,264,80,96,1.83,1.4,244,124,49.6,120,29.2,15,87,548,BDL,1,BDL,9,0.31,42.0,2.4,2.3,2025
3623,Jul,Anekal Doddakere Tank,D,23.0,4.5,7.5,1295,7.0,4.96,BDL,2100,11000,BDL,256,23.5,BDL,256,208,88,BDL,0.4,252,76,30.4,176,42.8,8,130,856,32,BDL,BDL,20,0.31,51.0,3.59,BDL,2025
3624,Jul,Puttenahalli Lake,D,30.0,4.2,7.0,495,6.0,1.9,0.14,26,1600,BDL,96,12.5,BDL,96,104,60,BDL,0.4,120,82,32.8,38,9.2,10,48,338,18,0.21,BDL,10,0.21,44.0,1.91,0.54,2025
