"STN
Code",Sampling Month,Name Of Monitoring Location,Use Based Class,"Temperature
°C",Dissolved O2 (mg/L),pH,Conductivity (&micro;mho/c m),"BOD
(mg/L)",NitrateN (mg/L),NitriteN (mg/L),"Fecal Coliform (MPN/100ml)","Total Coliform (MPN/100ml)","Fecal Streptococci (MPN/100ml
)","Carbonate (CO3-)
(mg/L)","Bicarbonate (HCO3-)
(mg/L)",Turbidity (NTU),Phenolphthalein Alkalinity (mg/L),Total Alkalinity (mg/L),Chlorides (mg/L),"COD
(mg/L)",Total Kjeldahl Nitrogen (mg/L),Ammonical-N (mg/L),Total Hardness (mg/L),Ca as CaCo3 (mg/L),Ca (mg/L),Mg as CaCo3 (mg/L),Mg (mg/L),Sulphate (mg/L),Sodium (mg/L),Total Dissolved Solids (mg/L),Total Suspended Solids (mg/L),Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),Sodium Percentage,SAR,Ortho Phosphate (mg/L),Year
1388,Jun,Ulsoor Lake Training Centre Of Fish Breeding,E,30.0,2.6,7.7,441,21.0,1.7,0.7,170,2400,,3(BDL),152,44.2,5(BDL),152,48,158,12.5,9.6,128,64,26,64,16,14,42,300,52,0.2(BDL),0.5(BDL),2,0.21,40,1.6,0.4,2025
3589,Jun,Madiwala Tank,D,27.0,4.2,7.4,590,6.0,2.26,0.68,1700,6300,,3(BDL),124,16.2,5(BDL),124,92,60,1.5(BDL),0.4,108,72,29,36,9,14,73,398,22,0.43,0.5(BDL),2,0.36,59,3.06,1.01,2025
3590,Jun,Lalbagh Tank,D,29.1,5.2,8.0,440,9.0,1.7,0.02(BDL),170,2800,,3(BDL),108,17.6,5(BDL),108,72,94,2.0,1.5,92,48,19,44,11,11,58,304,22,0.2(BDL),0.5(BDL),3,0.38,56,2.6,0.14,2025
3591,Jun,Kempambudhi Tank,E,28.1,2.2,8.0,397,23.0,1.5,0.66,260,4300,,3(BDL),148,38.8,5(BDL),148,36,154,11.1,8.4,124,64,26,60,15,5(BDL),33,270,44,0.5,0.5(BDL),2,0.2(BDL),36,1.3,1.2,2025
3592,Jun,Yediyur Tank,D,27.1,6.7,7.8,223,4.0,0.8,0.02(BDL),230,2200,,3(BDL),72,22.8,5(BDL),72,24,49,1.5(BDL),0.91,60,32,13,28,7,5(BDL),19,154,28,0.2(BDL),0.5(BDL),2,0.2(BDL),39,1.1,0.14,2025
3593,Jun,Ulsoor Lake Temple,D,30.0,5.9,7.2,452,7.0,1.7,0.7,20,1600,,3(BDL),168,2.5,5(BDL),168,48,79,1.5(BDL),0.43,136,68,27,68,17,14,43,312,10(BDL),0.63,0.5(BDL),2,0.2(BDL),40,1.6,1.5,2025
3594,Jun,Sankey Tank,D,27.0,6.5,7.0,496,4.0,1.9,0.02(BDL),17,1600,,3(BDL),112,3.9,5(BDL),112,80,45,1.5(BDL),0.4,132,72,29,60,15,20,48,332,10(BDL),0.2(BDL),0.5(BDL),10,0.22,41,1.81,0.05(BDL),2025
3595,Jun,Byrasandra Tank,D,30.0,5.9,7.1,449,7.0,1.7,0.7,210,3500,,3(BDL),160,2.3,5(BDL),160,48,74,1.5(BDL),0.4,140,72,29,68,17,14,43,310,10(BDL),0.32,0.5(BDL),2,0.2(BDL),39,1.6,0.75,2025
3596,Jun,Nayandanahalli Tank,D,24.7,4.7,7.2,931,6.0,3.4,0.07,200,1500,,3(BDL),164,8.3,5(BDL),164,108,72,1.5(BDL),0.52,172,92,37,80,19,29,68,630,10(BDL),0.2(BDL),0.5(BDL),5,0.36,45,2.25,0.52,2025
3597,Jun,Hesaraghatta Lake,D,26.0,6.0,7.1,400,5.0,1.5,0.02(BDL),200,3500,,3(BDL),96,10.0,5(BDL),96,69,53,1.5(BDL),0.4,112,64,26,48,12,10,48,272,20,0.2(BDL),0.5(BDL),5,0.28,33,2.0,2.2,2025
3598,Jun,Herohalli Tank,E,26.0,3.1,7.1,640,16.0,2.5,0.02(BDL),2100,11000,,3(BDL),144,72.2,5(BDL),144,104,144,1.6,1.2,172,92,37,80,19,26,63,80,10(BDL),0.2(BDL),0.5(BDL),14,0.22,42,2.08,0.27,2025
3599,Jun,Anchepalya Lake,E,26.0,2.2,7.8,600,9.0,2.3,0.02(BDL),2000,12000,,3(BDL),140,12.0,5(BDL),140,104,97,1.6,1.2,164,84,34,80,19,20,48,408,24,0.4,0.5(BDL),5,0.29,26,1.6,0.9,2025
3600,Jun,Shivapura Tank,D,26.0,4.3,7.1,661,4.0,2.6,0.02(BDL),2100,5800,,3(BDL),148,39.3,5(BDL),148,108,44,1.5(BDL),0.9,176,92,37,84,20,27,65,452,46,0.2(BDL),0.5(BDL),15,0.2(BDL),42,2.13,0.23,2025
3602,Jun,Bellandur Lake,D,25.0,6.0,7.6,814,5.0,3.1,0.17,310,2800,,3(BDL),116,5.1,5(BDL),116,144,56,1.5(BDL),0.4,132,68,27,64,16,18,90,542,10(BDL),0.2(BDL),0.5(BDL),2,0.21,59,3.5,0.29,2025
