STN_CODE,NAMEOFMONITORINGLOCATION,USEBASEDCLASS,DO,PH,CONDUCTIVITY,BOD,NITRATE_N,FECAL_COLI,TOTAL_COLI,CARBONATE,BICARBONATE,PHENOLPHTHALEINALKALINITY,TOTALALKALINITY,CHLORIDES,COD,TOTALKJELDAHLNITROGEN,AMMONICALN,TOTALHARDNESS,CAASCACO3,MGASCACO3,SULPHATE,SODIUM,TOTALDISSOLVEDSOLIDS,TOTALSUSPENDEDSOLIDS,PHOSPHATE,BORON,POTASSIUM,FLUORIDE,SODIUMPERCENTAGE,SAR,ORTHOPHOSPHATE,YEAR
1388.0,Ulsoor Lake Training Centre Of Fish Breeding,"D (Propagation of wild life,fisheries)",5.0,8.2,396.0,7.0,1.4,1700.0,4800.0,3.0,84.0,5.0,84.0,48.0,84.0,1.5,0.4,68.0,40.0,28.0,31.0,52.0,272.0,192.0,0.2,0.5,16.0,0.2,56.0,3.0,0.05,2024.0
2778.0,River Arkavathi At Tippagondanahalli Reservoir,"E (Irrigation, industrial cooling and controlled waste)",3.4,8.6,1379.0,15.0,5.2,330.0,790.0,16.0,284.0,8.0,300.0,224.0,140.0,3.4,2.6,332.0,172.0,160.0,27.0,155.0,938.0,50.0,2.64,0.5,28.0,0.29,48.0,4.0,6.9,2024.0
3589.0,Madiwala Tank,"D (Propagation of wild life,fisheries)",4.5,7.13,693.0,6.0,1.6,1700.0,7900.0,3.0,180.0,5.0,180.0,128.0,55.0,1.5,0.4,212.0,108.0,104.0,30.0,63.0,476.0,14.0,0.3,0.5,6.0,0.28,38.0,2.0,0.93,2024.0
3590.0,Lalbagh Tank,"D (Propagation of wild life,fisheries)",4.4,7.4,598.0,4.0,2.31,14000.0,49000.0,3.0,136.0,5.0,136.0,96.0,43.0,1.5,0.61,160.0,84.0,76.0,24.0,57.0,418.0,12.0,0.2,0.5,12.0,0.39,41.0,2.0,0.51,2024.0
3591.0,Kempambudhi Tank,"E (Irrigation, industrial cooling and controlled waste)",2.9,7.0,553.0,20.0,2.14,4500.0,23000.0,3.0,124.0,5.0,124.0,88.0,163.0,5.4,4.7,144.0,76.0,68.0,22.0,52.0,384.0,28.0,0.34,0.5,11.0,0.22,41.0,1.88,0.91,2024.0
3592.0,Yediyur Tank,"E (Irrigation, industrial cooling and controlled waste)",3.3,6.9,313.0,19.0,1.2,11000.0,33000.0,3.0,68.0,5.0,68.0,48.0,160.0,5.1,4.4,80.0,44.0,36.0,13.0,29.0,216.0,14.0,0.31,0.5,6.0,0.2,41.0,1.4,0.91,2024.0
3593.0,Ulsoor Lake Temple,"D (Propagation of wild life,fisheries)",5.1,8.2,393.0,7.0,1.4,3100.0,9400.0,3.0,80.0,5.0,80.0,44.0,88.0,1.5,0.4,60.0,36.0,24.0,24.0,53.0,264.0,180.0,0.2,0.5,16.0,0.2,59.0,3.0,0.05,2024.0
3594.0,Sankey Tank,"D (Propagation of wild life,fisheries)",5.8,7.9,576.0,7.0,2.2,320.0,3500.0,3.0,136.0,5.0,136.0,76.0,66.0,1.5,0.8,132.0,72.0,60.0,16.0,62.0,408.0,10.0,0.2,0.5,17.0,0.2,47.0,2.4,0.4,2024.0
3595.0,Byrasandra Tank,"D (Propagation of wild life,fisheries)",5.4,8.5,385.0,6.0,1.4,3100.0,17000.0,8.0,72.0,5.0,80.0,52.0,56.0,1.5,0.4,64.0,40.0,24.0,22.0,53.0,270.0,194.0,0.2,0.5,15.0,0.2,58.0,3.0,0.05,2024.0
3596.0,Nayandanahalli Tank,"D (Propagation of wild life,fisheries)",4.3,7.8,913.0,11.0,3.4,320.0,3500.0,3.0,224.0,5.0,224.0,148.0,104.0,1.5,0.82,208.0,108.0,100.0,27.0,98.0,640.0,12.0,0.5,0.5,34.0,0.2,46.0,2.9,0.9,2024.0
3597.0,Hesaraghatta Lake,"D (Propagation of wild life,fisheries)",5.3,7.0,394.0,7.0,1.4,14.0,1600.0,3.0,116.0,5.0,116.0,48.0,65.0,1.5,0.85,128.0,68.0,60.0,44.0,45.0,286.0,10.0,0.2,0.5,19.0,0.2,39.0,1.7,0.5,2024.0
3598.0,Herohalli Tank,"D (Propagation of wild life,fisheries)",4.4,7.1,529.0,4.0,2.0,2200.0,9400.0,3.0,120.0,5.0,120.0,84.0,44.0,1.5,0.79,140.0,72.0,68.0,22.0,49.0,364.0,26.0,0.2,0.5,11.0,0.2,40.0,1.8,0.44,2024.0
3599.0,Anchepalya Lake,"D (Propagation of wild life,fisheries)",4.4,6.7,429.0,8.0,8.3,2100.0,9400.0,3.0,76.0,5.0,76.0,84.0,76.0,1.5,0.9,108.0,60.0,40.0,20.0,69.0,304.0,12.0,0.2,0.5,22.0,0.2,52.0,2.9,0.6,2024.0
3601.0,Karihobanahalli Lake,"E (Irrigation, industrial cooling and controlled waste)",1.4,7.7,3020.0,28.0,10.5,450000.0,2300000.0,3.0,620.0,5.0,620.0,570.0,168.0,31.0,23.0,570.0,300.0,270.0,57.0,424.0,1998.0,22.0,2.5,0.5,32.0,0.34,60.0,8.0,7.0,2024.0
3602.0,Bellandur Lake,"D (Propagation of wild life,fisheries)",4.4,7.1,646.0,8.0,2.3,2200.0,13000.0,3.0,84.0,5.0,84.0,100.0,96.0,1.5,0.4,96.0,56.0,40.0,38.0,78.0,432.0,40.0,0.26,0.5,21.0,0.34,58.0,3.0,0.66,2024.0
3603.0,Vengaiyyanakere( Kr Puram Lake ),"E (Irrigation, industrial cooling and controlled waste)",3.1,7.1,1517.0,21.0,5.8,320.0,3500.0,3.0,352.0,5.0,352.0,252.0,155.0,4.8,3.9,412.0,212.0,200.0,62.0,121.0,1048.0,10.0,0.61,0.5,30.0,0.47,37.0,2.6,1.79,2024.0
3604.0,Doddanekkundi Lake,"D (Propagation of wild life,fisheries)",4.4,7.6,2241.0,11.0,10.0,2200.0,7000.0,3.0,424.0,5.0,424.0,548.0,103.0,1.5,0.76,488.0,248.0,240.0,59.0,291.0,1536.0,14.0,3.0,0.5,26.0,0.2,55.0,5.8,5.8,2024.0
3605.0,Yelemallappa Shetty Lake,"D (Propagation of wild life,fisheries)",4.4,7.0,1730.0,5.0,6.6,220.0,2400.0,3.0,396.0,5.0,396.0,288.0,60.0,1.5,0.52,472.0,240.0,232.0,70.0,138.0,1204.0,14.0,0.37,0.5,35.0,0.29,37.0,2.76,1.01,2024.0
3606.0,Dasarahalli Tank,"E (Irrigation, industrial cooling and controlled waste)",0.5,6.7,383.0,18.0,1.7,1400.0,24000.0,3.0,80.0,5.0,80.0,64.0,120.0,2.6,2.0,136.0,72.0,64.0,55.0,56.0,280.0,16.0,1.0,0.5,20.0,0.2,42.0,2.0,3.0,2024.0
3607.0,Kalkere Tank,"E (Irrigation, industrial cooling and controlled waste)",0.3,7.7,1253.0,148.0,4.0,2300.0,9400.0,3.0,500.0,5.0,500.0,200.0,992.0,23.92,18.4,280.0,150.0,130.0,9.0,118.0,864.0,256.0,0.59,0.5,26.0,0.2,45.0,3.0,2.08,2024.0
3608.0,Varthur Lake,"E (Irrigation, industrial cooling and controlled waste)",1.2,7.4,1405.0,81.0,4.8,1400.0,4800.0,3.0,412.0,5.0,412.0,164.0,228.0,52.0,39.0,256.0,136.0,120.0,19.0,151.0,922.0,26.0,2.5,0.5,30.0,0.25,53.0,4.0,7.2,2024.0
3609.0,Ibbalur Lake,"D (Propagation of wild life,fisheries)",4.6,7.0,619.0,8.0,2.2,630.0,3500.0,3.0,40.0,5.0,40.0,92.0,92.0,1.5,0.4,88.0,52.0,36.0,41.0,75.0,418.0,50.0,0.29,0.5,20.0,0.34,59.0,3.0,0.78,2024.0
3610.0,Tubarahalli Tank,"D (Propagation of wild life,fisheries)",4.4,7.0,702.0,8.0,2.4,1300.0,7000.0,3.0,80.0,5.0,80.0,128.0,76.0,1.5,0.4,112.0,64.0,48.0,31.0,95.0,466.0,52.0,0.2,0.5,14.0,0.23,61.0,4.0,0.05,2024.0
3611.0,Kaikondanahalli Lake,"E (Irrigation, industrial cooling and controlled waste)",1.3,7.9,2015.0,17.0,7.0,2300.0,7900.0,3.0,564.0,5.0,564.0,332.0,132.0,2.86,2.2,340.0,176.0,164.0,108.0,252.0,1370.0,158.0,1.64,0.5,40.0,0.36,58.0,6.0,3.49,2024.0
3612.0,Agaram Lake,"E (Irrigation, industrial cooling and controlled waste)",3.4,7.4,966.0,14.0,3.1,230.0,2400.0,3.0,272.0,5.0,272.0,148.0,145.0,9.9,7.6,260.0,136.0,124.0,15.0,94.0,658.0,164.0,0.2,0.5,12.0,0.39,43.0,2.5,0.05,2024.0
3613.0,Gottigere Lake,"D (Propagation of wild life,fisheries)",4.6,7.6,1042.0,8.0,2.5,430.0,3500.0,3.0,340.0,5.0,340.0,184.0,79.0,1.5,0.4,344.0,180.0,164.0,20.0,98.0,710.0,16.0,1.04,0.5,11.0,0.25,37.0,3.0,3.19,2024.0
3614.0,Puttenahalli Lake,"E (Irrigation, industrial cooling and controlled waste)",3.1,8.0,667.0,12.0,2.5,1400.0,4900.0,3.0,128.0,5.0,128.0,100.0,116.0,1.5,0.98,128.0,72.0,56.0,11.0,66.0,456.0,22.0,0.2,0.5,8.0,0.22,50.0,2.5,0.05,2024.0
3615.0,Arakere Lake,"E (Irrigation, industrial cooling and controlled waste)",3.4,8.2,669.0,12.0,1.6,3300.0,11000.0,3.0,192.0,5.0,192.0,132.0,147.0,1.5,0.9,172.0,92.0,80.0,20.0,70.0,456.0,66.0,1.01,0.5,7.0,0.27,46.0,2.0,3.12,2024.0
3616.0,Kalena Agrahara Lake,"D (Propagation of wild life,fisheries)",4.3,8.0,580.0,5.0,1.3,3300.0,4800.0,3.0,140.0,18.5,140.0,124.0,48.0,1.5,0.8,188.0,100.0,88.0,16.0,60.0,396.0,32.0,0.2,0.5,8.0,0.2,40.0,2.0,0.05,2024.0
3618.0,Singasandra Lake,"D (Propagation of wild life,fisheries)",4.5,8.5,634.0,6.0,1.6,2200.0,4900.0,64.0,112.0,32.0,176.0,132.0,55.0,1.5,0.4,212.0,112.0,100.0,31.0,65.0,538.0,25.0,0.2,0.5,7.0,0.31,39.0,3.0,0.05,2024.0
