STN_CODE,NAMEOFMONITORINGLOCATION,USEBASEDCLASS,DO,PH,CONDUCTIVITY,BOD,NITRATE_N,FECAL_COLI,TOTAL_COLI,CARBONATE,BICARBONATE,PHENOLPHTHALEINALKALINITY,TOTALALKALINITY,CHLORIDES,COD,TOTALKJELDAHLNITROGEN,AMMONICALN,TOTALHARDNESS,CAASCACO3,MGASCACO3,SULPHATE,SODIUM,TOTALDISSOLVEDSOLIDS,TOTALSUSPENDEDSOLIDS,PHOSPHATE,BORON,POTASSIUM,FLUORIDE,SODIUMPERCENTAGE,SAR,ORTHOPHOSPHATE,YEAR
1388.0,"Ulsoor Lake Training Centre Of Fish
Breeding",D,4.7,7.3,517.0,5.0,2.0,2200.0,7000.0,3.0,116.0,5.0,116.0,84.0,54.0,1.5,0.66,136.0,72.0,64.0,21.0,51.0,352.0,38.0,0.2,0.5,11.0,0.31,42.0,2.0,0.3,2025.0
2778.0,"River Arkavathi At Tippagondanahalli
Reservoir",D,5.0,7.5,1000.0,6.0,3.2,260.0,4300.0,3.0,300.0,5.0,300.0,220.0,55.0,1.5,0.42,300.0,156.0,144.0,24.0,110.0,682.0,16.0,1.0,0.5,20.0,0.3,67.0,2.73,2.4,2025.0
3589.0,Madiwala Tank,D,4.2,6.9,579.0,5.0,2.22,140.0,3500.0,3.0,176.0,5.0,176.0,96.0,54.0,1.5,0.8,112.0,78.0,34.0,9.0,78.0,390.0,16.0,0.2,0.5,19.0,0.47,55.0,3.2,0.39,2025.0
3590.0,Lalbagh Tank,D,5.6,8.1,660.0,6.0,2.5,310.0,3500.0,3.0,196.0,5.0,196.0,68.0,72.0,2.0,1.2,136.0,72.0,64.0,11.0,71.0,452.0,148.0,0.9,0.5,18.0,0.23,49.0,2.7,2.2,2025.0
3591.0,Kempambudhi Tank,D,5.2,8.0,602.0,7.0,2.3,260.0,2200.0,3.0,108.0,5.0,108.0,88.0,69.0,1.5,0.4,88.0,48.0,40.0,9.0,63.0,400.0,44.0,0.2,0.5,12.0,0.28,57.0,3.0,0.2,2025.0
3592.0,Yediyur Tank,D,5.2,7.0,320.0,6.0,1.2,140.0,2400.0,3.0,76.0,5.0,76.0,36.0,64.0,1.56,1.2,48.0,32.0,16.0,5.0,35.0,214.0,32.0,0.2,0.5,14.0,0.2,53.0,2.5,0.2,2025.0
3593.0,Ulsoor Lake Temple,E,3.3,7.4,512.0,18.0,1.9,1200.0,13000.0,3.0,120.0,5.0,120.0,76.0,160.0,3.9,3.4,128.0,68.0,60.0,20.0,49.0,344.0,34.0,0.23,0.5,9.0,0.29,45.0,2.0,0.65,2025.0
3594.0,Sankey Tank,D,5.0,7.2,570.0,5.0,2.2,170.0,3500.0,3.0,128.0,5.0,128.0,92.0,52.0,1.5,0.42,152.0,80.0,72.0,23.0,56.0,392.0,10.0,0.2,0.5,12.0,0.41,42.0,2.0,0.23,2025.0
3595.0,Byrasandra Tank,E,1.1,6.6,728.0,42.0,2.8,2600.0,11000.0,3.0,164.0,5.0,164.0,116.0,196.0,4.8,4.2,192.0,100.0,92.0,30.0,70.0,496.0,22.0,0.39,0.5,15.0,0.33,42.0,2.2,1.1,2025.0
3596.0,Nayandanahalli Tank,D,6.5,8.3,767.0,4.0,2.9,58.0,920.0,48.0,152.0,24.0,176.0,128.0,47.0,1.5,0.4,144.0,76.0,68.0,31.0,102.0,526.0,10.0,0.2,0.5,2.0,0.46,60.0,3.6,0.3,2025.0
