STN_CODE,NAMEOFMONITORINGLOCATION,USEBASEDCLASS,DO,PH,CONDUCTIVITY,BOD,NITRATE_N,FECAL_COLI,TOTAL_COLI,CARBONATE,BICARBONATE,PHENOLPHTHALEINALKALINITY,TOTALALKALINITY,CHLORIDES,COD,TOTALKJELDAHLNITROGEN,AMMONICALN,TOTALHARDNESS,CAASCACO3,MGASCACO3,SULPHATE,SODIUM,TOTALDISSOLVEDSOLIDS,TOTALSUSPENDEDSOLIDS,PHOSPHATE,BORON,POTASSIUM,FLUORIDE,SODIUMPERCENTAGE,SAR,ORTHOPHOSPHATE,YEAR
1388.0,Ulsoor Lake Training Centre Of Fish Breeding,D,5.2,8.5,413.0,8.0,1.2,172.31884057971016,49.0,64.0,60.0,32.0,92.0,60.0,88.0,1.995,0.4,96.0,52.0,44.0,20.0,39.0,296.0,236.0,0.2475,0.5,11.0,0.27,43.0,1.7,0.14,2025.0
3589.0,Madiwala Tank,D,5.9,6.5,381.0,6.0,1.53,204.6376811594203,2800.0,59.2,116.0,29.6,116.0,56.0,56.0,2.49,0.4,96.0,52.0,44.0,19.5,29.0,258.0,130.0,0.29500000000000004,0.5,3.0,0.33,38.0,1.29,0.215,2025.0
3590.0,Lalbagh Tank,D,6.4,7.7,492.0,4.0,1.49,236.95652173913044,1700.0,54.4,132.0,27.2,132.0,88.0,40.0,2.985,0.4,80.0,44.0,36.0,19.0,55.0,338.0,24.0,0.3425,0.5,13.0,0.27,55.0,2.8,0.29,2025.0
3591.0,Kempambudhi Tank,E,2.3,7.2,476.0,30.0,1.59,269.2753623188406,7000.0,49.6,212.0,24.8,212.0,48.0,144.0,3.48,2.68,148.0,80.0,68.0,21.0,36.0,334.0,256.0,0.39,0.5,8.0,0.28250000000000003,33.0,1.2,0.93,2025.0
3592.0,Yediyur Tank,D,6.4,7.2,278.0,4.0,0.81,301.59420289855075,2400.0,44.8,112.0,22.4,112.0,44.0,48.0,4.76,0.4,80.0,44.0,36.0,10.0,16.0,192.0,26.0,0.4790909090909091,0.5,8.0,0.29500000000000004,27.0,0.7,15.0,2025.0
3593.0,Ulsoor Lake Temple,D,5.4,8.5,406.0,8.0,1.1,333.9130434782609,1300.0,40.0,64.0,20.0,84.0,56.0,96.0,6.04,0.4,88.0,48.0,40.0,26.0,38.0,288.0,232.0,0.5681818181818182,0.5,10.0,0.3075,45.0,1.7,0.26,2025.0
3594.0,Sankey Tank,D,6.2,7.4,705.0,5.0,2.71,366.231884057971,79000.0,39.54929577464789,176.0,20.0,176.0,72.0,52.0,7.32,0.4,184.0,68.0,116.0,8.28,59.0,484.0,174.0,0.6572727272727272,0.5,8.0,0.32,39.0,1.88,0.275,2025.0
3595.0,Byrasandra Tank,D,5.6,7.8,454.0,7.0,1.3,398.5507246376812,3500.0,39.098591549295776,116.0,20.0,116.0,56.0,80.0,8.6,0.43,128.0,68.0,60.0,30.0,39.0,326.0,116.0,0.7463636363636363,0.5,11.0,0.315,37.0,1.4,0.29,2025.0
3596.0,Nayandanahalli Tank,D,6.0,7.8,699.0,4.0,2.6,430.8695652173913,2800.0,38.647887323943664,144.0,20.0,144.0,108.0,44.0,9.88,0.42,136.0,76.0,60.0,28.0,73.0,462.0,73.0,0.8354545454545454,0.5,9.0,0.31,52.0,2.7,0.18,2025.0
3597.0,Hesaraghatta Lake,D,6.1,8.2,612.0,4.0,2.35,463.1884057971015,2200.0,38.19718309859155,132.0,20.0,132.0,72.0,48.0,11.16,0.4,200.0,152.0,48.0,23.0,62.0,406.0,30.0,0.9245454545454546,0.5,7.0,0.3225,39.0,1.91,0.26666666666666666,2025.0
3598.0,Herohalli Tank,D,4.6,6.5,438.0,5.0,1.7,495.5072463768116,3500.0,37.74647887323944,96.0,20.0,96.0,68.0,60.0,12.440000000000001,0.73,116.0,60.0,56.0,18.0,42.0,302.0,30.0,1.0136363636363637,0.5,9.0,0.33499999999999996,41.0,1.7,0.35333333333333333,2025.0
3599.0,Anchepalya Lake,D,6.4,6.7,845.0,4.0,3.24,527.8260869565217,9400.0,37.29577464788733,180.0,20.0,180.0,96.0,44.0,13.72,0.4,124.0,68.0,56.0,34.3,96.0,566.0,30.0,1.1027272727272728,0.5,8.0,0.3475,61.0,3.75,0.44,2025.0
3600.0,Shivapura Tank,E,2.9,6.7,536.0,17.0,2.0,560.144927536232,3500.0,36.84507042253521,88.0,20.0,88.0,92.0,128.0,15.0,12.0,164.0,84.0,80.0,43.0,57.0,370.0,106.0,1.1918181818181819,0.5,6.0,0.36,42.0,1.9,0.36,2025.0
3601.0,Karihobanahalli Lake,E,2.7,6.8,898.0,19.0,3.4,592.463768115942,11000.0,36.394366197183096,92.0,20.0,92.0,148.0,136.0,17.0,13.0,220.0,112.0,108.0,136.0,94.0,620.0,130.0,1.280909090909091,0.5,9.0,0.93,47.0,2.7,0.19,2025.0
