Sl.No,STN Code,Name Of Monitoring Location,Use Based Class,Temperature,Dissolved O2 (mg/L),pH,Conductivity (&micro;mho/cm),"BOD
(mg/L)",NitrateN (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Fecal Streptococci (MPN/100ml),Carbonate (CO3-)(mg/L),"Bicarbonate (HCO3-)
(mg/L)",Turbidity (mg/L),Phenolpthalein Alkalinity,Total Alkalinity (mg/L),Chlorides (mg/L),"COD
(mg/L)",Ammonical-N (mg/L),Total Hardness (mg/L),Ca as CaCo3 (mg/L),Mg as CaCo3 (mg/L),Sulphate (mg/L),Sodium (mg/L),"Total Dissolved Solids
(mg/L)",Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),Sodium Percentage,SAR,Ortho Phosphate (mg/L),Cadmium (mg/L),Copper (mg/L),Lead (mg/L),Chromium Total (mg/L),Nickel (mg/L),Zinc (mg/L),Iron (mg/L),Manganese (mg/L),Year
1,1388,ULSOOR LAKE TRAINING CENTRE OF FISH BREEDING,"D (Propagation of wild life,fisheries)",30.0,5.7,8.2,340,5.0,1.0,4600,54000,,3(BDL),60,7.8,5(BDL),60.0,52.0,64,0.4,80,48,32,21,46,232,0.21,0.5(BDL),15,0.2(BDL),50.0,2.0,0.57,0.00042(BDL),0.021,0.00031(BDL),0.00056(BDL),0.014,0.073,0.069,0.00043(BDL),2023
2,3593,ULSOOR LAKE TEMPLE,"D (Propagation of wild life,fisheries)",30.0,5.1,8.0,344,7.0,1.0,7000,92000,,3(BDL),64,6.2,5(BDL),64.0,52.0,98,0.4,60,36,24,20,42,234,0.28,0.5(BDL),14,0.2(BDL),54.0,3.0,0.8,0.00042(BDL),0.064,0.00031(BDL),0.00056(BDL),0.00054(BDL),0.203,0.073,0.00043(BDL),2023
3,5568,"Ulsoor Lake Near Kalyani,Bengaluru","D (Propagation of wild life,fisheries)",30.0,5,8.2,342,7.0,1.0,4000,54000,,3(BDL),72,5.6,5(BDL),72.0,52.0,96,0.43,64,40,24,21,44,234,0.27,0.5(BDL),15,0.2(BDL),53.0,2.0,0.75,0.00042(BDL),0.015,0.00031(BDL),0.00056(BDL),0.00054(BDL),0.05,0.055,0.00043(BDL),2023
4,5569,"Byrasandra Upper Lake,Bengaluru","E (Irrigation, industrial cooling and controlled waste)",30.0,3.2,6.8,1190,15.0,4.0,4800,160000,,3(BDL),200,29.2,5(BDL),200.0,60.0,112,2.8,288,152,136,245,52,794,0.29,0.5(BDL),31,0.22,26.0,1.5,,0.00042(BDL),0.006,0.00031(BDL),0.00056(BDL),0.004,0.022,0.034,0.009,2023
5,3595,BYRASANDRA TANK,"D (Propagation of wild life,fisheries)",30.0,5.1,6.9,500,7.0,2.0,4300,92000,,3(BDL),116,12.2,5(BDL),116.0,36.0,88,0.4,132,72,60,25,39,338,0.52,0.5(BDL),13,0.2(BDL),36.0,1.4,1.42,0.00042(BDL),0.004,0.00031(BDL),0.00056(BDL),0.00054(BDL),0.012,0.065,0.007,2023
6,4505,NELAMANGALA LAKE,"E (Irrigation, industrial cooling and controlled waste)",31.0,3.2,7.1,1156,12.0,5.0,4300,92000,,3(BDL),264,3.6,5(BDL),264.0,204.0,108,0.4,292,152,140,39,89,786,0.56,0.5(BDL),42,0.42,36.0,2.0,1.2,0.00042(BDL),0.012,0.00031(BDL),0.006,0.00054(BDL),0.00059(BDL),0.8,0.099,2023
7,3624,PUTTENAHALLI LAKE,"D (Propagation of wild life,fisheries)",28.0,5.2,7.5,497,6.0,2.0,700,16000,,3(BDL),112,12.8,5(BDL),112.0,56.0,56,0.41,124,68,56,14,33,338,0.34,0.5(BDL),2,0.2(BDL),35.0,1.0,0.77,0.00042(BDL),0.005,0.00031(BDL),0.00056(BDL),0.00054(BDL),0.014,0.058,0.00043(BDL),2023
8,3625,HEBBAL LAKE,"D (Propagation of wild life,fisheries)",26.0,6.1,7.6,412,4.0,1.0,4100,24000,,3(BDL),88,4.4,5(BDL),88.0,56.0,40,0.4,144,80,64,16,38,282,0.31,0.5(BDL),10,0.2(BDL),34.0,16.0,0.97,0.00042(BDL),0.00035(BDL),0.00031(BDL),0.00056(BDL),0.00054(BDL),0.00059(BDL),0.00067(BDL),0.00043(BDL),2023
9,3629,ALLALASANDRA LAKE,"E (Irrigation, industrial cooling and controlled waste)",28.0,3.2,6.6,592,20.0,2.0,4700,54000,,3(BDL),88,7.2,5(BDL),88.0,108.0,152,2.2,136,76,60,14,66,400,0.8,0.5(BDL),27,0.2(BDL),0.53,1.3,2.47,0.00042(BDL),0.00035(BDL),0.00031(BDL),0.00056(BDL),0.00054(BDL),0.009,0.125,0.005,2023
10,3630,YELAHANKA TANK,"D (Propagation of wild life,fisheries)",29.0,6.1,7.5,407,4.0,1.0,430,5400,,3(BDL),88,3.8,5(BDL),88.0,52.0,40,0.4,136,72,64,15,36,274,0.31,0.5(BDL),11,0.2(BDL),34.0,,0.95,0.00042(BDL),0.00035(BDL),0.00031(BDL),0.00056(BDL),0.00054(BDL),0.00059(BDL),0.026,0.00043(BDL),2023
