Sl.No,STN Code,Name Of Monitoring Location,Use Based Class,Dissolved O2 (mg/L),pH,Conductivity (&micro;mho/cm),BOD (mg/L),Nitrate as N (mg/L),"Fecal Coliform (MPN/100ml
)","Total Coliform (MPN/100ml
)",Fecal Streptococci (MPN/100ml),Carbonate (CO3-) (mg/L),"Bicarbonate (HCO3-)
(mg/L)",Turbidity (mg/L),Phenolphthalein Alkalinity (mg/L),Total Alkalinity (mg/L),Chlorides (mg/L),"COD
(mg/L)",Ammonical- N (mg/L),Total Hardness (mg/L),Ca as CaCo3 (mg/L),Mg as CaCo3 (mg/L),Sulphate (mg/L),Sodium (mg/L),"Total Dissolved
Solids (mg/L)",Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),Year
1,1388,ULSOOR LAKE TRAINING CENTRE OF FISH BREEDING,"D (Propagation of wild life,fisheries)",4.8,7.6,380,7.0,6.79,4300.0,92000.0,,3(BDL),80,13.2,5(BDL),80.0,72,60,0.99,68,32,9,12,49,258,0.49,0.5(BDL),5,0.31,2023
2,5568,"Ulsoor Lake Near Kalyani,Bengaluru","D (Propagation of wild life,fisheries)",5.6,6.7,385,6.0,7.0,4800.0,35000.0,,3(BDL),76,14.2,5(BDL),76.0,56,52,0.76,64,36,28,19,17,262,0.33,0.5(BDL),6,0.21,2023
3,5569,"Byrasandra Upper Lake,Bengaluru","D (Propagation of wild life,fisheries)",5.4,6.5,425,6.0,7.0,4700.0,160000.0,,3(BDL),80,12.6,5(BDL),80.0,36,56,0.78,104,56,48,22,46,290,0.73,0.5(BDL),4,0.25,2023
4,3595,BYRASANDRA TANK,"D (Propagation of wild life,fisheries)",5.4,6.5,467,6.0,7.0,4900.0,92000.0,,3(BDL),72,12.7,5(BDL),72.0,68,56,0.98,88,48,40,18,46,316,0.43,0.5(BDL),4,0.26,2023
5,3593,ULSOOR LAKE TEMPLE,"D (Propagation of wild life,fisheries)",4.8,7.6,380,,7.0,4300.0,92000.0,,3(BDL),80,13.2,5(BDL),80.0,72,60,0.99,68,32,36,12,49,258,0.49,0.5(BDL),5,0.31,2023
6,4504,SARAKKI LAKE,"D (Propagation of wild life,fisheries)",4.9,7.1,751,7.0,13.0,4100.0,160000.0,,3(BDL),168,8.7,5(BDL),168.0,108,60,0.4,152,80,72,34,89,510,0.49,0.5(BDL),10,0.21,2023
7,3638,YELACHENAHALLI LAKE,"D (Propagation of wild life,fisheries)",4.3,6.8,387,8.0,5.0,3200.0,54000.0,,3(BDL),88,12.6,5(BDL),88.0,40,92,0.93,76,44,32,10,41,262,0.2(BDL),0.5(BDL),3,0.2(BDL),2023
8,3592,YEDIYUR TANK,"D (Propagation of wild life,fisheries)",4.5,6.7,328,7.0,4.0,1700.0,24000.0,,3(BDL),76,10.2,5(BDL),76.0,32,64,0.69,48,28,20,5(BDL),28,222,0.2(BDL),0.5(BDL),2,0.28,2023
9,3591,KEMPAMBUDHI TANK,"D (Propagation of wild life,fisheries)",4.1,6.5,512,9.0,7.0,580.0,16000.0,,3(BDL),136,10.9,,136.0,28,84,0.96,136,72,64,10,49,348,1,0.5(BDL),6,0.31,2023
10,3590,LALBAGH TANK,"D (Propagation of wild life,fisheries)",4.1,6.8,545,10.0,8.0,4600.0,35000.0,,3(BDL),104,12.4,5(BDL),104.0,28,88,0.98,92,52,40,12,53,368,0.2(BDL),0.5(BDL),6,0.21,2023
