STN_CODE,NAMEOFMONITORINGLOCATION,USEBASEDCLASS,DO,PH,CONDUCTIVITY,BOD,NITRATE_N,FECAL_COLI,TOTAL_COLI,CARBONATE,BICARBONATE,PHENOLPHTHALEINALKALINITY,TOTALALKALINITY,CHLORIDES,COD,TOTALKJELDAHLNITROGEN,AMMONICALN,TOTALHARDNESS,CAASCACO3,MGASCACO3,SULPHATE,SODIUM,TOTALDISSOLVEDSOLIDS,TOTALSUSPENDEDSOLIDS,PHOSPHATE,BORON,POTASSIUM,FLUORIDE,SODIUMPERCENTAGE,SAR,ORTHOPHOSPHATE,YEAR
1388.0,Ulsoor Lake Training Centre Of Fish Breeding,E,1.5,7.8,512.0,22.0,1.97,1200.0,7000.0,4.48,88.0,5.6,88.0,56.0,152.0,2.7529411764705882,1.9,112.0,72.0,40.0,25.0,45.0,340.0,256.0,1.355,0.5,4.0,0.405,45.0,1.85,0.22,2025.0
2778.0,River Arkavathi At Tippagondanahalli Reservoir,D,6.0,7.9,1067.0,4.0,4.0,140.0,2400.0,5.96,288.0,6.2,288.0,200.0,48.0,3.7058823529411766,0.4,344.0,176.0,168.0,12.0,105.0,728.0,16.0,1.31,0.5,18.0,0.38,38.0,2.5,3.1,2025.0
3589.0,Madiwala Tank,D,5.4,7.2,478.0,6.0,1.8,390.0,4300.0,7.4399999999999995,104.0,6.8,104.0,72.0,60.0,4.658823529411764,0.61,124.0,64.0,60.0,19.0,46.0,322.0,22.0,1.0066666666666668,0.5,10.0,0.44,42.0,1.8,2.3733333333333335,2025.0
3590.0,Lalbagh Tank,D,5.2,8.1,351.0,7.0,1.3,210.0,3500.0,8.92,100.0,7.4,100.0,76.0,80.0,5.6117647058823525,0.4,76.0,40.0,36.0,6.0,37.0,242.0,28.0,0.7033333333333334,0.5,4.0,0.46,49.0,1.8,1.6466666666666667,2025.0
3591.0,Kempambudhi Tank,D,4.9,7.4,342.0,11.0,1.3,1100.0,8400.0,10.4,144.0,8.0,144.0,36.0,116.0,6.564705882352941,0.5,120.0,60.0,60.0,10.666666666666668,35.0,236.0,248.0,0.4,0.5,4.0,0.43,37.0,1.4,0.92,2025.0
3592.0,Yediyur Tank,D,5.3,7.6,232.0,9.0,0.9,170.0,2400.0,11.879999999999999,84.0,8.6,84.0,36.0,84.0,7.5176470588235285,0.4,76.0,40.0,36.0,15.333333333333334,24.0,160.0,32.0,0.39,0.5,3.0,0.4,39.0,1.2,0.9450000000000001,2025.0
3593.0,Ulsoor Lake Temple,E,1.2,7.6,413.0,28.0,1.59,1700.0,13000.0,13.36,88.0,9.2,88.0,48.0,168.0,8.470588235294118,2.5,116.0,80.0,36.0,20.0,44.0,280.0,184.0,0.38,0.5,5.0,0.37,44.0,1.76,0.97,2025.0
3594.0,Sankey Tank,D,6.2,7.8,486.0,4.0,1.9,220.0,2400.0,14.84,108.0,9.8,108.0,76.0,48.0,9.423529411764706,0.4,128.0,68.0,60.0,20.0,47.0,326.0,102.0,0.47000000000000003,0.5,9.0,0.33999999999999997,42.0,1.8,0.955,2025.0
3595.0,Byrasandra Tank,D,4.8,7.7,932.0,9.0,3.58,310.0,1700.0,16.32,164.0,10.399999999999999,164.0,164.0,96.0,10.376470588235295,0.9,180.0,102.0,78.0,21.0,106.0,638.0,20.0,0.56,0.5,5.0,0.31,55.0,3.44,0.94,2025.0
3596.0,Nayandanahalli Tank,D,4.2,8.2,633.0,8.0,2.43,320.0,2800.0,17.8,92.0,11.0,92.0,120.0,96.0,11.329411764705883,0.4,100.0,75.0,25.0,23.0,81.0,436.0,12.0,0.48000000000000004,0.5,3.0,0.32,63.0,3.51,0.575,2025.0
