SLNO,STN_CODE,NAMEOFMONITORINGLOCATION,USEBASEDCLASS,TEMP,DO,PH,CONDUCTIVITY,BOD,NITRATE_N,FECAL_COLI,TOTAL_COLI,FECALSTREPTOCOCCI,CARBONATE,BICARBONATE,TURBIDITY_MGL,PHENOLPHTHALEINALKALINITY,TOTALALKALINITY,CHLORIDES,COD,TOTALKJELDAHLNITROGEN,AMMONICALN,TOTALHARDNESS,CAASCACO3,CA,MGASCACO3,MG,SULPHATE,SODIUM,TOTALDISSOLVEDSOLIDS,TOTALSUSPENDEDSOLIDS,PHOSPHATE,BORON,POTASSIUM,FLUORIDE,SODIUMPERCENTAGE,SAR,FREEAMMONIAASN,ORTHOPHOSPHATE,YEAR
1,1388.0,Ulsoor Lake Training Centre Of Fish Breeding,"D (Propagation of wild life,fisheries)",30.0,5,8.2,396.0,7.0,1.4,1700.0,4800.0,,3(BDL),84.0,137.0,5(BDL),84.0,48.0,84.0,1.5(BDL),0.4,68.0,40.0,16.0,28.0,7.0,31,52.0,272.0,192,0.2(BDL),0.5(BDL),16.0,0.2(BDL),56.0,3.0,BDL,0.05(BDL),2024
2,2778.0,River Arkavathi At Tippagondanahalli Reservoir,"E (Irrigation, industrial cooling and controlled waste)",31.4,3.4,8.6,1379.0,15.0,5.2,330.0,790.0,540.0,16,284.0,38.6,8,300.0,224.0,140.0,3.4,2.6,332.0,172.0,69.0,160.0,39.0,27,155.0,938.0,50,2.64,0.5(BDL),28.0,0.29,48.0,4.0,BDL,6.9,2024
3,3589.0,Madiwala Tank,"D (Propagation of wild life,fisheries)",26.0,4.5,7.13,693.0,6.0,1.6,1700.0,7900.0,,3(BDL),180.0,212.0,5(BDL),180.0,128.0,55.0,1.5(BDL),0.4,212.0,108.0,43.0,104.0,25.0,30,63.0,476.0,14,0.3,0.5(BDL),6.0,0.28,38.0,2.0,BDL,0.93,2024
4,3590.0,Lalbagh Tank,"D (Propagation of wild life,fisheries)",28.0,4.4,7.4,598.0,4.0,2.31,14000.0,49000.0,,3(BDL),136.0,9.4,5(BDL),136.0,96.0,43.0,1.5(BDL),0.61,160.0,84.0,34.0,76.0,18.0,24,57.0,418.0,12,0.2(BDL),0.5(BDL),12.0,0.39,41.0,2.0,BDL,0.51,2024
5,3591.0,Kempambudhi Tank,"E (Irrigation, industrial cooling and controlled waste)",28.0,2.9,7.0,553.0,20.0,2.14,4500.0,23000.0,,3(BDL),124.0,22.6,5(BDL),124.0,88.0,163.0,5.4,4.7,144.0,76.0,30.0,68.0,17.0,22,52.0,384.0,28,0.34,0.5(BDL),11.0,0.22,41.0,1.88,BDL,0.91,2024
6,3592.0,Yediyur Tank,"E (Irrigation, industrial cooling and controlled waste)",28.0,3.3,6.9,313.0,19.0,1.2,11000.0,33000.0,,3(BDL),68.0,10.8,5(BDL),68.0,48.0,160.0,5.1,4.4,80.0,44.0,18.0,36.0,9.0,13,29.0,216.0,14,0.31,0.5(BDL),6.0,0.2(BDL),41.0,1.4,BDL,0.91,2024
7,3593.0,Ulsoor Lake Temple,"D (Propagation of wild life,fisheries)",29.0,5.1,8.2,393.0,7.0,1.4,3100.0,9400.0,,3(BDL),80.0,148.0,5(BDL),80.0,44.0,88.0,1.5(BDL),0.4,60.0,36.0,14.0,24.0,6.0,24,53.0,264.0,180,0.2(BDL),0.5(BDL),16.0,0.2(BDL),59.0,3.0,BDL,0.05(BDL),2024
8,3594.0,Sankey Tank,"D (Propagation of wild life,fisheries)",29.0,5.8,7.9,576.0,7.0,2.2,320.0,3500.0,,3(BDL),136.0,6.8,5(BDL),136.0,76.0,66.0,1.5(BDL),0.8,132.0,72.0,29.0,60.0,15.0,16,62.0,408.0,10(BDL),0.2(BDL),0.5(BDL),17.0,0.2(BDL),47.0,2.4,BDL,0.4,2024
9,3595.0,Byrasandra Tank,"D (Propagation of wild life,fisheries)",29.0,5.4,8.5,385.0,6.0,1.4,3100.0,17000.0,,8,72.0,138.0,5(BDL),80.0,52.0,56.0,1.5(BDL),0.4,64.0,40.0,16.0,24.0,6.0,22,53.0,270.0,194,0.2(BDL),0.5(BDL),15.0,0.2(BDL),58.0,3.0,BDL,0.05(BDL),2024
10,3596.0,Nayandanahalli Tank,"D (Propagation of wild life,fisheries)",24.0,4.3,7.8,913.0,11.0,3.4,320.0,3500.0,,3(BDL),224.0,8.4,5(BDL),224.0,148.0,104.0,1.5(BDL),0.82,208.0,108.0,43.0,100.0,24.0,27,98.0,640.0,12,0.5,0.5(BDL),34.0,0.2(BDL),46.0,2.9,BDL,0.9,2024
