STN_CODE,NAMEOFMONITORINGLOCATION,USEBASEDCLASS,DO,PH,CONDUCTIVITY,BOD,NITRATE_N,FECAL_COLI,TOTAL_COLI,CARBONATE,BICARBONATE,PHENOLPHTHALEINALKALINITY,TOTALALKALINITY,CHLORIDES,COD,TOTALKJELDAHLNITROGEN,AMMONICALN,TOTALHARDNESS,CAASCACO3,MGASCACO3,SULPHATE,SODIUM,TOTALDISSOLVEDSOLIDS,TOTALSUSPENDEDSOLIDS,PHOSPHATE,BORON,POTASSIUM,FLUORIDE,SODIUMPERCENTAGE,SAR,ORTHOPHOSPHATE,YEAR
1388.0,Ulsoor Lake Training Centre Of Fish Breeding,"D (Propagation of wild life,fisheries)",5.1,7.0,470.0,4.0,1.8,630.0,3500.0,3.0,320.0,5.0,320.0,80.0,44.0,1.5,0.81,128.0,68.0,60.0,20.0,46.0,320.0,38.0,0.2,0.5,9.0,0.26,41.0,2.0,0.05,2025.0
2778.0,River Arkavathi At Tippagondanahalli Reservoir,"D (Propagation of wild life,fisheries)",5.5,7.4,988.0,7.0,3.5,200.0,1400.0,3.0,304.0,5.0,304.0,212.0,81.0,10.8,8.3,308.0,160.0,148.0,23.0,105.0,682.0,16.0,1.0,0.5,21.0,0.28,40.0,2.6,2.4,2025.0
3589.0,Madiwala Tank,"E (Irrigation, industrial cooling and controlled waste)",3.3,7.5,727.0,17.0,2.5,150.0,3500.0,3.0,236.0,5.0,236.0,128.0,121.0,2.95,2.73,232.0,116.0,116.0,10.0,89.0,502.0,10.0,1.1,0.5,10.0,0.3,44.0,2.5,2.6,2025.0
3590.0,Lalbagh Tank,"D (Propagation of wild life,fisheries)",5.8,8.0,650.0,8.0,2.4,2400.0,4800.0,3.0,100.0,5.0,100.0,92.0,84.0,2.0,1.6,68.0,40.0,28.0,8.0,79.0,442.0,10.0,0.2,0.5,18.0,0.41,65.0,4.2,0.4,2025.0
3591.0,Kempambudhi Tank,"E (Irrigation, industrial cooling and controlled waste)",1.7,8.3,661.0,30.0,2.5,2600.0,9400.0,3.0,196.0,5.0,196.0,68.0,207.0,10.9,8.4,136.0,72.0,64.0,11.0,71.0,452.0,10.0,0.9,0.5,18.0,0.23,49.0,2.7,2.2,2025.0
3592.0,Yediyur Tank,"D (Propagation of wild life,fisheries)",5.9,6.7,313.0,6.0,1.2,230.0,3500.0,3.0,76.0,5.0,76.0,36.0,63.0,1.56,1.2,48.0,28.0,20.0,5.0,35.0,214.0,10.0,0.2,0.5,14.0,0.2,53.0,2.5,0.2,2025.0
3593.0,Ulsoor Lake Temple,"D (Propagation of wild life,fisheries)",6.0,7.1,454.0,4.0,1.7,210.0,1200.0,3.0,96.0,5.0,96.0,68.0,47.0,1.5,0.69,116.0,64.0,52.0,19.0,44.0,306.0,10.0,0.2,0.5,8.0,0.2,43.0,2.0,0.05,2025.0
3594.0,Sankey Tank,"D (Propagation of wild life,fisheries)",6.9,7.4,494.0,4.0,2.0,63.0,540.0,3.0,164.0,5.0,164.0,76.0,48.0,1.5,0.4,144.0,72.0,72.0,8.5,54.0,340.0,10.0,0.2,0.5,6.0,0.26,43.0,1.0,0.11,2025.0
3595.0,Byrasandra Tank,"D (Propagation of wild life,fisheries)",5.0,7.0,466.0,5.0,1.2,3100.0,17000.0,3.0,104.0,5.0,104.0,76.0,55.0,1.5,0.84,124.0,64.0,60.0,20.0,46.0,316.0,10.0,0.2,0.5,9.0,0.29,42.0,2.0,0.05,2025.0
3596.0,Nayandanahalli Tank,"D (Propagation of wild life,fisheries)",5.9,8.3,890.0,7.0,3.4,310.0,3500.0,32.0,200.0,16.0,216.0,152.0,78.0,1.5,0.8,184.0,96.0,88.0,21.0,98.0,614.0,10.0,0.24,0.5,11.0,0.39,52.0,3.1,0.57,2025.0
