STN_CODE,NAMEOFMONITORINGLOCATION,USEBASEDCLASS,DO,PH,CONDUCTIVITY,BOD,NITRATE_N,FECAL_COLI,TOTAL_COLI,CARBONATE,BICARBONATE,PHENOLPHTHALEINALKALINITY,TOTALALKALINITY,CHLORIDES,COD,TOTALKJELDAHLNITROGEN,AMMONICALN,TOTALHARDNESS,CAASCACO3,MGASCACO3,SULPHATE,SODIUM,TOTALDISSOLVEDSOLIDS,TOTALSUSPENDEDSOLIDS,PHOSPHATE,BORON,POTASSIUM,FLUORIDE,SODIUMPERCENTAGE,SAR,ORTHOPHOSPHATE,YEAR
4530.0,KAMMASANDRA LAKE,"E (Irrigation, industrial cooling)",0.3,7.4,1394.0,28.0,7.3,49000000.0,240000000.0,3.123809523809524,600.0,5.0,600.0,180.0,192.0,4.66952380952381,10.5,488.0,248.0,240.0,29.0,91.0,948.0,16.17142857142857,2.8,0.5,28.0,0.38,41.0,1.9934285714285713,0.5452380952380953,2023.0
5575.0,"Hanchanal Lake ,Hanchanal Vill,Bengaluru","D (Propagation of wild life,fisheries)",5.1,6.9,1187.0,3.9,12.0,1840.0,3200.0,3.2476190476190476,380.0,5.0,228.0,216.0,60.0,4.639047619047619,0.4,232.0,100.0,132.0,220.0,45.0,760.0,16.34285714285714,0.4,0.5,6.81,0.75,41.0,1.9868571428571429,0.5404761904761906,2023.0
3645.0,DEVARAYASAMUDRA LAKE,"D (Propagation of wild life, fisheries)",4.1,7.4,466.0,7.0,8.0,4800.0,35000.0,3.3714285714285714,160.0,5.0,160.0,44.0,72.0,4.6085714285714285,0.6,220.0,116.0,104.0,8.0,43.0,320.0,16.514285714285712,0.3,0.5,6.0,0.4,41.0,1.9802857142857142,0.5357142857142858,2023.0
5589.0,"Mallapura Kere, Mallapura Vill, Nh-13, Hospet Road Chitradurga,Bengaluru","D (Propagation of wild life, fisheries)",0.3,7.8,1480.0,28.2,1.95,130.0,2800.0,3.4952380952380953,116.0,5.0,330.0,220.0,44.0,4.578095238095238,2.39,328.0,216.0,112.0,56.0,165.1,968.0,16.685714285714287,0.25,0.5,25.05,0.36,41.0,1.9737142857142858,0.530952380952381,2023.0
3648.0,MYDALA TANK,"D (Propagation of wild life, fisheries)",5.6,7.0,250.0,4.0,6.0,480.0,16000.0,3.619047619047619,72.0,5.0,72.0,20.0,40.0,4.5476190476190474,0.4,68.0,40.0,28.0,7.0,15.0,170.0,16.857142857142858,0.2,0.5,3.0,0.2,41.0,1.967142857142857,0.5261904761904762,2023.0
3644.0,MULBAGALU LAKE,"E (Irrigation, industrial cooling and controlled waste)",2.9,7.9,1196.0,20.0,4.0,7000.0,92000.0,3.742857142857143,388.0,5.0,388.0,336.0,136.0,4.517142857142857,2.0,288.0,148.0,140.0,8.0,93.0,824.0,17.02857142857143,0.2,0.5,4.0,0.4,41.0,1.9605714285714286,0.5214285714285715,2023.0
3621.0,HARALUR LAKE,"E (Irrigation, industrial cooling and controlled waste)",2.0,8.2,968.0,17.0,3.7,6300.0,54000.0,3.8666666666666667,244.0,5.0,244.0,148.0,117.0,4.486666666666667,1.5,248.0,128.0,120.0,99.0,99.0,660.0,17.2,2.6,0.5,22.0,0.26,41.0,1.954,0.5166666666666667,2023.0
5571.0,"Kudlu Doddakere, Kudlu Vill,Bengaluru","D (Propagation of wild life,fisheries)",4.1,8.5,708.0,10.0,3.0,27000.0,240000.0,3.9904761904761905,128.0,12.0,140.0,136.0,99.0,4.456190476190477,0.84,164.0,88.0,76.0,57.0,92.0,480.0,17.37142857142857,0.44,0.5,20.0,0.26,41.0,1.9474285714285715,0.511904761904762,2023.0
5572.0,"Kudlu Chikkakere, Bgp Layout Kudlu Vill ,Bengaluru","D (Propagation of wild life,fisheries)",4.1,8.5,710.0,11.0,3.0,7900.0,54000.0,4.114285714285714,128.0,12.0,140.0,136.0,104.0,4.425714285714286,0.86,164.0,88.0,76.0,58.0,93.0,486.0,17.542857142857144,0.45,0.5,20.0,0.28,41.0,1.9408571428571428,0.5071428571428572,2023.0
3611.0,KAIKONDANAHALLI LAKE,"D (Propagation of wild life,fisheries)",4.4,8.5,762.0,9.0,3.3,4600.0,35000.0,4.238095238095238,136.0,16.0,152.0,148.0,88.0,4.395238095238096,0.8,204.0,108.0,96.0,34.0,101.0,522.0,17.714285714285715,2.4,0.5,26.0,0.3,41.0,1.9342857142857144,0.5023809523809524,2023.0
4529.0,KASAVANAHALLI LAKE,"D (Propagation of wild life,fisheries)",4.6,7.5,630.0,8.0,2.9,4800.0,92000.0,4.361904761904762,156.0,5.0,156.0,128.0,74.0,4.364761904761905,0.79,156.0,84.0,72.0,5.0,92.0,432.0,17.885714285714286,0.2,0.5,16.0,0.25,41.0,1.9277142857142857,0.4976190476190476,2023.0
3620.0,PARAPPANA AGRAHARA LAKE,"E (Irrigation, industrial cooling and controlled waste)",3.4,8.0,904.0,12.0,3.7,4700.0,160000.0,4.485714285714286,236.0,5.0,236.0,148.0,119.0,4.3342857142857145,1.3,268.0,140.0,128.0,35.0,111.0,620.0,18.057142857142857,0.4,0.5,35.0,0.35,41.0,1.9211428571428573,0.4928571428571429,2023.0
4528.0,DODDAKANNEHALLI LAKE,"D (Propagation of wild life,fisheries)",4.4,8.5,769.0,9.0,3.0,1700.0,24000.0,4.609523809523809,100.0,16.0,116.0,144.0,80.0,4.303809523809524,0.83,156.0,84.0,72.0,45.0,93.0,520.0,18.228571428571428,1.7,0.5,18.0,0.26,41.0,1.9145714285714286,0.48809523809523814,2023.0
4521.0,DEVARABEESANAHALLI LAKE,"D (Propagation of wild life,fisheries)",5.2,7.7,1272.0,7.0,5.9,4600.0,54000.0,4.733333333333333,148.0,5.0,148.0,368.0,69.0,4.273333333333333,0.82,276.0,144.0,132.0,30.0,176.0,868.0,18.4,1.8,0.5,37.0,0.44,41.0,1.908,0.4833333333333334,2023.0
5570.0,"Soulkere, Kaikondrahalli Vill,Bengaluru","D (Propagation of wild life,fisheries)",4.5,7.5,1265.0,8.0,5.9,4000.0,92000.0,4.857142857142858,168.0,5.0,168.0,340.0,73.0,4.242857142857143,0.76,316.0,164.0,152.0,23.0,185.0,864.0,18.571428571428573,1.9,0.5,31.0,0.48,41.0,1.9014285714285715,0.4785714285714286,2023.0
4542.0,BASAVANAPURA LAKE,"D (Propagation of wild life,fisheries)",5.7,7.8,310.0,5.0,1.0,4000.0,54000.0,4.980952380952381,92.0,5.0,92.0,40.0,64.0,4.212380952380952,0.4,96.0,56.0,40.0,11.0,34.0,208.0,18.742857142857144,0.3,0.5,10.0,0.2,41.0,1.8948571428571428,0.47380952380952385,2023.0
3616.0,KALENA AGRAHARA LAKE,"D (Propagation of wild life,fisheries)",5.8,7.7,338.0,5.0,1.0,2300.0,24000.0,5.104761904761904,96.0,5.0,96.0,44.0,60.0,4.181904761904762,0.4,128.0,72.0,56.0,12.0,24.0,230.0,18.914285714285715,0.3,0.5,10.0,0.22,41.0,1.8882857142857143,0.4690476190476191,2023.0
3613.0,GOTTIGERE LAKE,"D (Propagation of wild life,fisheries)",5.8,7.7,833.0,5.0,3.0,3100.0,35000.0,5.228571428571429,148.0,5.0,148.0,140.0,68.0,4.151428571428571,0.4,168.0,92.0,76.0,36.0,97.0,556.0,19.085714285714285,0.28,0.5,24.0,0.35,41.0,1.8817142857142857,0.4642857142857143,2023.0
3615.0,ARAKERE LAKE,"D (Propagation of wild life,fisheries)",5.7,7.8,332.0,5.0,1.0,470.0,16000.0,5.352380952380953,96.0,5.0,96.0,40.0,48.0,4.120952380952382,0.4,100.0,56.0,44.0,12.0,19.0,224.0,19.257142857142856,0.3,0.5,10.0,0.22,41.0,1.8751428571428572,0.45952380952380956,2023.0
3619.0,BEGUR TANK,"D (Propagation of wild life,fisheries)",5.4,7.7,825.0,6.0,3.0,4300.0,92000.0,5.476190476190476,140.0,5.0,140.0,152.0,56.0,4.09047619047619,0.4,164.0,88.0,76.0,35.0,98.0,554.0,19.42857142857143,0.29,0.5,25.0,0.35,41.0,1.8685714285714285,0.4547619047619048,2023.0
4543.0,KODI SINGASANDRA LAKE,"D (Propagation of
wild life,fisheries)",6.1,7.7,1012.0,4.0,4.0,330.0,16000.0,5.6,184.0,5.0,184.0,138.0,44.0,4.0600000000000005,0.4,200.0,108.0,92.0,9.0,138.0,682.0,19.6,0.91,0.5,23.0,0.33,41.0,1.862,0.45000000000000007,2023.0
3618.0,SINGASANDRA LAKE,"D (Propagation of wild life,fisheries)",4.7,8.0,898.0,7.0,3.0,2200.0,24000.0,5.723809523809524,192.0,5.0,192.0,128.0,88.0,4.02952380952381,0.48,240.0,128.0,112.0,28.0,94.0,604.0,19.771428571428572,2.0,0.5,28.0,0.28,41.0,1.8554285714285714,0.44523809523809527,2023.0
3590.0,LALBAGH TANK,"D (Propagation of wild life,fisheries)",4.1,6.7,495.0,12.0,1.4,3900.0,92000.0,5.847619047619048,140.0,5.0,140.0,76.0,116.0,3.9990476190476194,0.95,132.0,72.0,60.0,8.0,49.0,340.0,19.942857142857143,0.2,0.5,6.0,0.21,41.0,1.8488571428571428,0.4404761904761905,2023.0
4504.0,SARAKKI LAKE,"D (Propagation of wild life,fisheries)",5.0,7.4,813.0,7.0,2.4,490.0,16000.0,5.9714285714285715,232.0,5.0,232.0,124.0,68.0,3.968571428571429,0.61,220.0,116.0,104.0,13.0,80.0,552.0,20.114285714285714,0.34,0.5,10.0,0.35,41.0,1.8422857142857143,0.4357142857142857,2023.0
3638.0,YELACHENAHALLI LAKE,"D (Propagation of wild life,fisheries)",4.4,7.1,333.0,10.0,1.0,7900.0,92000.0,6.095238095238095,96.0,5.0,96.0,48.0,102.0,3.9380952380952383,0.92,88.0,52.0,36.0,5.0,34.0,230.0,20.285714285714285,0.2,0.5,4.0,0.2,41.0,1.8357142857142856,0.430952380952381,2023.0
3592.0,YEDIYUR TANK,"D (Propagation of wild life,fisheries)",4.2,7.4,251.0,11.0,0.73,11000.0,54000.0,6.219047619047619,72.0,5.0,72.0,36.0,109.0,3.9076190476190478,0.94,64.0,40.0,24.0,5.0,26.0,174.0,20.457142857142856,0.2,0.5,3.0,0.2,41.0,1.8291428571428572,0.42619047619047623,2023.0
3591.0,KEMPAMBUDHI TANK,"E (Irrigation, industrial cooling and controlled waste)",3.1,6.8,538.0,12.0,1.6,4800.0,35000.0,6.342857142857143,156.0,5.0,156.0,80.0,110.0,3.8771428571428572,2.6,144.0,80.0,64.0,8.0,53.0,366.0,20.62857142857143,0.22,0.5,7.0,0.23,41.0,1.8225714285714285,0.4214285714285715,2023.0
