STN_CODE,NAMEOFMONITORINGLOCATION,USEBASEDCLASS,DO,PH,CONDUCTIVITY,BOD,NITRATE_N,FECAL_COLI,TOTAL_COLI,CARBONATE,BICARBONATE,PHENOLPHTHALEINALKALINITY,TOTALALKALINITY,CHLORIDES,COD,TOTALKJELDAHLNITROGEN,AMMONICALN,TOTALHARDNESS,CAASCACO3,MGASCACO3,SULPHATE,SODIUM,TOTALDISSOLVEDSOLIDS,TOTALSUSPENDEDSOLIDS,PHOSPHATE,BORON,POTASSIUM,FLUORIDE,SODIUMPERCENTAGE,SAR,ORTHOPHOSPHATE,YEAR
1388.0,Ulsoor Lake Training Centre Of Fish Breeding,"D (Propagation of wild life,fisheries)",5.3,7.5,452.0,6.0,1.82,2300.0,9400.0,3.0,88.0,5.0,88.0,60.0,52.0,1.5,0.4,112.0,60.0,52.0,23.26,32.0,302.0,148.0,0.2,0.5,3.0,0.2,37.0,1.32,0.05,2024.0
2778.0,River Arkavathi At Tippagondanahalli Reservoir,"D (Propagation of wild life,fisheries)",5.6,7.7,1071.0,4.0,4.1,13.0,210.0,3.0,212.0,5.0,212.0,236.0,40.0,1.5,0.4,300.0,152.0,148.0,44.0,100.0,716.0,10.0,0.25,0.5,21.0,0.48,40.0,2.6,0.73,2024.0
3589.0,Madiwala Tank,"E (Irrigation, industrial cooling and controlled waste)",3.6,7.9,912.0,16.0,3.2,2000.0,12000.0,3.0,204.0,5.0,204.0,140.0,108.0,1.8,1.4,160.0,84.0,76.0,21.0,99.0,622.0,52.0,0.8,0.5,24.0,0.31,53.0,3.4,1.5,2024.0
3590.0,Lalbagh Tank,"D (Propagation of wild life,fisheries)",5.8,8.8,631.0,7.0,2.5,1700.0,7900.0,24.0,80.0,12.0,92.0,92.0,60.0,1.5,0.4,96.0,52.0,44.0,21.9,50.0,422.0,32.0,0.2,0.5,4.0,0.2,51.0,2.0,0.05,2024.0
3591.0,Kempambudhi Tank,"E (Irrigation, industrial cooling and controlled waste)",3.6,7.6,399.0,12.0,1.61,2200.0,13000.0,3.0,116.0,5.0,116.0,32.0,120.0,1.56,1.2,128.0,68.0,60.0,18.0,30.0,270.0,136.0,0.88,0.5,3.0,0.2,33.0,1.2,2.27,2024.0
3592.0,Yediyur Tank,"D (Propagation of wild life,fisheries)",4.9,8.3,337.0,8.0,1.35,1700.0,4800.0,3.0,64.0,5.0,64.0,40.0,88.0,1.5,0.58,68.0,40.0,28.0,16.9,24.0,226.0,42.0,0.2,0.5,2.0,0.2,42.0,1.26,0.05,2024.0
3593.0,Ulsoor Lake Temple,"D (Propagation of wild life,fisheries)",5.5,8.9,464.0,7.0,1.87,1100.0,13000.0,32.0,68.0,10.0,84.0,44.0,60.0,1.5,0.4,116.0,64.0,52.0,15.21,36.0,310.0,130.0,0.2,0.5,2.0,0.2,39.0,1.45,0.05,2024.0
3594.0,Sankey Tank,"D (Propagation of wild life,fisheries)",5.7,7.3,627.0,5.0,2.52,17.0,1600.0,3.0,136.0,5.0,136.0,72.0,48.0,1.5,0.4,188.0,100.0,88.0,16.75,50.0,420.0,16.0,0.2,0.5,3.0,0.22,38.0,2.0,0.05,2024.0
3595.0,Byrasandra Tank,"E (Irrigation, industrial cooling and controlled waste)",2.9,6.9,687.0,18.0,2.4,210.0,3500.0,3.0,168.0,5.0,168.0,56.0,120.0,2.4,1.8,188.0,96.0,92.0,30.0,56.0,468.0,22.0,0.3,0.5,20.0,0.2,36.0,1.8,0.7,2024.0
3596.0,Nayandanahalli Tank,"D (Propagation of wild life,fisheries)",4.4,8.9,842.0,8.0,2.9,260.0,3500.0,8.0,156.0,5.0,164.0,120.0,72.0,1.5,0.4,184.0,100.0,84.0,20.0,95.0,558.0,10.0,0.56,0.5,23.0,0.38,43.0,3.0,1.3,2024.0
