STN_CODE,NAMEOFMONITORINGLOCATION,USEBASEDCLASS,DO,PH,CONDUCTIVITY,BOD,NITRATE_N,FECAL_COLI,TOTAL_COLI,CARBONATE,BICARBONATE,PHENOLPHTHALEINALKALINITY,TOTALALKALINITY,CHLORIDES,COD,TOTALKJELDAHLNITROGEN,AMMONICALN,TOTALHARDNESS,CAASCACO3,MGASCACO3,SULPHATE,SODIUM,TOTALDISSOLVEDSOLIDS,TOTALSUSPENDEDSOLIDS,PHOSPHATE,BORON,POTASSIUM,FLUORIDE,SODIUMPERCENTAGE,SAR,ORTHOPHOSPHATE,YEAR
1388.0,Ulsoor Lake Training Centre Of Fish Breeding,"D (Propagation of wild life,fisheries)",4.8,8.8,451.0,8.0,1.5,170.0,2400.0,16.0,56.0,8.0,72.0,68.0,69.0,1.5,0.48,48.0,28.0,20.0,25.0,51.0,308.0,14.0,0.3,0.5,16.0,0.2,62.0,3.2,0.7,2024.0
3593.0,Ulsoor Lake Temple,"D (Propagation of wild life,fisheries)",4.9,8.8,460.0,7.0,1.5,220.0,2400.0,24.0,64.0,12.0,88.0,60.0,64.0,1.5,0.43,64.0,36.0,28.0,27.0,51.0,314.0,12.0,0.2,0.5,16.0,0.2,57.0,2.8,0.6,2024.0
5568.0,"Ulsoor Lake Near Kalyani,Bengaluru","D (Propagation of wild life,fisheries)",4.9,8.9,459.0,7.4,1.5,390.0,2200.0,32.0,52.0,16.0,84.0,60.0,65.0,1.5,0.42,64.0,36.0,28.0,26.0,51.0,314.0,12.0,0.2,0.5,16.0,0.2,57.0,2.8,0.6,2024.0
5569.0,"Byrasandra Upper Lake,Bengaluru","E (Irrigation, industrial cooling and controlled waste)",3.0,7.5,656.0,18.0,2.9,2700.0,11000.0,3.0,176.0,5.0,176.0,116.0,118.0,2.3,1.8,136.0,72.0,64.0,34.0,90.0,448.0,16.0,5.9,0.5,20.0,0.22,54.0,3.4,13.0,2024.0
3595.0,Byrasandra Tank,"D (Propagation of wild life,fisheries)",4.7,8.6,456.0,7.0,1.5,320.0,3500.0,24.0,56.0,12.0,80.0,60.0,64.0,1.5,0.43,64.0,36.0,28.0,26.0,51.0,312.0,12.0,0.3,0.5,16.0,0.2,57.0,2.8,0.7,2024.0
4505.0,Nelamangala Lake,"E (Irrigation, industrial cooling and controlled waste)",2.8,7.2,2330.0,54.0,8.0,220.0,2400.0,3.0,430.0,5.0,430.0,580.0,244.0,10.2,6.5,650.0,340.0,310.0,50.0,254.0,1556.0,18.0,1.0,0.5,36.0,0.49,92.0,4.0,3.6,2024.0
3632.0,Veerapura Tank,"E (Irrigation, industrial cooling and controlled waste)",3.1,6.5,1056.0,16.0,3.4,1700.0,11000.0,3.0,296.0,5.0,296.0,164.0,145.0,3.87,2.98,284.0,148.0,136.0,16.0,103.0,720.0,238.0,0.2,0.5,13.0,0.3,43.0,2.7,0.05,2024.0
3620.0,Parappana Agrahara Lake,"E (Irrigation, industrial cooling and controlled waste)",0.3,8.2,882.0,66.0,4.0,14000.0,46000.0,3.0,172.0,5.0,172.0,160.0,292.0,17.4,13.8,120.0,64.0,56.0,19.0,98.0,580.0,138.0,1.04,0.5,33.0,0.26,56.0,4.0,2.8,2024.0
3622.0,Somasundrapalya Lake,"E (Irrigation, industrial cooling and controlled waste)",1.2,7.9,1318.0,29.0,5.06,390.0,3500.0,3.0,360.0,5.0,360.0,188.0,199.0,5.6,4.8,288.0,148.0,140.0,12.0,111.0,886.0,22.0,0.31,0.5,32.0,0.32,42.0,2.8,0.91,2024.0
4514.0,Sadaramangala Lake,"D (Propagation of wild life,fisheries)",4.6,7.8,788.0,8.0,3.4,330.0,4300.0,3.0,108.0,5.0,108.0,132.0,92.0,17.4,13.8,120.0,64.0,56.0,18.0,87.0,520.0,40.0,0.24,0.5,18.0,0.2,53.0,3.15,0.66,2024.0
5574.0,"Anjanapura Lake ( Avala Halli Lake) Anjanapura,Bengaluru","D (Propagation of wild life,fisheries)",5.2,7.1,376.0,5.0,0.8,320.0,3500.0,3.0,104.0,5.0,104.0,68.0,45.0,1.5,0.4,116.0,60.0,56.0,7.0,41.0,260.0,10.0,0.2,0.5,6.0,0.2,41.0,2.0,0.05,2024.0
4544.0,Kothanuru Lake,"D (Propagation of wild life,fisheries)",4.8,7.5,394.0,7.0,0.8,1400.0,7900.0,3.0,152.0,5.0,152.0,44.0,88.0,1.5,0.4,168.0,88.0,80.0,8.0,40.0,270.0,10.0,0.2,0.5,5.0,0.2,33.0,1.3,0.05,2024.0
3614.0,Puttenahalli Lake,"D (Propagation of wild life,fisheries)",4.6,7.5,640.0,5.0,1.5,340.0,2800.0,3.0,140.0,5.0,140.0,132.0,46.0,1.5,0.4,160.0,84.0,76.0,9.0,61.0,438.0,10.0,0.39,0.5,8.0,0.22,44.0,2.1,1.21,2024.0
3613.0,Gottigere Lake,"E (Irrigation, industrial cooling and controlled waste)",3.6,7.3,1128.0,10.0,2.8,11000.0,46000.0,3.0,296.0,5.0,296.0,196.0,117.0,4.4,3.6,304.0,156.0,148.0,17.0,99.0,770.0,22.0,0.29,0.5,10.0,0.6,40.0,2.4,0.89,2024.0
3616.0,Kalena Agrahara Lake,"D (Propagation of wild life,fisheries)",4.6,7.3,373.0,8.0,0.8,1400.0,7000.0,3.0,148.0,5.0,148.0,48.0,89.0,1.5,0.4,116.0,68.0,48.0,8.0,42.0,260.0,10.0,0.2,0.5,5.0,0.3,42.0,2.0,0.05,2024.0
3615.0,Arakere Lake,"D (Propagation of wild life,fisheries)",4.9,7.5,389.0,6.0,0.8,2100.0,9400.0,3.0,164.0,5.0,164.0,68.0,75.0,1.5,0.42,136.0,72.0,64.0,11.666666666666666,43.0,288.0,10.0,0.2,0.5,5.0,0.38,39.0,1.4,0.05,2024.0
3589.0,Madiwala Tank,"D (Propagation of wild life,fisheries)",5.2,7.3,666.0,8.0,1.5,1400.0,7900.0,3.0,172.0,5.0,172.0,116.0,81.0,1.5,0.46,180.0,96.0,84.0,15.333333333333332,64.0,458.0,10.0,0.44,0.5,5.0,0.34,43.0,10.0,1.35,2024.0
3612.0,Agaram Lake,"D (Propagation of wild life,fisheries)",5.3,7.3,1067.0,7.0,3.0,1500.0,4800.0,3.0,120.0,5.0,120.0,124.0,87.0,1.5,0.4,116.0,68.0,48.0,19.0,102.0,730.0,10.0,1.0,0.5,13.0,0.3,62.0,4.0,3.1,2024.0
3619.0,Begur Tank,"D (Propagation of wild life,fisheries)",5.4,7.2,1274.0,7.0,2.95,930.0,4900.0,3.0,172.0,5.0,172.0,164.0,75.0,1.5,3.06,192.0,100.0,92.0,19.0,102.0,860.0,12.0,0.98,0.5,15.0,0.3,51.0,3.2,3.0,2024.0
3618.0,Singasandra Lake,"D (Propagation of wild life,fisheries)",5.2,7.1,1280.0,6.0,2.9,2100.0,17000.0,3.0,176.0,5.0,176.0,196.0,69.0,1.5,0.4,212.0,116.0,96.0,18.8,107.0,870.0,10.0,1.1,0.5,20.0,0.2,50.0,3.2,3.3,2024.0
3601.0,Karihobanahalli Lake,"E (Irrigation, industrial cooling and controlled waste)",0.3,7.2,3260.0,22.0,10.7,14.0,240.0,3.0,924.0,5.0,924.0,512.0,180.0,1.5,15.82,888.0,452.0,436.0,50.0,313.0,2218.0,20.0,0.2,0.5,41.0,0.41,42.0,4.6,0.05,2024.0
3594.0,Sankey Tank,"D (Propagation of wild life,fisheries)",4.8,8.0,612.0,7.0,2.3,170.0,2400.0,3.0,144.0,5.0,144.0,80.0,83.0,1.5,0.7,132.0,72.0,60.0,10.0,67.0,398.0,16.0,0.2,0.5,9.0,0.2,50.0,2.55,0.2,2024.0
