STN_CODE,NAMEOFMONITORINGLOCATION,USEBASEDCLASS,DO,PH,CONDUCTIVITY,BOD,NITRATE_N,FECAL_COLI,TOTAL_COLI,CARBONATE,BICARBONATE,PHENOLPHTHALEINALKALINITY,TOTALALKALINITY,CHLORIDES,COD,TOTALKJELDAHLNITROGEN,AMMONICALN,TOTALHARDNESS,CAASCACO3,MGASCACO3,SULPHATE,SODIUM,TOTALDISSOLVEDSOLIDS,TOTALSUSPENDEDSOLIDS,PHOSPHATE,BORON,POTASSIUM,FLUORIDE,SODIUMPERCENTAGE,SAR,ORTHOPHOSPHATE,YEAR
1388.0,Ulsoor Lake Training Centre Of Fish Breeding,"D (Propagation of wild life,fisheries)",6.0,8.6,381.0,6.0,1.53,430.0,2200.0,16.0,88.0,8.0,96.0,60.0,56.0,1.5,0.4,80.0,44.0,36.0,12.0,27.0,258.0,34.0,0.2,0.5,2.0,0.28,41.0,1.31,0.05,2024.0
2778.0,River Arkavathi At Tippagondanahalli Reservoir,"D (Propagation of wild life,fisheries)",5.9,7.8,1281.0,7.0,4.76,390.0,5400.0,3.0,272.0,5.0,272.0,272.0,60.0,1.5,0.4,320.0,164.0,156.0,18.0,105.0,870.0,18.0,0.62,0.5,7.0,0.35,41.0,3.0,1.6,2024.0
3589.0,Madiwala Tank,"D (Propagation of wild life,fisheries)",6.2,8.0,524.0,4.0,1.8,1400.0,7900.0,3.0,104.0,5.0,104.0,84.0,40.0,1.5,0.4,104.0,60.0,44.0,19.0,76.0,356.0,10.0,0.29,0.5,34.0,0.27,53.0,3.0,0.79,2024.0
3590.0,Lalbagh Tank,"D (Propagation of wild life,fisheries)",5.5,8.1,526.0,4.0,2.0,260.0,5400.0,3.0,120.0,5.0,120.0,88.0,40.0,1.5,0.61,140.0,76.0,64.0,21.0,37.0,360.0,10.0,0.2,0.5,11.0,0.21,34.0,1.35,0.51,2024.0
3591.0,Kempambudhi Tank,"E (Irrigation, industrial cooling and controlled waste)",3.1,6.7,391.0,19.0,1.5,2000.0,17000.0,3.0,88.0,5.0,88.0,60.0,155.0,3.2,2.6,104.0,56.0,48.0,16.0,26.0,266.0,10.0,0.31,0.5,8.0,0.2,31.0,1.1,0.9,2024.0
3592.0,Yediyur Tank,"D (Propagation of wild life,fisheries)",5.4,6.8,273.0,4.0,1.0,1100.0,13000.0,3.0,60.0,5.0,60.0,44.0,45.0,1.5,0.4,72.0,40.0,32.0,11.0,37.0,186.0,12.0,0.2,0.5,5.0,0.2,50.0,2.0,0.05,2024.0
3593.0,Ulsoor Lake Temple,"D (Propagation of wild life,fisheries)",5.9,8.4,374.0,8.0,1.5,32.0,350.0,16.0,88.0,8.0,96.0,56.0,76.0,1.5,0.4,60.0,36.0,24.0,20.0,25.0,254.0,40.0,0.2,0.5,2.0,0.2,47.0,1.4,0.05,2024.0
3594.0,Sankey Tank,"D (Propagation of wild life,fisheries)",6.9,7.5,532.0,4.0,2.1,170.0,2400.0,3.0,120.0,5.0,120.0,88.0,40.0,1.5,0.4,140.0,76.0,64.0,22.0,48.0,364.0,10.0,0.2,0.5,11.0,0.44,40.0,2.0,0.27,2024.0
3595.0,Byrasandra Tank,"D (Propagation of wild life,fisheries)",4.2,7.2,508.0,9.0,2.04,2600.0,11000.0,3.0,140.0,5.0,140.0,60.0,80.0,1.5,0.86,136.0,72.0,64.0,24.0,41.0,344.0,26.0,0.35,0.5,2.0,0.36,39.0,1.53,0.93,2024.0
3596.0,Nayandanahalli Tank,"D (Propagation of wild life,fisheries)",5.7,8.8,800.0,5.0,5.7,32.0,1600.0,156.0,296.0,156.0,296.0,128.0,64.0,1.5,0.4,196.0,104.0,92.0,30.0,89.0,542.0,14.0,0.2,0.5,20.0,0.32,47.0,2.8,0.6,2024.0
3597.0,Hesaraghatta Lake,"D (Propagation of wild life,fisheries)",6.0,8.1,359.0,4.0,1.4,380.0,3500.0,3.0,96.0,5.0,96.0,56.0,44.0,1.5,0.46,80.0,44.0,36.0,15.0,31.0,246.0,10.0,0.2,0.5,7.0,0.28,42.0,2.0,0.05,2024.0
3598.0,Herohalli Tank,"E (Irrigation, industrial cooling and controlled waste)",3.2,6.8,429.0,24.0,1.65,3100.0,11000.0,3.0,132.0,5.0,132.0,48.0,180.0,2.3,1.8,124.0,68.0,56.0,7.0,29.0,292.0,92.0,0.91,0.5,2.0,0.2,33.0,1.13,2.45,2024.0
3599.0,Anchepalya Lake,"E (Irrigation, industrial cooling and controlled waste)",2.8,7.2,365.0,19.0,1.4,2100.0,9400.0,3.0,84.0,5.0,84.0,60.0,156.0,4.3,3.6,100.0,56.0,44.0,16.0,32.0,250.0,10.0,0.27,0.5,7.0,0.2,39.0,1.4,0.79,2024.0
3600.0,Shivapura Tank,"D (Propagation of wild life,fisheries)",6.0,7.2,1038.0,4.0,4.18,580.0,16000.0,3.0,172.0,5.0,172.0,188.0,40.0,1.5,0.4,276.0,144.0,132.0,41.0,92.0,704.0,14.0,0.2,0.5,7.0,0.39,41.0,2.4,0.05,2024.0
3601.0,Karihobanahalli Lake,"E (Irrigation, industrial cooling and controlled waste)",2.8,6.8,967.0,27.0,3.9,1400.0,7900.0,3.0,176.0,5.0,176.0,180.0,220.0,10.0,8.2,216.0,112.0,104.0,21.0,85.0,656.0,16.0,1.57,0.5,5.0,0.52,45.0,3.0,4.3,2024.0
3602.0,Bellandur Lake,"E (Irrigation, industrial cooling and controlled waste)",3.3,7.5,1100.0,29.0,4.71,11.0,350.0,3.0,144.0,5.0,144.0,148.0,208.0,10.14,7.8,204.0,108.0,96.0,43.0,105.0,748.0,16.0,1.35,0.5,4.0,0.46,52.0,3.21,3.57,2024.0
