STN_CODE,NAMEOFMONITORINGLOCATION,USEBASEDCLASS,DO,PH,CONDUCTIVITY,BOD,NITRATE_N,FECAL_COLI,TOTAL_COLI,CARBONATE,BICARBONATE,PHENOLPHTHALEINALKALINITY,TOTALALKALINITY,CHLORIDES,COD,TOTALKJELDAHLNITROGEN,AMMONICALN,TOTALHARDNESS,CAASCACO3,MGASCACO3,SULPHATE,SODIUM,TOTALDISSOLVEDSOLIDS,TOTALSUSPENDEDSOLIDS,PHOSPHATE,BORON,POTASSIUM,FLUORIDE,SODIUMPERCENTAGE,SAR,ORTHOPHOSPHATE,YEAR
1388.0,"ULSOOR LAKE TRAINING
CENTRE OF FISH BREEDING","D (Propagation of wild life,fisheries)",4.6,8.0,332.0,8.0,1.15,4000.0,54000.0,3.0,64.0,5.0,64.0,44.0,96.0,1.5,0.84,88.0,52.0,36.0,16.0,46.0,222.0,32.0,0.2,0.5,13.0,0.2,49.0,2.0,0.1,2023.0
2778.0,RIVER ARKAVATHI AT TIPPAGONDANAHALLI RESERVOIR,"E (Irrigation, industrial cooling and controlled waste)",1.8,7.5,1374.0,21.0,5.3,46000.0,350000.0,3.0,320.0,5.0,320.0,232.0,168.0,10.9,8.6,372.0,192.0,180.0,56.0,118.0,952.0,10.0,0.77,0.5,27.0,0.26,38.0,2.7,2.1,2023.0
3589.0,MADIWALA TANK,"E (Irrigation, industrial cooling and controlled waste)",3.1,6.8,616.0,11.0,2.0,480.0,16000.0,3.0,96.0,5.0,96.0,92.0,104.0,1.5,0.91,232.0,120.0,112.0,33.0,58.0,425.0,10.0,0.2,0.5,29.0,0.27,32.0,2.0,0.05,2023.0
3590.0,LALBAGH TANK,"D (Propagation of wild life,fisheries)",6.6,8.4,448.0,6.0,2.0,4600.0,54000.0,24.0,112.0,5.0,124.0,68.0,56.0,1.5,0.41,236.0,124.0,112.0,8.0,37.0,304.0,12.0,0.2,0.5,2.0,0.4,25.0,1.04,0.05,2023.0
3591.0,KEMPAMBUDHI TANK,"E (Irrigation, industrial cooling and controlled waste)",3.2,7.3,462.0,15.0,1.77,2700.0,24000.0,3.0,172.0,5.0,172.0,72.0,121.0,4.7,3.8,120.0,64.0,56.0,19.0,37.0,320.0,48.0,0.34,0.5,9.0,0.26,37.0,1.5,0.94,2023.0
3592.0,YEDIYUR TANK,"D (Propagation of wild life,fisheries)",4.7,6.8,271.0,5.0,1.04,2700.0,24000.0,3.0,60.0,5.0,60.0,40.0,121.0,1.5,0.76,68.0,40.0,28.0,11.0,22.0,186.0,16.0,0.2,0.5,5.0,0.2,39.0,1.2,0.05,2023.0
3593.0,ULSOOR LAKE TEMPLE,"D (Propagation of wild life,fisheries)",5.0,8.1,333.0,7.0,1.16,3100.0,35000.0,3.0,72.0,5.0,72.0,40.0,84.0,1.5,0.89,80.0,48.0,32.0,16.0,46.0,224.0,40.0,0.2,0.5,14.0,0.2,51.0,2.0,0.17,2023.0
3594.0,SANKEY TANK,"D (Propagation of wild life,fisheries)",4.4,7.76,491.0,8.0,1.1,480.0,16000.0,3.0,168.0,5.0,168.0,76.0,96.0,1.5,0.4,192.0,100.0,92.0,21.0,38.0,336.0,10.0,0.2,0.5,4.0,0.26,30.0,1.1,0.05,2023.0
3595.0,BYRASANDRA TANK,"E (Irrigation, industrial cooling and controlled waste)",3.1,6.9,459.0,16.0,2.0,7000.0,92000.0,3.0,100.0,5.0,100.0,40.0,112.0,2.26,1.7,112.0,64.0,48.0,19.0,49.0,312.0,24.0,0.5,0.5,13.0,0.2,45.0,2.0,1.2,2023.0
3596.0,NAYANDANAHALLI TANK,"E (Irrigation, industrial cooling and controlled waste)",1.2,7.2,902.0,40.0,3.1,940.0,16000.0,3.0,208.0,5.0,208.0,140.0,192.0,9.0,6.9,260.0,136.0,124.0,32.0,107.0,608.0,10.0,1.08,0.5,27.0,0.21,44.0,4.0,2.9,2023.0
