STN_CODE,NAMEOFMONITORINGLOCATION,USEBASEDCLASS,DO,PH,CONDUCTIVITY,BOD,NITRATE_N,FECAL_COLI,TOTAL_COLI,CARBONATE,BICARBONATE,PHENOLPHTHALEINALKALINITY,TOTALALKALINITY,CHLORIDES,COD,TOTALKJELDAHLNITROGEN,AMMONICALN,TOTALHARDNESS,CAASCACO3,MGASCACO3,SULPHATE,SODIUM,TOTALDISSOLVEDSOLIDS,TOTALSUSPENDEDSOLIDS,PHOSPHATE,BORON,POTASSIUM,FLUORIDE,SODIUMPERCENTAGE,SAR,ORTHOPHOSPHATE,YEAR
1388.0,Ulsoor Lake Training Centre Of Fish Breeding,E,2.6,7.7,441.0,21.0,1.7,170.0,2400.0,3.0,152.0,5.0,152.0,48.0,158.0,12.5,9.6,128.0,64.0,64.0,14.0,42.0,300.0,52.0,0.2,0.5,2.0,0.21,40.0,1.6,0.4,2025.0
3589.0,Madiwala Tank,D,4.2,7.4,590.0,6.0,2.26,1700.0,6300.0,3.0,124.0,5.0,124.0,92.0,60.0,1.5,0.4,108.0,72.0,36.0,14.0,73.0,398.0,22.0,0.43,0.5,2.0,0.36,59.0,3.06,1.01,2025.0
3590.0,Lalbagh Tank,D,5.2,8.0,440.0,9.0,1.7,170.0,2800.0,3.0,108.0,5.0,108.0,72.0,94.0,2.0,1.5,92.0,48.0,44.0,11.0,58.0,304.0,22.0,0.2,0.5,3.0,0.38,56.0,2.6,0.14,2025.0
3591.0,Kempambudhi Tank,E,2.2,8.0,397.0,23.0,1.5,260.0,4300.0,3.0,148.0,5.0,148.0,36.0,154.0,11.1,8.4,124.0,64.0,60.0,5.0,33.0,270.0,44.0,0.5,0.5,2.0,0.2,36.0,1.3,1.2,2025.0
3592.0,Yediyur Tank,D,6.7,7.8,223.0,4.0,0.8,230.0,2200.0,3.0,72.0,5.0,72.0,24.0,49.0,1.5,0.91,60.0,32.0,28.0,5.0,19.0,154.0,28.0,0.2,0.5,2.0,0.2,39.0,1.1,0.14,2025.0
3593.0,Ulsoor Lake Temple,D,5.9,7.2,452.0,7.0,1.7,20.0,1600.0,3.0,168.0,5.0,168.0,48.0,79.0,1.5,0.43,136.0,68.0,68.0,14.0,43.0,312.0,10.0,0.63,0.5,2.0,0.2,40.0,1.6,1.5,2025.0
3594.0,Sankey Tank,D,6.5,7.0,496.0,4.0,1.9,17.0,1600.0,3.0,112.0,5.0,112.0,80.0,45.0,1.5,0.4,132.0,72.0,60.0,20.0,48.0,332.0,10.0,0.2,0.5,10.0,0.22,41.0,1.81,0.05,2025.0
3595.0,Byrasandra Tank,D,5.9,7.1,449.0,7.0,1.7,210.0,3500.0,3.0,160.0,5.0,160.0,48.0,74.0,1.5,0.4,140.0,72.0,68.0,14.0,43.0,310.0,10.0,0.32,0.5,2.0,0.2,39.0,1.6,0.75,2025.0
3596.0,Nayandanahalli Tank,D,4.7,7.2,931.0,6.0,3.4,200.0,1500.0,3.0,164.0,5.0,164.0,108.0,72.0,1.5,0.52,172.0,92.0,80.0,29.0,68.0,630.0,10.0,0.2,0.5,5.0,0.36,45.0,2.25,0.52,2025.0
3597.0,Hesaraghatta Lake,D,6.0,7.1,400.0,5.0,1.5,200.0,3500.0,3.0,96.0,5.0,96.0,69.0,53.0,1.5,0.4,112.0,64.0,48.0,10.0,48.0,272.0,20.0,0.2,0.5,5.0,0.28,33.0,2.0,2.2,2025.0
3598.0,Herohalli Tank,E,3.1,7.1,640.0,16.0,2.5,2100.0,11000.0,3.0,144.0,5.0,144.0,104.0,144.0,1.6,1.2,172.0,92.0,80.0,26.0,63.0,80.0,10.0,0.2,0.5,14.0,0.22,42.0,2.08,0.27,2025.0
3599.0,Anchepalya Lake,E,2.2,7.8,600.0,9.0,2.3,2000.0,12000.0,3.0,140.0,5.0,140.0,104.0,97.0,1.6,1.2,164.0,84.0,80.0,20.0,48.0,408.0,24.0,0.4,0.5,5.0,0.29,26.0,1.6,0.9,2025.0
3600.0,Shivapura Tank,D,4.3,7.1,661.0,4.0,2.6,2100.0,5800.0,3.0,148.0,5.0,148.0,108.0,44.0,1.5,0.9,176.0,92.0,84.0,27.0,65.0,452.0,46.0,0.2,0.5,15.0,0.2,42.0,2.13,0.23,2025.0
3602.0,Bellandur Lake,D,6.0,7.6,814.0,5.0,3.1,310.0,2800.0,3.0,116.0,5.0,116.0,144.0,56.0,1.5,0.4,132.0,68.0,64.0,18.0,90.0,542.0,10.0,0.2,0.5,2.0,0.21,59.0,3.5,0.29,2025.0
3603.0,Vengaiyyanakere( Kr Puram Lake ),E,2.4,7.4,1065.0,44.0,4.4,2000.0,9400.0,3.0,228.0,5.0,228.0,120.0,248.0,3.2,2.9,172.0,92.0,80.0,29.0,95.0,700.0,38.0,1.4,0.5,24.0,0.37,51.0,3.0,4.0,2025.0
3604.0,Doddanekkundi Lake,D,5.8,7.5,529.0,5.0,8.9,24.0,920.0,3.0,148.0,5.0,148.0,64.0,56.0,1.5,0.5,160.0,84.0,76.0,11.0,37.0,360.0,10.0,0.2,0.5,3.0,0.4,30.0,1.26,0.15,2025.0
3605.0,Yelemallappa Shetty Lake,E,1.7,7.2,1361.0,69.0,5.2,170.0,2400.0,3.0,348.0,5.0,348.0,160.0,336.0,30.2,24.0,248.0,132.0,116.0,12.0,100.0,900.0,10.0,0.73,0.5,25.0,0.22,44.0,3.0,4.3,2025.0
3606.0,Dasarahalli Tank,D,4.2,6.7,364.0,5.0,1.4,3100.0,8400.0,3.0,80.0,5.0,80.0,56.0,56.0,1.5,0.92,96.0,52.0,44.0,15.0,35.0,250.0,36.0,0.2,0.5,7.0,0.2,41.0,1.55,0.05,2025.0
3607.0,Kalkere Tank,E,2.4,7.4,1594.0,22.0,6.1,260.0,17000.0,3.0,348.0,5.0,348.0,216.0,136.0,2.5,1.9,268.0,140.0,56.0,37.0,116.0,1084.0,46.0,2.4,0.5,3.0,0.2,48.0,3.1,5.6,2025.0
3608.0,Varthur Lake,D,5.8,7.8,576.0,6.0,2.2,310.0,2800.0,3.0,128.0,5.0,128.0,92.0,64.0,1.5,0.4,152.0,80.0,72.0,24.0,57.0,392.0,10.0,0.2,0.5,12.0,0.22,42.0,2.0,0.24,2025.0
3609.0,Ibbalur Lake,D,5.9,8.2,852.0,5.0,3.5,200.0,2200.0,3.0,140.0,5.0,140.0,160.0,60.0,1.5,0.4,148.0,80.0,68.0,15.0,97.0,574.0,16.0,0.21,0.5,14.0,0.38,56.0,3.0,0.58,2025.0
3610.0,Tubarahalli Tank,D,4.3,7.5,546.0,6.0,2.0,140.0,2400.0,3.0,116.0,5.0,116.0,80.0,68.0,1.5,0.93,140.0,72.0,29.0,22.0,53.0,374.0,40.0,0.2,0.5,9.0,0.26,43.0,1.94,0.35,2025.0
3611.0,Kaikondanahalli Lake,E,3.0,7.8,1027.0,18.0,3.9,210.0,1500.0,3.0,176.0,5.0,176.0,176.0,152.0,1.5,0.4,184.0,96.0,88.0,36.0,99.0,696.0,18.0,1.1,0.5,2.0,0.23,53.0,3.3,2.6,2025.0
3612.0,Agaram Lake,D,4.5,7.8,732.0,8.0,2.9,240.0,1700.0,3.0,112.0,5.0,112.0,120.0,92.0,1.5,0.4,124.0,68.0,56.0,35.0,85.0,494.0,12.0,0.2,0.5,11.0,0.37,60.0,3.0,0.05,2025.0
3613.0,Gottigere Lake,D,5.4,7.7,423.0,8.0,1.6,2200.0,7900.0,3.0,112.0,5.0,112.0,64.0,92.0,1.9,1.4,92.0,48.0,44.0,12.0,51.0,292.0,30.0,0.2,0.5,3.0,0.42,53.0,2.3,0.14,2025.0
3614.0,Puttenahalli Lake,D,5.4,7.1,536.0,8.0,2.0,3100.0,7000.0,3.0,136.0,5.0,136.0,92.0,94.0,2.0,1.5,120.0,60.0,60.0,7.0,73.0,370.0,28.0,0.2,0.5,3.0,0.37,56.0,2.9,0.15,2025.0
3615.0,Arakere Lake,D,4.5,7.8,732.0,8.0,2.9,240.0,1700.0,3.0,112.0,5.0,112.0,120.0,96.0,1.5,0.4,124.0,68.0,56.0,35.0,85.0,494.0,12.0,0.2,0.5,11.0,0.37,60.0,3.0,0.05,2025.0
3616.0,Kalena Agrahara Lake,D,5.3,8.0,425.0,4.0,1.63,260.0,2800.0,3.0,120.0,5.0,120.0,48.0,44.0,1.5,0.4,88.0,50.0,38.0,31.0,52.0,288.0,22.0,0.2,0.5,2.0,0.39,55.0,2.41,0.05,2025.0
3618.0,Singasandra Lake,D,6.2,7.8,1369.0,4.0,5.3,310.0,3500.0,3.0,188.0,5.0,188.0,308.0,48.0,1.5,0.4,228.0,120.0,108.0,94.0,178.0,918.0,32.0,0.2,0.5,43.0,0.56,58.0,5.0,0.16,2025.0
3619.0,Begur Tank,E,2.1,7.7,1305.0,30.0,5.0,210.0,1700.0,3.0,196.0,5.0,196.0,324.0,210.0,14.1,10.7,204.0,104.0,100.0,55.0,207.0,894.0,30.0,0.2,0.5,4.0,0.63,68.0,6.3,0.2,2025.0
3620.0,Parappana Agrahara Lake,E,2.1,7.5,876.0,25.0,3.3,240.0,2200.0,3.0,176.0,5.0,176.0,132.0,160.0,1.5,0.4,188.0,100.0,88.0,34.0,101.0,582.0,26.0,1.08,0.5,3.0,0.23,53.0,3.3,2.5,2025.0
3621.0,Haralur Lake,D,4.9,8.3,870.0,14.0,3.3,260.0,3500.0,32.0,156.0,16.0,172.0,140.0,136.0,1.5,0.4,184.0,96.0,88.0,39.0,85.0,584.0,46.0,1.0,0.5,2.0,0.22,50.0,2.7,2.4,2025.0
3622.0,Somasundrapalya Lake,D,6.0,7.9,799.0,4.0,12.5,260.0,1700.0,3.0,108.0,5.0,108.0,132.0,44.0,1.5,0.4,148.0,80.0,68.0,35.0,58.0,542.0,10.0,0.2,0.5,3.0,0.34,46.0,2.08,0.13,2025.0
3623.0,Anekal Doddakere Tank,D,5.4,7.5,956.0,8.0,3.7,140.0,2400.0,3.0,240.0,5.0,240.0,196.0,72.0,1.5,0.42,240.0,120.0,120.0,6.0,103.0,650.0,12.0,0.2,0.5,4.0,0.39,48.0,2.9,0.05,2025.0
3624.0,Puttenahalli Lake,D,6.6,6.8,616.0,4.0,2.3,21.0,1600.0,3.0,136.0,5.0,136.0,96.0,40.0,1.5,0.56,160.0,84.0,76.0,24.0,60.0,416.0,10.0,0.2,0.5,12.0,0.28,43.0,2.06,0.21,2025.0
