STN_CODE,NAMEOFMONITORINGLOCATION,USEBASEDCLASS,DO,PH,CONDUCTIVITY,BOD,NITRATE_N,FECAL_COLI,TOTAL_COLI,CARBONATE,BICARBONATE,PHENOLPHTHALEINALKALINITY,TOTALALKALINITY,CHLORIDES,COD,TOTALKJELDAHLNITROGEN,AMMONICALN,TOTALHARDNESS,CAASCACO3,MGASCACO3,SULPHATE,SODIUM,TOTALDISSOLVEDSOLIDS,TOTALSUSPENDEDSOLIDS,PHOSPHATE,BORON,POTASSIUM,FLUORIDE,SODIUMPERCENTAGE,SAR,ORTHOPHOSPHATE,YEAR
1388.0,Ulsoor Lake Training Centre Of Fish Breeding,"D (Propagation of wild life,fisheries)",5.0,8.5,469.0,13.0,1.8,2600.0,15000.0,32.0,60.0,16.0,76.0,56.0,122.0,1.5,0.47,92.0,48.0,44.0,7.948717948717949,20.0,326.0,94.0,0.2,0.5,18.0,0.21,27.0,0.9,0.12,2025.0
2778.0,River Arkavathi At Tippagondanahalli Reservoir,"E (Irrigation, industrial cooling and controlled waste)",2.3,8.1,1091.0,17.0,3.8,140.0,1400.0,3.0,292.0,5.0,292.0,252.0,117.0,2.7,2.1,256.0,132.0,124.0,7.923076923076923,106.0,752.0,76.0,1.0,0.5,22.0,0.26,45.0,2.9,2.4,2025.0
3589.0,Madiwala Tank,"E (Irrigation, industrial cooling and controlled waste)",3.1,7.1,693.0,20.0,2.3,1200.0,7900.0,3.0,188.0,5.0,188.0,124.0,166.0,1.5,0.99,172.0,88.0,84.0,7.897435897435898,95.0,478.0,16.0,0.2,0.5,13.0,0.24,52.0,3.1,0.2,2025.0
3590.0,Lalbagh Tank,"D (Propagation of wild life,fisheries)",5.6,8.2,633.0,6.0,2.1,2100.0,12000.0,3.0,88.0,5.0,88.0,72.0,64.0,1.5,0.42,92.0,52.0,40.0,7.871794871794872,44.0,428.0,36.0,0.2,0.5,23.0,0.34,44.0,2.01,0.05,2025.0
3591.0,Kempambudhi Tank,"E (Irrigation, industrial cooling and controlled waste)",1.5,7.5,651.0,41.0,2.2,930.0,4900.0,3.0,188.0,5.0,188.0,44.0,296.0,1.5,0.87,184.0,96.0,88.0,7.846153846153846,46.0,440.0,144.0,0.4,0.5,18.0,0.2,33.0,1.48,1.12,2025.0
3592.0,Yediyur Tank,"D (Propagation of wild life,fisheries)",5.9,7.8,343.0,5.0,1.0,780.0,4600.0,3.0,64.0,5.0,64.0,28.0,52.0,1.5,0.45,88.0,48.0,40.0,7.82051282051282,17.0,232.0,30.0,0.2,0.5,7.0,0.2,27.0,0.78,0.05,2025.0
3593.0,Ulsoor Lake Temple,"D (Propagation of wild life,fisheries)",4.9,8.3,490.0,14.0,1.9,4800.0,28000.0,24.0,72.0,12.0,84.0,56.0,129.0,1.5,0.46,80.0,40.0,40.0,7.794871794871795,21.0,336.0,98.0,0.2,0.5,18.0,0.23,30.0,1.0,0.05,2025.0
3594.0,Sankey Tank,"D (Propagation of wild life,fisheries)",5.6,7.1,454.0,6.0,1.6,140.0,840.0,3.0,148.0,5.0,148.0,68.0,56.0,1.5,0.4,172.0,92.0,80.0,7.769230769230769,65.0,306.0,10.0,0.2,0.5,9.0,0.28,44.0,2.0,0.05,2025.0
3595.0,Byrasandra Tank,"D (Propagation of wild life,fisheries)",5.5,8.2,348.0,6.0,1.2,5800.0,35000.0,3.0,72.0,5.0,72.0,52.0,52.0,1.5,0.4,72.0,44.0,28.0,7.743589743589744,55.0,232.0,112.0,0.2,0.5,16.0,0.2,56.0,0.89,0.05,2025.0
3596.0,Nayandanahalli Tank,"D (Propagation of wild life,fisheries)",6.2,7.7,803.0,6.0,3.1,26.0,920.0,3.0,212.0,5.0,212.0,136.0,70.0,1.5,0.81,208.0,104.0,104.0,7.717948717948718,85.0,554.0,10.0,0.26,0.5,24.0,0.38,44.0,2.5,0.62,2025.0
3597.0,Hesaraghatta Lake,"D (Propagation of wild life,fisheries)",5.8,7.5,323.0,8.0,1.2,680.0,3900.0,3.0,112.0,5.0,112.0,44.0,92.0,1.5,0.86,128.0,64.0,64.0,7.6923076923076925,18.0,226.0,14.0,0.2,0.5,8.0,0.3,22.0,1.0,0.36,2025.0
3598.0,Herohalli Tank,"E (Irrigation, industrial cooling and controlled waste)",1.7,6.7,499.0,22.0,1.9,2100.0,11000.0,3.0,112.0,5.0,112.0,80.0,200.0,6.8,6.4,132.0,72.0,60.0,7.666666666666667,50.0,340.0,18.0,0.26,0.5,10.0,0.2,42.0,2.0,0.76,2025.0
3599.0,Anchepalya Lake,"E (Irrigation, industrial cooling and controlled waste)",3.0,6.6,287.0,10.0,1.1,560.0,3900.0,3.0,56.0,5.0,56.0,40.0,108.0,1.6,1.23,124.0,72.0,52.0,7.641025641025641,16.0,196.0,84.0,0.2,0.5,9.0,0.2,21.0,1.0,0.33,2025.0
3600.0,Shivapura Tank,"E (Irrigation, industrial cooling and controlled waste)",1.7,7.2,757.0,39.0,2.6,1200.0,8400.0,3.0,120.0,5.0,120.0,140.0,256.0,21.2,14.8,196.0,104.0,92.0,7.615384615384615,99.0,512.0,42.0,0.2,0.5,10.0,0.32,51.0,3.0,0.41,2025.0
3602.0,Bellandur Lake,"D (Propagation of wild life,fisheries)",6.0,7.0,683.0,4.0,2.3,3900.0,21000.0,3.0,188.0,5.0,188.0,108.0,40.0,1.5,0.5,168.0,92.0,76.0,7.589743589743589,106.0,464.0,18.0,0.2,0.5,24.0,0.33,54.0,4.0,0.05,2025.0
