STN_CODE,NAMEOFMONITORINGLOCATION,USEBASEDCLASS,DO,PH,CONDUCTIVITY,BOD,NITRATE_N,FECAL_COLI,TOTAL_COLI,CARBONATE,BICARBONATE,PHENOLPHTHALEINALKALINITY,TOTALALKALINITY,CHLORIDES,COD,TOTALKJELDAHLNITROGEN,AMMONICALN,TOTALHARDNESS,CAASCACO3,MGASCACO3,SULPHATE,SODIUM,TOTALDISSOLVEDSOLIDS,TOTALSUSPENDEDSOLIDS,PHOSPHATE,BORON,POTASSIUM,FLUORIDE,SODIUMPERCENTAGE,SAR,ORTHOPHOSPHATE,YEAR
1388.0,Ulsoor Lake Training Centre Of Fish Breeding,"D (Propagation of wild life,fisheries)",7.2,7.6,488.0,5.3,2.0,2100.0,17000.0,3.0,116.0,5.0,116.0,64.0,45.0,1.5,0.76,84.0,48.0,36.0,5.0,62.0,334.0,34.0,0.2,0.5,14.0,0.2,57.0,0.4,0.05,2024.0
2778.0,River Arkavathi At Tippagondanahalli Reservoir,"E (Irrigation, industrial cooling and controlled waste)",1.3,8.2,1416.0,27.0,5.12,250.0,3500.0,3.0,324.0,5.0,324.0,248.0,180.0,6.9,4.7,448.0,240.0,208.0,57.0,162.0,920.0,12.0,0.3,0.5,14.0,0.32,43.0,3.3,0.8,2024.0
3589.0,Madiwala Tank,"E (Irrigation, industrial cooling and controlled waste)",1.0,8.7,1150.0,38.0,4.0,1700.0,9400.0,24.0,176.0,12.0,200.0,168.0,204.0,1.8,1.2,156.0,84.0,72.0,36.0,158.0,766.0,70.0,1.5,0.5,37.0,0.32,63.0,6.0,4.0,2024.0
3590.0,Lalbagh Tank,"D (Propagation of wild life,fisheries)",4.4,9.0,693.0,8.0,2.4,310.0,3500.0,32.0,68.0,16.0,100.0,96.0,228.0,1.5,0.48,88.0,52.0,36.0,22.0,91.0,468.0,24.0,0.26,0.5,25.0,0.38,62.0,4.0,0.71,2024.0
3591.0,Kempambudhi Tank,"E (Irrigation, industrial cooling and controlled waste)",2.9,8.1,740.0,14.0,2.5,1700.0,7900.0,3.0,108.0,5.0,108.0,112.0,120.0,1.6,1.1,124.0,68.0,56.0,36.0,93.0,498.0,44.0,0.29,0.5,17.0,0.21,58.0,4.0,0.84,2024.0
3592.0,Yediyur Tank,"E (Irrigation, industrial cooling and controlled waste)",0.9,8.9,650.0,42.0,2.2,2400.0,4800.0,40.0,156.0,20.0,196.0,60.0,228.0,5.0,3.7,184.0,100.0,84.0,18.0,73.0,438.0,196.0,0.57,0.5,22.0,0.24,43.0,2.0,1.4,2024.0
3593.0,Ulsoor Lake Temple,"D (Propagation of wild life,fisheries)",7.1,7.5,464.0,5.3,1.9,46.0,1600.0,3.0,84.0,5.0,84.0,60.0,45.0,1.5,0.74,76.0,44.0,32.0,13.0,62.0,316.0,88.0,0.2,0.5,14.0,0.2,58.0,0.32,0.05,2024.0
3594.0,Sankey Tank,"D (Propagation of wild life,fisheries)",6.1,7.9,568.0,6.0,9.6,400.0,16000.0,3.0,148.0,5.0,148.0,76.0,56.0,1.5,0.72,128.0,68.0,60.0,5.0,72.0,388.0,10.0,0.2,0.5,12.0,0.2,52.0,0.36,0.05,2024.0
3595.0,Byrasandra Tank,"D (Propagation of wild life,fisheries)",6.2,7.8,735.0,6.3,3.6,3200.0,9400.0,3.0,256.0,5.0,256.0,116.0,54.0,1.5,0.86,252.0,132.0,120.0,19.0,111.0,434.0,12.0,0.6,0.5,30.0,0.2,45.0,0.32,1.3,2024.0
3596.0,Nayandanahalli Tank,"E (Irrigation, industrial cooling and controlled waste)",2.9,8.5,826.0,14.0,2.8,1700.0,11000.0,16.0,32.0,8.0,48.0,124.0,142.0,2.5,1.9,216.0,116.0,100.0,13.0,81.0,560.0,76.0,1.1,0.5,10.0,0.33,44.0,2.4,2.9,2024.0
