STN_CODE,NAMEOFMONITORINGLOCATION,USEBASEDCLASS,DO,PH,CONDUCTIVITY,BOD,NITRATE_N,FECAL_COLI,TOTAL_COLI,CARBONATE,BICARBONATE,PHENOLPHTHALEINALKALINITY,TOTALALKALINITY,CHLORIDES,COD,TOTALKJELDAHLNITROGEN,AMMONICALN,TOTALHARDNESS,CAASCACO3,MGASCACO3,SULPHATE,SODIUM,TOTALDISSOLVEDSOLIDS,TOTALSUSPENDEDSOLIDS,PHOSPHATE,BORON,POTASSIUM,FLUORIDE,SODIUMPERCENTAGE,SAR,ORTHOPHOSPHATE,YEAR
1388.0,ULSOOR LAKE TRAINING CENTRE OF FISH BREEDING,"D (Propagation of wild life,fisheries)",5.7,8.2,340.0,5.0,1.0,4600.0,54000.0,3.0,60.0,5.0,60.0,52.0,64.0,11.960991379310345,0.4,80.0,48.0,32.0,21.0,46.0,232.0,42.71615720524017,0.21,0.5,15.0,0.2,50.0,2.0,0.57,2023.0
3593.0,ULSOOR LAKE TEMPLE,"D (Propagation of wild life,fisheries)",5.1,8.0,344.0,7.0,1.0,7000.0,92000.0,3.0,64.0,5.0,64.0,52.0,98.0,11.92198275862069,0.4,60.0,36.0,24.0,20.0,42.0,234.0,43.43231441048035,0.28,0.5,14.0,0.2,54.0,3.0,0.8,2023.0
5568.0,"Ulsoor Lake Near Kalyani,Bengaluru","D (Propagation of wild life,fisheries)",5.0,8.2,342.0,7.0,1.0,4000.0,54000.0,3.0,72.0,5.0,72.0,52.0,96.0,11.882974137931035,0.43,64.0,40.0,24.0,21.0,44.0,234.0,44.148471615720524,0.27,0.5,15.0,0.2,53.0,2.0,0.75,2023.0
5569.0,"Byrasandra Upper Lake,Bengaluru","E (Irrigation, industrial cooling and controlled waste)",3.2,6.8,1190.0,15.0,4.0,4800.0,160000.0,3.0,200.0,5.0,200.0,60.0,112.0,11.84396551724138,2.8,288.0,152.0,136.0,245.0,52.0,794.0,44.8646288209607,0.29,0.5,31.0,0.22,26.0,1.5,1.085,2023.0
3595.0,BYRASANDRA TANK,"D (Propagation of wild life,fisheries)",5.1,6.9,500.0,7.0,2.0,4300.0,92000.0,3.0,116.0,5.0,116.0,36.0,88.0,11.804956896551724,0.4,132.0,72.0,60.0,25.0,39.0,338.0,45.580786026200876,0.52,0.5,13.0,0.2,36.0,1.4,1.42,2023.0
4505.0,NELAMANGALA LAKE,"E (Irrigation, industrial cooling and controlled waste)",3.2,7.1,1156.0,12.0,5.0,4300.0,92000.0,3.0,264.0,5.0,264.0,204.0,108.0,11.765948275862069,0.4,292.0,152.0,140.0,39.0,89.0,786.0,46.29694323144105,0.56,0.5,42.0,0.42,36.0,2.0,1.2,2023.0
3624.0,PUTTENAHALLI LAKE,"D (Propagation of wild life,fisheries)",5.2,7.5,497.0,6.0,2.0,700.0,16000.0,3.0,112.0,5.0,112.0,56.0,56.0,11.726939655172414,0.41,124.0,68.0,56.0,14.0,33.0,338.0,47.01310043668122,0.34,0.5,2.0,0.2,35.0,1.0,0.77,2023.0
3625.0,HEBBAL LAKE,"D (Propagation of wild life,fisheries)",6.1,7.6,412.0,4.0,1.0,4100.0,24000.0,3.0,88.0,5.0,88.0,56.0,40.0,11.687931034482759,0.4,144.0,80.0,64.0,16.0,38.0,282.0,47.7292576419214,0.31,0.5,10.0,0.2,34.0,16.0,0.97,2023.0
3629.0,ALLALASANDRA LAKE,"E (Irrigation, industrial cooling and controlled waste)",3.2,6.6,592.0,20.0,2.0,4700.0,54000.0,3.0,88.0,5.0,88.0,108.0,152.0,11.648922413793104,2.2,136.0,76.0,60.0,14.0,66.0,400.0,48.44541484716157,0.8,0.5,27.0,0.2,0.53,1.3,2.47,2023.0
3630.0,YELAHANKA TANK,"D (Propagation of wild life,fisheries)",6.1,7.5,407.0,4.0,1.0,430.0,5400.0,3.0,88.0,5.0,88.0,52.0,40.0,11.609913793103448,0.4,136.0,72.0,64.0,15.0,36.0,274.0,49.161572052401745,0.31,0.5,11.0,0.2,34.0,2.15,0.95,2023.0
3627.0,JAKKUR LAKE,"D (Propagation of wild life,fisheries)",5.3,6.7,588.0,6.0,2.0,4800.0,92000.0,3.0,88.0,5.0,88.0,104.0,72.0,11.570905172413793,0.4,132.0,72.0,60.0,15.0,67.0,394.0,49.877729257641924,0.87,0.5,27.0,0.28,46.0,3.0,3.0,2023.0
3626.0,NAGAVARA LAKE,"D (Propagation of wild life,fisheries)",6.1,6.9,666.0,4.0,2.0,460.0,16000.0,3.0,148.0,5.0,148.0,100.0,40.0,11.531896551724138,0.4,172.0,92.0,80.0,9.0,64.0,444.0,50.5938864628821,0.28,0.5,25.0,0.2,40.0,0.28,0.83,2023.0
4507.0,CHELEKERE LAKE,"D (Propagation of wild life,fisheries)",6.0,7.5,412.0,4.0,1.0,4900.0,54000.0,3.0,88.0,5.0,88.0,56.0,40.0,11.492887931034483,0.4,120.0,68.0,52.0,16.0,35.0,282.0,51.31004366812227,0.29,0.5,10.0,0.2,36.0,1.5,0.74,2023.0
