name,stn,scene_date,lat,lon,B2,B3,B4,B5,B6,B7,B8,B11,B12,NDWI,MNDWI,NDCI,NDTI,Red_Green,RedEdge_Ratio
Devasandra Lake,DVS,2023-08-16,13.022,77.6553,,,,,,,,,,,,,,,
Hebbal Lake,HBL,2023-08-16,13.0455,77.5961,0.24116988577362408,0.2550920042850518,0.26101931481625057,0.29457253374870185,0.3470882658359294,0.3762779854620976,0.36422975077881614,0.32367684319833856,0.24718452751817233,-0.17692355541811877,-0.11968078562084193,0.06089075194519155,0.012280101897480826,1.0254379270983098,1.1312801210053396
Jakkur Lake,JKR,2023-08-16,13.0648,77.6004,,,,,,,,,,,,,,,
Nagavara Lake,NGV,2023-08-16,13.0318,77.613,,,,,,,,,,,,,,,
Chelekere Lake,CLK,2023-08-16,13.0396,77.6109,0.1516431301471105,0.16749262376023374,0.172714193545147,0.20733829450270974,0.27762863025269213,0.3174538079819807,0.311684370380798,0.3244528577461815,0.2919914584359821,-0.30065529031034544,-0.3316109729662376,0.11106354456617089,0.009771233439825739,1.0249835887706538,1.2964593207325157
Ulsoor Lake,ULS,2023-08-16,12.9817,77.6254,0.1986764478764479,0.2028146677841091,0.20082895768425182,0.2365,0.2994,0.334,0.3116374517374517,0.2933,0.2305,-0.21153981876835337,-0.1824475793554411,0.0815988620375767,-0.004878160608643579,0.9903144189373916,1.1777973817408018
Bellandur Lake,BLR,2023-08-16,12.9265,77.6434,0.043327987663839634,0.0615392458943238,0.05079429394169872,0.10136754047802624,0.19895212027756365,0.23243353893600618,0.22927964533538936,0.18537764070932924,0.11205466461063995,-0.5762135888280593,-0.5012404880590806,0.33258808142528334,-0.0958335576024329,0.8261965513654762,1.9996684825363409
Varthur Lake,VTR,2023-08-16,12.9389,77.7219,0.0919206307860185,0.11600448844091595,0.11363061721896588,0.15562018726459936,0.24845703474251116,0.29140594529902475,0.2897906543700939,0.24953742123974798,0.18655303952972654,-0.4446317849727955,-0.38400208139973907,0.18891185703522137,-0.02931621141374836,0.9523216245924054,1.5148190736074532
Madiwala Lake,MDW,2023-08-16,12.9154,77.6116,0.13441702637045375,0.19693719274752466,0.27594371236168497,0.3135857268598383,0.36203668274478024,0.3875570643946061,0.37509475055451874,0.43585488152659896,0.3849486603527799,-0.3173239681409211,-0.3753657582921659,0.08071351803465147,0.14601280249517096,1.3615762679472798,1.2033971923173403
Kaikondanahalli Lake,KKH,2023-08-16,12.929,77.6958,0.14646702329837405,0.1769598186867758,0.17520973098707443,0.2061992010980503,0.2654180052086999,0.2938085697191526,0.2923978707679313,0.27887175336101927,0.23867835222073636,-0.3074865101890363,-0.28134039598257765,0.13671354042279482,-0.020265812248198563,0.9665997097052723,1.393608315296523
Puttenahalli Lake,PTN,2023-08-16,12.8982,77.5855,0.18010539083557953,0.18940242765486404,0.20929690168271814,0.26889299191374666,0.28487654986522915,0.3086528301886793,0.2745424528301887,0.31721010781671166,0.3100137466307277,-0.18505852204132892,-0.2527527686763046,0.12411776988324662,0.049365906719580355,1.104666273749352,1.2881429062746104
Allalasandra Lake,ALS,2023-08-16,13.0541,77.6052,0.147006116918312,0.1691459121575045,0.18008619731207756,0.2099023123218244,0.2615777461021363,0.29101697462429166,0.2792736212297187,0.264023471650301,0.2220256361524655,-0.25271494327945127,-0.2307669370271399,0.08975134425025383,0.029750534410863554,1.0644684645328704,1.2398363876283223
Kundalahalli Lake,KND,2023-08-16,12.9766,77.7004,0.12099681824581164,0.15146242454044875,0.1708422283372286,0.20855443826552153,0.2855400640574404,0.31205908067013916,0.30136810150640553,0.2701195410389977,0.2168940236519779,-0.3447781236767169,-0.2989335055990561,0.12267072971407934,0.055781678026773474,1.1291018294094652,1.335334719567729
Haralur Lake,HRL,2023-08-16,12.9059,77.6887,0.061788311276925266,0.08187900916988582,0.07153914209405954,0.11790281571167117,0.24046403984232004,0.28527843516823864,0.28555629311558495,0.1830214029283402,0.11222856891454318,-0.5520156456650299,-0.36838676825057404,0.25462079722718645,-0.07917841163376729,0.8588425928294823,1.7092884189610804
Agaram Lake,AGR,2023-08-16,12.9234,77.6416,0.13100265941754125,0.15472421722451526,0.16051626447344058,0.18988054958486109,0.23509680532726435,0.2593898048636575,0.2532440637248704,0.22814832469338714,0.19140265941754123,-0.2674451781804896,-0.22812880659518284,0.127412234375377,-0.003124492299146036,1.0033865698766673,1.3465991209983945
Somasundrapalya Lake,SMP,2023-08-16,12.922,77.636,0.15989520290008083,0.1792195719790253,0.18941039003491314,0.20998937106254167,0.23489686059198264,0.256065156794425,0.2475163235138844,0.2623815155034666,0.23964595783620166,-0.16093359537298157,-0.19670890794674023,0.060990002308768144,0.02700298794504585,1.0593654382509292,1.1512843140519509
Sarakki Lake,SRK,2023-08-16,12.9201,77.572,,,,,,,,,,,,,,,
Gottigere Lake,GTG,2023-08-16,12.8793,77.6017,0.17720815437662568,0.19590387789979968,0.21339084763729116,0.2405108825842357,0.2526681688948038,0.2717027645030549,0.2654387453874539,0.3275980158490109,0.3074419877805333,-0.1529996071131287,-0.2553409298424737,0.06584920620607446,0.03861136106401017,1.0827237394041986,1.1531200170175437
Arakere Lake,ARK,2023-08-16,12.8944,77.5989,0.2016379446640316,0.21119841338381937,0.21568774322982837,0.2298,0.2507,0.2744,0.24426798418972331,0.3151,0.2964,-0.07265342278695049,-0.19755826109550123,0.03249093534036761,0.009851517345461271,1.020403239588064,1.0690457045605906
Hulimavu Lake,HLM,2023-08-16,12.8917,77.606,,,,,,,,,,,,,,,
Begur Tank,BGR,2023-08-16,12.874,77.622,,,,,,,,,,,,,,,
Singasandra Lake,SGS,2023-08-16,12.8985,77.6171,0.1469026219469275,0.16671826912033402,0.17423757678012522,0.20551587597663112,0.25637485394523823,0.2869178010839726,0.28003041106496784,0.27292333004856745,0.23816346519321457,-0.2641070736233014,-0.25510348295105695,0.09765648999493852,0.018809554477801315,1.0418430794167726,1.247714443982114
Ibbalur Lake,IBL,2023-08-16,12.9056,77.6449,,,,,,,,,,,,,,,
Hoskere Lake,HSK,2023-08-16,12.901,77.6227,,,,,,,,,,,,,,,
Hosakerehalli Lake,HKH,2023-08-16,12.9421,77.5406,,,,,,,,,,,,,,,
Kodi Singasandra Lake,KSG,2023-08-16,12.8999,77.626,,,,,,,,,,,,,,,
Yelahanka Tank,YLH,2023-08-16,13.1012,77.5966,0.1568728241563055,0.17846323383002677,0.20731936088146152,0.24551651865008878,0.2789433392539964,0.3097761101243339,0.2354595914742451,0.3004722912966252,0.2780523090586145,-0.14237048832941512,-0.2618596563220535,0.08996019131198833,0.07874887896214566,1.1727578251945006,1.2139314175313183
Hesaraghatta Lake,HSG,2023-08-16,13.1299,77.4614,0.07414718721396889,0.11094437477283857,0.1197371263858811,0.17505971273674578,0.29614978173625306,0.3383710307681476,0.33416722523410575,0.32414022037597706,0.2211084137154121,-0.498708459841551,-0.49104845655196877,0.1973616468818333,0.03100999911025605,1.081229063193751,1.5215277420341247
Nelamangala Lake,NLM,2023-08-16,13.097,77.3925,0.15362981795133637,0.18189475371491295,0.19642373642612104,0.2281961231029263,0.2856373569491884,0.31938559104193814,0.315030969400331,0.3260103454346984,0.28268095707595337,-0.2785987181013345,-0.2998251660640424,0.09739608376966039,0.030592229840381013,1.0693135424519018,1.2748794335299714
Rampura Lake,RPR,2023-08-16,13.015,77.59,0.04738351578725052,0.06443679471403804,0.05148971817865348,0.10004206061459392,0.26804184237389544,0.3323884367629975,0.3325444859023549,0.19716975254320818,0.11033996268788063,-0.6731729385783594,-0.5058173326499882,0.325363778279563,-0.117080162953761,0.794953120134842,1.9862777718627618
Kalena Agrahara Lake,KLA,2023-08-16,12.9128,77.6271,,,,,,,,,,,,,,,
Basavanapura Lake,BSV,2023-08-16,12.9985,77.6808,,,,,,,,,,,,,,,
Kothanuru Lake,KTH,2023-08-16,13.0121,77.6744,0.1725960437858575,0.19336508412073689,0.21009450942647145,0.23121411425152233,0.24422548308753664,0.2625919115835415,0.25364613353982624,0.2871323747844142,0.2671153320896836,-0.1365758372270676,-0.19995998580677607,0.054446141036782816,0.0387876361330916,1.083813828942645,1.1284221675107435
Chinnappanahalli Lake,CNP,2023-08-16,12.9967,77.6895,,,,,,,,,,,,,,,
Segehalli Lake,SGH,2023-08-16,12.9977,77.7088,0.1047888888888889,0.13204491116170192,0.13875357437337568,0.18597420357420358,0.28206519036519034,0.31612066822066825,0.31064487179487177,0.2702141802641803,0.2057443278943279,-0.40918119413462267,-0.3493607440216862,0.16573440645339,0.0024848835504647586,1.0168120756568328,1.4433306405752935
Bhattarahalli Lake,BTH,2023-08-16,13.0116,77.7116,0.07771043968265734,0.109877000690112,0.08407874989023004,0.15112799733076285,0.32854488766960777,0.3829613034774226,0.3829938459257062,0.2509160376659005,0.14787473863720615,-0.5543837166808177,-0.3919649990119341,0.28491875566478925,-0.13234314147101212,0.7678499223105467,1.8059356947369962
Vibhuthipura Lake,VBP,2023-08-16,12.9887,77.7157,0.14300669622435694,0.17756665571058544,0.20330355391538157,0.23837688166367565,0.28551909637918277,0.30811822020479257,0.30055446708188166,0.32982348428868,0.284323818572082,-0.2621753993596008,-0.3071712971368528,0.08887224412399272,0.06496891045727769,1.1446640988781416,1.219219454275389
Devarabeesanahalli Lake,DVB,2023-08-16,12.9545,77.7062,0.14866000070390317,0.1746304940259374,0.19265434843654,0.21452952521733012,0.2291563368880442,0.24522479498820962,0.24051957906592042,0.2886073980220321,0.2762349734276564,-0.16064026731982672,-0.2493950506520124,0.05720663109152996,0.049438387121181,1.1061391312822304,1.1284096804150432
Kasavanahalli Lake,KSV,2023-08-16,12.9408,77.7311,0.1765840199598369,0.20666654840241402,0.2283507701466757,0.2614583642670236,0.31022201058845017,0.33934396032373904,0.31926808860220285,0.3354009979918458,0.25732650155175557,-0.21409121233006256,-0.23917596364321986,0.06980566216464903,0.04909238254370348,1.104884561086188,1.1538069374610835
Sheelavanta Lake,SHV,2023-08-16,12.973,77.7489,,,,,,,,,,,,,,,
Parappana Agrahara Lake,PRP,2023-08-16,12.9112,77.6586,0.041996050408335685,0.07017939326544041,0.049165450056720544,0.11915541396789649,0.3014085680090115,0.3616024218529994,0.3647415516755845,0.21694282596451708,0.11005706843142782,-0.676851438029527,-0.5116548580066963,0.41775534271359266,-0.17861873031498035,0.6987021168831142,2.447098195640956
Chandapura Lake,CDP,2023-08-16,12.8419,77.6534,0.11143176288858854,0.13267764038251487,0.13107808438374474,0.17929656304305855,0.26955607260088826,0.3114546823711141,0.29690084958486196,0.24900212396215485,0.18609733539293308,-0.36196681969280314,-0.31236516330032194,0.16693229535989892,-0.015305792132933604,0.9764820312576943,1.4189970121402455
Rayasandra Lake,RYS,2023-08-16,12.856,77.6618,0.10467581120943951,0.1271463139614524,0.13865678256328126,0.16896858407079646,0.2166433628318583,0.22823908554572264,0.21939882005899705,0.25840265486725655,0.2124373156342183,-0.26516253127331957,-0.3417687004100593,0.1001656470904613,0.04263043001294287,1.090993982534563,1.2245423051150375
Doddabidarakallu Lake,DBK,2023-08-16,13.0742,77.5133,0.11785110015842284,0.1509113393258386,0.1551783418192702,0.20308902305932036,0.30151657454673475,0.33965197324414714,0.3405662594613624,0.2971043513465936,0.22746163351522614,-0.39255485474447954,-0.34388840029851026,0.16739491197792067,-0.008405408604072606,0.9932428462861126,1.4727694621954468
Anchepalya Lake,ACP,2023-08-16,13.0596,77.5024,0.18415413967896363,0.20961911394254262,0.22496706899439103,0.252050348493382,0.2829690439312868,0.30391447479583233,0.2981377534497325,0.3029803611658689,0.26916073993241335,-0.1781227165000719,-0.18815446351125056,0.06399325335333923,0.03367425543861056,1.0717437546948383,1.153520489800527
Chikkabanavara Lake,CKB,2023-08-16,13.0711,77.4802,0.10424172241391441,0.13804356444543886,0.1470287725828867,0.2043480670375326,0.3063175515808744,0.3437598690233078,0.34509465882684287,0.33738691289345796,0.24325774945426376,-0.43475745178538827,-0.427553742409928,0.18037525977273985,0.020012318689297672,1.0463247751021518,1.4700355771258067
