LAKE_NAME_GEE,stn,scene_date,lat,lon,B2,B3,B4,B5,B6,B7,B8,B11,B12,NDWI,MNDWI,NDCI,NDTI,Red_Green,RedEdge_Ratio,MONTH_YEAR,STN_CODE,LAKE_NAME_master,USEBASEDCLASS,DO,PH,CONDUCTIVITY,BOD,NITRATE_N,FECAL_COLI,TOTAL_COLI,CARBONATE,BICARBONATE,PHENOLPHTHALEINALKALINITY,TOTALALKALINITY,CHLORIDES,COD,TOTALKJELDAHLNITROGEN,AMMONICALN,TOTALHARDNESS,CAASCACO3,MGASCACO3,SULPHATE,SODIUM,TOTALDISSOLVEDSOLIDS,TOTALSUSPENDEDSOLIDS,PHOSPHATE,BORON,POTASSIUM,FLUORIDE,SODIUMPERCENTAGE,SAR,ORTHOPHOSPHATE,YEAR
Devasandra Lake,DVS,2023-08-16,13.022,77.6553,,,,,,,,,,,,,,,,08/23,4526.0,DEVASANDRA LAKE,"D (Propagation of wild life,fisheries)",5.0,6.7,428.0,4.0,1.64,480000.0,3500000.0,7.085714285714285,96.0,5.0,96.0,68.0,41.0,3.6942857142857135,0.74,112.0,60.0,52.0,17.0,37.0,296.0,21.65714285714286,0.2,0.5,9.0,0.2,41.0,1.7831428571428571,0.3928571428571429,2023.0
Hebbal Lake,HBL,2023-08-16,13.0455,77.5961,0.241169885773624,0.2550920042850518,0.2610193148162505,0.2945725337487018,0.3470882658359294,0.3762779854620976,0.3642297507788161,0.3236768431983385,0.2471845275181723,-0.1769235554181187,-0.1196807856208419,0.0608907519451915,0.0122801018974808,1.0254379270983098,1.1312801210053396,08/23,3625.0,HEBBAL LAKE,"D (Propagation of wild life,fisheries)",4.2,7.0,750.0,11.0,2.2,4800.0,92000.0,9.066666666666666,212.0,5.0,212.0,116.0,107.0,3.206666666666667,0.93,200.0,108.0,92.0,12.0,74.0,510.0,24.4,0.31,0.5,9.0,0.34,41.0,1.678,0.3166666666666666,2023.0
Jakkur Lake,JKR,2023-08-16,13.0648,77.6004,,,,,,,,,,,,,,,,08/23,3627.0,JAKKUR LAKE,"E (Irrigation,
industrial cooling and controlled waste)",2.8,7.2,1207.0,23.0,4.63,4900.0,54000.0,9.438095238095238,280.0,5.0,280.0,200.0,160.0,3.115238095238096,4.7,328.0,168.0,160.0,49.0,107.0,842.0,24.914285714285715,0.57,0.5,24.0,0.32,41.0,1.6582857142857144,0.3023809523809524,2023.0
Nagavara Lake,NGV,2023-08-16,13.0318,77.613,,,,,,,,,,,,,,,,08/23,3626.0,NAGAVARA LAKE,"D (Propagation of wild life,fisheries)",6.1,7.1,640.0,4.0,2.45,2200.0,24000.0,9.561904761904762,144.0,5.0,144.0,104.0,41.0,3.084761904761905,0.4,172.0,92.0,80.0,26.0,60.0,446.0,25.085714285714285,0.2,0.5,13.0,0.2,41.0,1.6517142857142857,0.2976190476190476,2023.0
Chelekere Lake,CLK,2023-08-16,13.0396,77.6109,0.1516431301471105,0.1674926237602337,0.172714193545147,0.2073382945027097,0.2776286302526921,0.3174538079819807,0.311684370380798,0.3244528577461815,0.2919914584359821,-0.3006552903103454,-0.3316109729662376,0.1110635445661708,0.0097712334398257,1.0249835887706538,1.2964593207325157,08/23,4507.0,CHELEKERE LAKE,"D (Propagation of wild life,fisheries)",6.6,6.7,559.0,4.0,2.14,6300.0,54000.0,9.685714285714289,124.0,5.0,124.0,92.0,40.0,3.0542857142857143,0.42,148.0,80.0,68.0,23.0,47.0,390.0,25.25714285714286,0.2,0.5,11.0,0.2,41.0,1.6451428571428572,0.2928571428571428,2023.0
Bellandur Lake,BLR,2023-08-16,12.9265,77.6434,0.0433279876638396,0.0615392458943238,0.0507942939416987,0.1013675404780262,0.1989521202775636,0.2324335389360061,0.2292796453353893,0.1853776407093292,0.1120546646106399,-0.5762135888280593,-0.5012404880590806,0.3325880814252833,-0.0958335576024329,0.8261965513654762,1.9996684825363409,08/23,3602.0,BELLANDUR LAKE,"E (Irrigation, industrial cooling and controlled waste)",0.3,6.9,1186.0,18.0,2.8,3300.0,35000.0,7.952380952380952,328.0,5.0,328.0,208.0,192.0,3.480952380952381,2.16,256.0,136.0,120.0,16.0,132.0,810.0,22.857142857142858,0.56,0.5,12.0,0.21,41.0,1.737142857142857,0.3595238095238096,2023.0
Varthur Lake,VTR,2023-08-16,12.9389,77.7219,0.0919206307860185,0.1160044884409159,0.1136306172189658,0.1556201872645993,0.2484570347425111,0.2914059452990247,0.2897906543700939,0.2495374212397479,0.1865530395297265,-0.4446317849727955,-0.384002081399739,0.1889118570352213,-0.0293162114137483,0.9523216245924054,1.5148190736074532,08/23,3608.0,VARTHUR LAKE,"E (Irrigation, industrial cooling and controlled waste)",0.3,6.5,1157.0,52.0,3.0,17000000.0,24000000.0,12.904761904761903,320.0,5.0,320.0,164.0,340.0,2.261904761904762,20.0,232.0,120.0,112.0,31.0,82.0,786.0,29.714285714285715,0.35,0.5,24.0,0.23,41.0,1.4742857142857142,0.169047619047619,2023.0
Madiwala Lake,MDW,2023-08-16,12.9154,77.6116,0.1344170263704537,0.1969371927475246,0.2759437123616849,0.3135857268598383,0.3620366827447802,0.3875570643946061,0.3750947505545187,0.4358548815265989,0.3849486603527799,-0.3173239681409211,-0.3753657582921659,0.0807135180346514,0.1460128024951709,1.3615762679472798,1.2033971923173403,08/23,3589.0,MADIWALA TANK,"D (Propagation of wild life,fisheries)",4.8,7.3,1170.0,8.0,3.0,4000.0,35000.0,8.076190476190476,200.0,5.0,200.0,108.0,95.0,3.4504761904761905,0.4,244.0,128.0,116.0,10.0,140.0,796.0,23.02857142857143,0.58,0.5,12.0,0.2,41.0,1.7305714285714286,0.3547619047619048,2023.0
Kaikondanahalli Lake,KKH,2023-08-16,12.929,77.6958,0.146467023298374,0.1769598186867758,0.1752097309870744,0.2061992010980503,0.2654180052086999,0.2938085697191526,0.2923978707679313,0.2788717533610192,0.2386783522207363,-0.3074865101890363,-0.2813403959825776,0.1367135404227948,-0.0202658122481985,0.9665997097052724,1.393608315296523,08/23,3611.0,KAIKONDANAHALLI LAKE,"D (Propagation of wild life,fisheries)",4.4,8.5,762.0,9.0,3.3,4600.0,35000.0,4.238095238095238,136.0,16.0,152.0,148.0,88.0,4.395238095238096,0.8,204.0,108.0,96.0,34.0,101.0,522.0,17.714285714285715,2.4,0.5,26.0,0.3,41.0,1.9342857142857144,0.5023809523809524,2023.0
Puttenahalli Lake,PTN,2023-08-16,12.8982,77.5855,0.1801053908355795,0.189402427654864,0.2092969016827181,0.2688929919137466,0.2848765498652291,0.3086528301886793,0.2745424528301887,0.3172101078167116,0.3100137466307277,-0.1850585220413289,-0.2527527686763046,0.1241177698832466,0.0493659067195803,1.104666273749352,1.2881429062746104,08/23,3614.0,PUTTENAHALLI LAKE,"D (Propagation of wild life,fisheries)",4.2,7.2,390.0,4.0,2.0,4800.0,54000.0,7.457142857142857,96.0,5.0,96.0,48.0,40.0,3.602857142857143,0.62,120.0,64.0,56.0,13.0,36.0,268.0,22.17142857142857,0.55,0.5,12.0,0.2,41.0,1.7634285714285711,0.3785714285714286,2023.0
