LAKE_NAME_GEE,stn,scene_date,lat,lon,B2,B3,B4,B5,B6,B7,B8,B11,B12,NDWI,MNDWI,NDCI,NDTI,Red_Green,RedEdge_Ratio,MONTH_YEAR,STN_CODE,LAKE_NAME_master,USEBASEDCLASS,DO,PH,CONDUCTIVITY,BOD,NITRATE_N,FECAL_COLI,TOTAL_COLI,CARBONATE,BICARBONATE,PHENOLPHTHALEINALKALINITY,TOTALALKALINITY,CHLORIDES,COD,TOTALKJELDAHLNITROGEN,AMMONICALN,TOTALHARDNESS,CAASCACO3,MGASCACO3,SULPHATE,SODIUM,TOTALDISSOLVEDSOLIDS,TOTALSUSPENDEDSOLIDS,PHOSPHATE,BORON,POTASSIUM,FLUORIDE,SODIUMPERCENTAGE,SAR,ORTHOPHOSPHATE,YEAR
Agaram Lake,AGR,2023-10-20,12.9234,77.6416,0.0928324487928486,0.1153350884738966,0.1146642540405118,0.143546804392201,0.1901370028859014,0.2051364292250298,0.2023948300133736,0.181375814739213,0.1405920320968538,-0.2405633376027887,-0.1922021964295213,0.1590044291721946,-0.0513033739026026,0.9223936702649782,1.43180914735475,10/23,3612.0,AGARAM LAKE,"D (Propagation of wild life,fisheries)",4.1,7.2,620.0,9.0,3.0,2200.0,24000.0,3.0,100.0,5.0,100.0,112.0,80.0,10.400646551724138,0.85,124.0,68.0,56.0,14.0,53.0,422.0,71.36244541484716,0.48,0.5,6.0,0.31,46.0,2.0,1.48,2023.0
Agaram Lake,AGR,2024-03-08,12.9234,77.6416,,,,,,,,,,,,,,,,03/24,3612.0,Agaram Lake,"E (Irrigation, industrial cooling and controlled waste)",3.4,7.4,966.0,14.0,3.1,230.0,2400.0,3.0,272.0,5.0,272.0,148.0,145.0,9.9,7.6,260.0,136.0,124.0,15.0,94.0,658.0,164.0,0.2,0.5,12.0,0.39,43.0,2.5,0.05,2024.0
Agaram Lake,AGR,2024-04-07,12.9234,77.6416,,,,,,,,,,,,,,,,04/24,3612.0,Agaram Lake,"D (Propagation of wild life,fisheries)",5.3,7.3,1067.0,7.0,3.0,1500.0,4800.0,3.0,120.0,5.0,120.0,124.0,87.0,1.5,0.4,116.0,68.0,48.0,19.0,102.0,730.0,10.0,1.0,0.5,13.0,0.3,62.0,4.0,3.1,2024.0
Agaram Lake,AGR,2025-01-12,12.9234,77.6416,,,,,,,,,,,,,,,,01/25,3612.0,Agaram Lake,"D (Propagation of wild life,fisheries)",5.3,7.9,963.0,9.0,3.7,140.0,2200.0,3.0,308.0,5.0,308.0,136.0,81.0,1.5,0.4,244.0,128.0,116.0,31.0,100.0,654.0,10.0,1.9,0.5,32.0,0.28,43.0,2.8,4.6,2025.0
Agaram Lake,AGR,2025-02-06,12.9234,77.6416,,,,,,,,,,,,,,,,02/25,3612.0,Agaram Lake,"D (Propagation of wild life,fisheries)",5.8,7.9,1143.0,7.0,4.39,20.0,110.0,3.0,288.0,5.0,288.0,136.0,75.0,1.5,0.4,236.0,128.0,108.0,11.0,99.0,774.0,16.0,0.53,0.5,34.0,0.23,43.0,2.79,1.35,2025.0
Agaram Lake,AGR,2025-03-13,12.9234,77.6416,,,,,,,,,,,,,,,,03/25,3612.0,Agaram Lake,"D (Propagation of wild life,fisheries)",4.4,8.1,911.0,18.0,3.0,6.8,240.0,3.0,312.0,5.0,312.0,152.0,121.0,1.57,1.2,284.0,144.0,140.0,7.333333333333333,106.0,632.0,12.0,1.21,0.5,15.0,0.28,48.0,2.7,2.8,2025.0
Agaram Lake,AGR,2025-04-07,12.9234,77.6416,0.1046213697473076,0.1260902017686405,0.1343214576381503,0.1602155416344056,0.1883335186879706,0.2036682973182234,0.2031444921517561,0.197477866544661,0.1695697825015835,-0.194030992745002,-0.1879557433980643,0.1375896529603214,-0.0160110283803196,0.9930161315449948,1.3820288415996245,04/25,3612.0,Agaram Lake,"E (Irrigation, industrial cooling and controlled waste)",3.5,8.1,1355.0,9.0,5.2,310.0,2200.0,3.0,288.0,5.0,288.0,160.0,89.0,1.5,0.4,276.0,148.0,128.0,27.0,144.0,904.0,10.0,1.08,0.5,37.0,0.46,49.0,3.76,2.54,2025.0
Agaram Lake,AGR,2025-05-12,12.9234,77.6416,0.0961044238755543,0.1264130151044951,0.1329549620480096,0.1645168438093898,0.1997342894347852,0.2103031146617864,0.2083911416907159,0.1993909622017315,0.1626365911170549,-0.2190914704922025,-0.2136501009120225,0.1753729838858336,-0.0312342707546308,0.9656402977055486,1.5349519700292018,05/25,3612.0,Agaram Lake,D,4.8,7.7,870.0,5.0,3.4,310.0,4300.0,3.0,200.0,5.0,200.0,148.0,49.0,1.5,0.4,232.0,120.0,112.0,35.0,93.0,592.0,18.0,0.4,0.5,8.0,0.28,45.0,2.7,0.9,2025.0
Allalasandra Lake,ALS,2023-10-20,13.0541,77.6052,0.1195799880336465,0.1413481575952652,0.1513843064845118,0.1819150846443528,0.2321016612114173,0.2546071481364165,0.2512241473973181,0.2379068032238762,0.1878381621088937,-0.2853282742411901,-0.265076161777674,0.106250634682892,0.0295083729914725,1.0694765879778545,1.282477697598611,10/23,3629.0,ALLALASANDRA LAKE,"E (Irrigation, industrial cooling and controlled waste)",3.2,6.6,592.0,20.0,2.0,4700.0,54000.0,3.0,88.0,5.0,88.0,108.0,152.0,11.648922413793104,2.2,136.0,76.0,60.0,14.0,66.0,400.0,48.44541484716157,0.8,0.5,27.0,0.2,0.53,1.3,2.47,2023.0
Allalasandra Lake,ALS,2024-03-08,13.0541,77.6052,,,,,,,,,,,,,,,,03/24,3629.0,Allalasandra Lake,"E (Irrigation, industrial cooling and controlled waste)",3.6,8.1,1248.0,32.0,4.0,2600.0,17000.0,3.0,336.0,5.0,336.0,224.0,188.0,5.8,4.5,296.0,152.0,144.0,10.0,137.0,857.0,98.0,1.67,0.5,35.0,0.2,46.0,3.0,3.57,2024.0
Allalasandra Lake,ALS,2025-01-12,13.0541,77.6052,,,,,,,,,,,,,,,,01/25,3629.0,Allalasandra Lake,"E (Irrigation, industrial cooling and controlled waste)",3.3,7.0,1281.0,17.0,4.9,3300.0,9400.0,3.0,272.0,5.0,272.0,176.0,130.0,2.7,2.1,252.0,132.0,120.0,18.0,114.0,872.0,80.0,1.8,0.5,25.0,0.2,46.0,3.1,4.2,2025.0
Allalasandra Lake,ALS,2025-02-06,13.0541,77.6052,,,,,,,,,,,,,,,,02/25,3629.0,Allalasandra Lake,"E (Irrigation, industrial cooling and controlled waste)",1.2,7.9,1337.0,28.0,5.1,1300.0,8400.0,3.0,348.0,5.0,348.0,196.0,184.0,9.1,7.0,208.0,112.0,96.0,24.0,57.0,908.0,90.0,1.0,0.5,30.0,0.31,33.0,1.7,2.3,2025.0
Allalasandra Lake,ALS,2025-03-13,13.0541,77.6052,,,,,,,,,,,,,,,,03/25,3629.0,Allalasandra Lake,"D (Propagation of wild life,fisheries)",4.6,7.6,845.0,4.0,3.2,1400.0,4800.0,3.0,376.0,5.0,376.0,160.0,40.0,1.5,0.6,244.0,128.0,116.0,6.923076923076923,79.0,576.0,10.0,0.2,0.5,8.0,0.29,40.0,2.2,0.26,2025.0
Allalasandra Lake,ALS,2025-04-07,13.0541,77.6052,0.1280847217822827,0.1506747335454619,0.1687124275014329,0.1982828810755639,0.2426873438214903,0.2710691303276668,0.2713650054552493,0.2735167141801289,0.2366115123359025,-0.2934920658499516,-0.3006474689867743,0.0944699800952301,0.0541023796028088,1.1192413618993813,1.248811972468407,04/25,3629.0,Allalasandra Lake,"E (Irrigation, industrial cooling and controlled waste)",2.8,7.1,938.0,23.0,3.5,21000.0,70000.0,3.0,160.0,5.0,160.0,168.0,153.0,6.5,0.4,136.0,72.0,64.0,12.0,98.0,638.0,10.0,0.6,0.5,34.0,0.3,54.0,3.8,1.3,2025.0
Allalasandra Lake,ALS,2025-05-12,13.0541,77.6052,0.1251856438954,0.1549376063813223,0.1730845844373697,0.2084969309822968,0.2599622004012245,0.279589012071939,0.2704683560342096,0.2736501566184493,0.2249510083412523,-0.2841768761066545,-0.2935563826160755,0.1110653490801767,0.0558175745767402,1.126654511478755,1.3140334720781175,05/25,3629.0,Allalasandra Lake,E,2.5,8.5,487.0,26.0,1.9,2300.0,9400.0,24.0,68.0,12.0,92.0,56.0,175.0,2.7,2.1,100.0,56.0,44.0,28.0,67.0,330.0,232.0,0.2,0.5,14.0,0.2,55.0,2.9,0.6,2025.0
